================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 35
  prune_ratio  : 0.587749 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-09 00:09:15
  t_score      : 60.8s (그룹별 점수 pass)
  t_greedy     : 7.0s (greedy 선택)
  total_params        : 2192320
  active_before/after : 1165325 / 1146511
  sparsity_all        : 47.70% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 58.78% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  ----------------------------------------------------------------------------------------------------------------------------------
  features.0.0                     N       864       864       864       864        0      (0.422,0.578)                  -         0
  features.1.conv.0.0              Y       288       121       118       118        3      (0.491,0.509)      (0.491,0.509)       118
  features.1.conv.1                Y       512       216       211       211        5      (0.463,0.537)      (0.463,0.537)       417
  features.2.conv.0.0              Y      1536       649       633       633       16      (0.447,0.553)      (0.447,0.553)      1254
  features.2.conv.1.0              Y       864       365       356       356        9      (0.453,0.547)      (0.453,0.547)       690
  features.2.conv.2                Y      2304       974       949       949       25      (0.435,0.565)      (0.435,0.565)      1854
  features.3.conv.0.0              Y      3456      1461      1424      1424       37      (0.446,0.554)      (0.446,0.554)      2762
  features.3.conv.1.0              Y      1296       547       534       534       13      (0.438,0.562)      (0.438,0.562)      1044
  features.3.conv.2                Y      3456      1461      1424      1424       37      (0.436,0.564)      (0.436,0.564)      2777
  features.4.conv.0.0              Y      3456      1461      1424      1424       37      (0.450,0.550)      (0.450,0.550)      2784
  features.4.conv.1.0              Y      1296       547       534       534       13      (0.436,0.564)      (0.436,0.564)      1032
  features.4.conv.2                Y      4608      1948      1899      1899       49      (0.440,0.560)      (0.440,0.560)      3688
  features.5.conv.0.0              Y      6144      2597      2532      2532       65      (0.445,0.555)      (0.445,0.555)      4933
  features.5.conv.1.0              Y      1728       730       712       712       18      (0.432,0.568)      (0.432,0.568)      1392
  features.5.conv.2                Y      6144      2597      2532      2532       65      (0.440,0.560)      (0.440,0.560)      4931
  features.6.conv.0.0              Y      6144      2597      2532      2532       65      (0.446,0.554)      (0.446,0.554)      4928
  features.6.conv.1.0              Y      1728       730       712       712       18      (0.404,0.596)      (0.404,0.596)       714
  features.6.conv.2                Y      6144      2597      2532      2532       65      (0.436,0.564)      (0.436,0.564)      4927
  features.7.conv.0.0              Y      6144      2597      2532      2532       65      (0.445,0.555)      (0.445,0.555)      4937
  features.7.conv.1.0              Y      1728       730       712       712       18      (0.450,0.550)      (0.450,0.550)      1396
  features.7.conv.2                Y     12288      5195      5065      5065      130      (0.441,0.559)      (0.441,0.559)      9902
  features.8.conv.0.0              Y     24576     10391     10131     10131      260      (0.454,0.546)      (0.454,0.546)     19803
  features.8.conv.1.0              Y      3456      1461      1424      1424       37      (0.443,0.557)      (0.443,0.557)      2771
  features.8.conv.2                Y     24576     10391     10131     10131      260      (0.443,0.557)      (0.443,0.557)     19748
  features.9.conv.0.0              Y     24576     10391     10131     10131      260      (0.449,0.551)      (0.449,0.551)     19832
  features.9.conv.1.0              Y      3456      1461      1424      1424       37      (0.445,0.555)      (0.445,0.555)      2773
  features.9.conv.2                Y     24576     10391     10131     10131      260      (0.448,0.552)      (0.448,0.552)     19796
  features.10.conv.0.0             Y     24576     10391     10131     10131      260      (0.456,0.544)      (0.456,0.544)     19781
  features.10.conv.1.0             Y      3456      1461      1424      1424       37      (0.441,0.559)      (0.441,0.559)      2771
  features.10.conv.2               Y     24576     10391     10131     10131      260      (0.449,0.551)      (0.449,0.551)     19731
  features.11.conv.0.0             Y     24576     10391     10131     10131      260      (0.445,0.555)      (0.445,0.555)     19766
  features.11.conv.1.0             Y      3456      1461      1424      1424       37      (0.459,0.541)      (0.459,0.541)      2808
  features.11.conv.2               Y     36864     15586     15197     15197      389      (0.452,0.548)      (0.452,0.548)     29681
  features.12.conv.0.0             Y     55296     23380     22795     22795      585      (0.440,0.560)      (0.440,0.560)     44440
  features.12.conv.1.0             Y      5184      2191      2137      2137       54      (0.455,0.545)      (0.455,0.545)      4177
  features.12.conv.2               Y     55296     23380     22795     22795      585      (0.458,0.542)      (0.458,0.542)     44545
  features.13.conv.0.0             Y     55296     23380     22795     22795      585      (0.445,0.555)      (0.445,0.555)     44468
  features.13.conv.1.0             Y      5184      2191      2137      2137       54      (0.452,0.548)      (0.452,0.548)      4158
  features.13.conv.2               Y     55296     23380     22795     22795      585      (0.462,0.538)      (0.462,0.538)     44281
  features.14.conv.0.0             Y     55296     23380     22795     22795      585      (0.437,0.563)      (0.437,0.563)     44633
  features.14.conv.1.0             Y      5184      2191      2137      2137       54      (0.437,0.563)      (0.437,0.563)      4088
  features.14.conv.2               Y     92160     38967     37993     37993      974      (0.449,0.551)      (0.449,0.551)     74164
  features.15.conv.0.0             Y    153600     64945     63321     63321     1624      (0.433,0.567)      (0.433,0.567)    124381
  features.15.conv.1.0             Y      8640      3653      3561      3561       92      (0.443,0.557)      (0.443,0.557)      6901
  features.15.conv.2               Y    153600     64945     63321     63321     1624      (0.443,0.557)      (0.443,0.557)    123804
  features.16.conv.0.0             Y    153600     64945     63321     63321     1624      (0.427,0.573)      (0.427,0.573)    124315
  features.16.conv.1.0             Y      8640      3653      3561      3561       92      (0.446,0.554)      (0.446,0.554)      6947
  features.16.conv.2               Y    153600     64945     63321     63321     1624      (0.438,0.562)      (0.438,0.562)    123909
  features.17.conv.0.0             Y    153600     64945     63321     63321     1624      (0.432,0.568)      (0.432,0.568)    125197
  features.17.conv.1.0             Y      8640      3653      3561      3561       92      (0.431,0.569)      (0.431,0.569)      6997
  features.17.conv.2               Y    307200    129890    126643    126643     3247      (0.424,0.576)      (0.424,0.576)    247751
  features.18.0                    N    409600    409600    409600    409600        0      (0.421,0.579)                  -         0
  classifier.1                     N      2560      2560      2560      2560        0      (0.422,0.578)                  -         0
