================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 26
  prune_ratio  : 0.482250 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-08 23:40:05
  t_score      : 60.2s (그룹별 점수 pass)
  t_greedy     : 8.2s (greedy 선택)
  total_params        : 2192320
  active_before/after : 1357851 / 1334238
  sparsity_all        : 39.14% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 48.23% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  ----------------------------------------------------------------------------------------------------------------------------------
  features.0.0                     N       864       864       864       864        0      (0.397,0.603)                  -         0
  features.1.conv.0.0              Y       288       152       149       149        3      (0.397,0.603)      (0.397,0.603)       292
  features.1.conv.1                Y       512       271       265       265        6      (0.398,0.602)      (0.398,0.602)       522
  features.2.conv.0.0              Y      1536       815       795       795       20      (0.413,0.587)      (0.413,0.587)      1544
  features.2.conv.1.0              Y       864       458       447       447       11      (0.377,0.623)      (0.377,0.623)       857
  features.2.conv.2                Y      2304      1223      1192      1192       31      (0.403,0.597)      (0.403,0.597)      2283
  features.3.conv.0.0              Y      3456      1835      1789      1789       46      (0.414,0.586)      (0.414,0.586)      3524
  features.3.conv.1.0              Y      1296       688       671       671       17      (0.401,0.599)      (0.401,0.599)      1327
  features.3.conv.2                Y      3456      1835      1789      1789       46      (0.397,0.603)      (0.397,0.603)      3467
  features.4.conv.0.0              Y      3456      1835      1789      1789       46      (0.413,0.587)      (0.413,0.587)      3522
  features.4.conv.1.0              Y      1296       688       671       671       17      (0.398,0.602)      (0.398,0.602)      1309
  features.4.conv.2                Y      4608      2446      2385      2385       61      (0.405,0.595)      (0.405,0.595)      4685
  features.5.conv.0.0              Y      6144      3262      3181      3181       81      (0.400,0.600)      (0.400,0.600)      6230
  features.5.conv.1.0              Y      1728       917       894       894       23      (0.402,0.598)      (0.402,0.598)      1747
  features.5.conv.2                Y      6144      3262      3181      3181       81      (0.400,0.600)      (0.400,0.600)      6231
  features.6.conv.0.0              Y      6144      3262      3181      3181       81      (0.396,0.604)      (0.396,0.604)      6170
  features.6.conv.1.0              Y      1728       917       894       894       23      (0.384,0.616)      (0.384,0.616)      1754
  features.6.conv.2                Y      6144      3262      3181      3181       81      (0.389,0.611)      (0.389,0.611)      6188
  features.7.conv.0.0              Y      6144      3262      3181      3181       81      (0.400,0.600)      (0.400,0.600)      6225
  features.7.conv.1.0              Y      1728       917       894       894       23      (0.393,0.607)      (0.393,0.607)      1736
  features.7.conv.2                Y     12288      6525      6362      6362      163      (0.387,0.613)      (0.387,0.613)     12493
  features.8.conv.0.0              Y     24576     13050     12724     12724      326      (0.407,0.593)      (0.407,0.593)     24870
  features.8.conv.1.0              Y      3456      1835      1789      1789       46      (0.366,0.634)      (0.366,0.634)      3463
  features.8.conv.2                Y     24576     13050     12724     12724      326      (0.386,0.614)      (0.386,0.614)     24830
  features.9.conv.0.0              Y     24576     13050     12724     12724      326      (0.404,0.596)      (0.404,0.596)     24918
  features.9.conv.1.0              Y      3456      1835      1789      1789       46      (0.384,0.616)      (0.384,0.616)      3463
  features.9.conv.2                Y     24576     13050     12724     12724      326      (0.389,0.611)      (0.389,0.611)     24879
  features.10.conv.0.0             Y     24576     13050     12724     12724      326      (0.405,0.595)      (0.405,0.595)     24900
  features.10.conv.1.0             Y      3456      1835      1789      1789       46      (0.383,0.617)      (0.383,0.617)      3455
  features.10.conv.2               Y     24576     13050     12724     12724      326      (0.392,0.608)      (0.392,0.608)     24841
  features.11.conv.0.0             Y     24576     13050     12724     12724      326      (0.397,0.603)      (0.397,0.603)     24889
  features.11.conv.1.0             Y      3456      1835      1789      1789       46      (0.390,0.610)      (0.390,0.610)      3487
  features.11.conv.2               Y     36864     19575     19086     19086      489      (0.390,0.610)      (0.390,0.610)     37344
