================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 43
  prune_ratio  : 0.663335 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-09 00:35:14
  t_score      : 61.4s (그룹별 점수 pass)
  t_greedy     : 6.4s (greedy 선택)
  total_params        : 2192320
  active_before/after : 1027391 / 1012022
  sparsity_all        : 53.84% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 66.34% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  ----------------------------------------------------------------------------------------------------------------------------------
  features.0.0                     N       864       864       864       864        0      (0.389,0.611)                  -         0
  features.1.conv.0.0              Y       288        99        96        96        3      (0.398,0.602)      (0.398,0.602)        98
  features.1.conv.1                Y       512       176       172       172        4      (0.445,0.555)      (0.445,0.555)       334
  features.2.conv.0.0              Y      1536       530       517       517       13      (0.439,0.561)      (0.439,0.561)      1011
  features.2.conv.1.0              Y       864       298       290       290        8      (0.448,0.552)      (0.448,0.552)       563
  features.2.conv.2                Y      2304       795       775       775       20      (0.427,0.573)      (0.427,0.573)      1461
  features.3.conv.0.0              Y      3456      1193      1163      1163       30      (0.432,0.568)      (0.432,0.568)      2282
  features.3.conv.1.0              Y      1296       447       436       436       11      (0.433,0.567)      (0.433,0.567)       852
  features.3.conv.2                Y      3456      1193      1163      1163       30      (0.440,0.560)      (0.440,0.560)      2241
  features.4.conv.0.0              Y      3456      1193      1163      1163       30      (0.434,0.566)      (0.434,0.566)      2285
  features.4.conv.1.0              Y      1296       447       436       436       11      (0.433,0.567)      (0.433,0.567)       844
  features.4.conv.2                Y      4608      1591      1551      1551       40      (0.444,0.556)      (0.444,0.556)      3036
  features.5.conv.0.0              Y      6144      2121      2068      2068       53      (0.431,0.569)      (0.431,0.569)      4030
  features.5.conv.1.0              Y      1728       596       581       581       15      (0.442,0.558)      (0.442,0.558)      1147
  features.5.conv.2                Y      6144      2121      2068      2068       53      (0.444,0.556)      (0.444,0.556)      4042
  features.6.conv.0.0              Y      6144      2121      2068      2068       53      (0.432,0.568)      (0.432,0.568)      4045
  features.6.conv.1.0              Y      1728       596       581       581       15      (0.405,0.595)      (0.405,0.595)      1133
  features.6.conv.2                Y      6144      2121      2068      2068       53      (0.437,0.563)      (0.437,0.563)      4059
  features.7.conv.0.0              Y      6144      2121      2068      2068       53      (0.428,0.572)      (0.428,0.572)      4087
  features.7.conv.1.0              Y      1728       596       581       581       15      (0.433,0.567)      (0.433,0.567)      1141
  features.7.conv.2                Y     12288      4243      4136      4136      107      (0.432,0.568)      (0.432,0.568)      8154
  features.8.conv.0.0              Y     24576      8486      8273      8273      213      (0.429,0.571)      (0.429,0.571)     16237
  features.8.conv.1.0              Y      3456      1193      1163      1163       30      (0.429,0.571)      (0.429,0.571)      2269
  features.8.conv.2                Y     24576      8486      8273      8273      213      (0.432,0.568)      (0.432,0.568)     16227
  features.9.conv.0.0              Y     24576      8486      8273      8273      213      (0.423,0.577)      (0.423,0.577)     16229
  features.9.conv.1.0              Y      3456      1193      1163      1163       30      (0.428,0.572)      (0.428,0.572)      2277
  features.9.conv.2                Y     24576      8486      8273      8273      213      (0.430,0.570)      (0.430,0.570)     16221
  features.10.conv.0.0             Y     24576      8486      8273      8273      213      (0.426,0.574)      (0.426,0.574)     16241
  features.10.conv.1.0             Y      3456      1193      1163      1163       30      (0.434,0.566)      (0.434,0.566)      2263
  features.10.conv.2               Y     24576      8486      8273      8273      213      (0.428,0.572)      (0.428,0.572)     16187
  features.11.conv.0.0             Y     24576      8486      8273      8273      213      (0.424,0.576)      (0.424,0.576)     16249
  features.11.conv.1.0             Y      3456      1193      1163      1163       30      (0.436,0.564)      (0.436,0.564)      2285
  features.11.conv.2               Y     36864     12729     12410     12410      319      (0.430,0.570)      (0.430,0.570)     24279
  features.12.conv.0.0             Y     55296     19093     18616     18616      477      (0.426,0.574)      (0.426,0.574)     36545
