================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 12
  prune_ratio  : 0.262002 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-08 22:54:05
  t_score      : 61.4s (그룹별 점수 pass)
  t_greedy     : 11.7s (greedy 선택)
  total_params        : 2192320
  active_before/after : 1759781 / 1726121
  sparsity_all        : 21.27% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 26.20% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  ----------------------------------------------------------------------------------------------------------------------------------
  features.0.0                     N       864       864       864       864        0      (0.342,0.658)                  -         0
  features.1.conv.0.0              Y       288       217       212       212        5      (0.339,0.661)      (0.339,0.661)       326
  features.1.conv.1                Y       512       387       377       377       10      (0.338,0.662)      (0.338,0.662)       689
  features.2.conv.0.0              Y      1536      1162      1133      1133       29      (0.363,0.637)      (0.363,0.637)      2203
  features.2.conv.1.0              Y       864       653       637       637       16      (0.384,0.616)      (0.384,0.616)      1246
  features.2.conv.2                Y      2304      1743      1700      1700       43      (0.346,0.654)      (0.346,0.654)      3343
  features.3.conv.0.0              Y      3456      2615      2550      2550       65      (0.362,0.638)      (0.362,0.638)      5013
  features.3.conv.1.0              Y      1296       980       956       956       24      (0.345,0.655)      (0.345,0.655)      1879
  features.3.conv.2                Y      3456      2615      2550      2550       65      (0.357,0.643)      (0.357,0.643)      4944
  features.4.conv.0.0              Y      3456      2615      2550      2550       65      (0.370,0.630)      (0.370,0.630)      5037
  features.4.conv.1.0              Y      1296       980       956       956       24      (0.360,0.640)      (0.360,0.640)      1858
  features.4.conv.2                Y      4608      3487      3400      3400       87      (0.374,0.626)      (0.374,0.626)      6710
  features.5.conv.0.0              Y      6144      4650      4534      4534      116      (0.374,0.626)      (0.374,0.626)      8914
  features.5.conv.1.0              Y      1728      1307      1275      1275       32      (0.338,0.662)      (0.338,0.662)      2501
  features.5.conv.2                Y      6144      4650      4534      4534      116      (0.364,0.636)      (0.364,0.636)      8944
  features.6.conv.0.0              Y      6144      4650      4534      4534      116      (0.367,0.633)      (0.367,0.633)      8934
  features.6.conv.1.0              Y      1728      1307      1275      1275       32      (0.313,0.687)      (0.313,0.687)      1277
  features.6.conv.2                Y      6144      4650      4534      4534      116      (0.356,0.644)      (0.356,0.644)      8871
  features.7.conv.0.0              Y      6144      4650      4534      4534      116      (0.364,0.636)      (0.364,0.636)      8914
  features.7.conv.1.0              Y      1728      1307      1275      1275       32      (0.371,0.629)      (0.371,0.629)      2490
  features.7.conv.2                Y     12288      9301      9068      9068      233      (0.365,0.635)      (0.365,0.635)     17831
  features.8.conv.0.0              Y     24576     18602     18137     18137      465      (0.372,0.628)      (0.372,0.628)     35763
  features.8.conv.1.0              Y      3456      2615      2550      2550       65      (0.357,0.643)      (0.357,0.643)      4988
  features.8.conv.2                Y     24576     18602     18137     18137      465      (0.365,0.635)      (0.365,0.635)     35683
  features.9.conv.0.0              Y     24576     18602     18137     18137      465      (0.369,0.631)      (0.369,0.631)     35765
  features.9.conv.1.0              Y      3456      2615      2550      2550       65      (0.367,0.633)      (0.367,0.633)      5011
  features.9.conv.2                Y     24576     18602     18137     18137      465      (0.361,0.639)      (0.361,0.639)     35684
