================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 18
  prune_ratio  : 0.366009 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-08 23:13:52
  t_score      : 61.8s (그룹별 점수 pass)
  t_greedy     : 10.1s (greedy 선택)
  total_params        : 2192320
  active_before/after : 1569983 / 1541060
  sparsity_all        : 29.71% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 36.60% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  ----------------------------------------------------------------------------------------------------------------------------------
  features.0.0                     N       864       864       864       864        0      (0.393,0.607)                  -         0
  features.1.conv.0.0              Y       288       187       182       182        5      (0.359,0.641)      (0.359,0.641)       184
  features.1.conv.1                Y       512       332       324       324        8      (0.403,0.597)      (0.403,0.597)       639
  features.2.conv.0.0              Y      1536       998       973       973       25      (0.452,0.548)      (0.452,0.548)      1900
  features.2.conv.1.0              Y       864       561       547       547       14      (0.480,0.520)      (0.480,0.520)      1060
  features.2.conv.2                Y      2304      1498      1460      1460       38      (0.429,0.571)      (0.429,0.571)      2800
  features.3.conv.0.0              Y      3456      2247      2191      2191       56      (0.452,0.548)      (0.452,0.548)      4294
  features.3.conv.1.0              Y      1296       842       821       821       21      (0.419,0.581)      (0.419,0.581)      1613
  features.3.conv.2                Y      3456      2247      2191      2191       56      (0.428,0.572)      (0.428,0.572)      4281
  features.4.conv.0.0              Y      3456      2247      2191      2191       56      (0.441,0.559)      (0.441,0.559)      4324
  features.4.conv.1.0              Y      1296       842       821       821       21      (0.433,0.567)      (0.433,0.567)      1596
  features.4.conv.2                Y      4608      2996      2921      2921       75      (0.447,0.553)      (0.447,0.553)      5753
  features.5.conv.0.0              Y      6144      3995      3895      3895      100      (0.437,0.563)      (0.437,0.563)      7668
  features.5.conv.1.0              Y      1728      1123      1095      1095       28      (0.440,0.560)      (0.440,0.560)      2150
  features.5.conv.2                Y      6144      3995      3895      3895      100      (0.449,0.551)      (0.449,0.551)      7654
  features.6.conv.0.0              Y      6144      3995      3895      3895      100      (0.442,0.558)      (0.442,0.558)      7650
