================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 21
  prune_ratio  : 0.412380 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-08 23:23:43
  t_score      : 60.6s (그룹별 점수 pass)
  t_greedy     : 9.6s (greedy 선택)
  total_params        : 2192320
  active_before/after : 1485354 / 1458554
  sparsity_all        : 33.47% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 41.24% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  ----------------------------------------------------------------------------------------------------------------------------------
  features.0.0                     N       864       864       864       864        0      (0.429,0.571)                  -         0
  features.1.conv.0.0              Y       288       173       169       169        4      (0.417,0.583)      (0.417,0.583)       317
  features.1.conv.1                Y       512       308       300       300        8      (0.434,0.566)      (0.434,0.566)       587
  features.2.conv.0.0              Y      1536       925       902       902       23      (0.433,0.567)      (0.433,0.567)      1768
  features.2.conv.1.0              Y       864       520       507       507       13      (0.396,0.604)      (0.396,0.604)       976
  features.2.conv.2                Y      2304      1388      1353      1353       35      (0.430,0.570)      (0.430,0.570)      2652
  features.3.conv.0.0              Y      3456      2082      2030      2030       52      (0.440,0.560)      (0.440,0.560)      3995
  features.3.conv.1.0              Y      1296       781       761       761       20      (0.416,0.584)      (0.416,0.584)      1479
  features.3.conv.2                Y      3456      2082      2030      2030       52      (0.420,0.580)      (0.420,0.580)      3981
  features.4.conv.0.0              Y      3456      2082      2030      2030       52      (0.450,0.550)      (0.450,0.550)      3985
  features.4.conv.1.0              Y      1296       781       761       761       20      (0.423,0.577)      (0.423,0.577)      1459
  features.4.conv.2                Y      4608      2777      2707      2707       70      (0.447,0.553)      (0.447,0.553)      5320
  features.5.conv.0.0              Y      6144      3702      3610      3610       92      (0.441,0.559)      (0.441,0.559)      7074
  features.5.conv.1.0              Y      1728      1041      1015      1015       26      (0.445,0.555)      (0.445,0.555)      1989
  features.5.conv.2                Y      6144      3702      3610      3610       92      (0.447,0.553)      (0.447,0.553)      7056
  features.6.conv.0.0              Y      6144      3702      3610      3610       92      (0.438,0.562)      (0.438,0.562)      7104
  features.6.conv.1.0              Y      1728      1041      1015      1015       26      (0.464,0.536)      (0.464,0.536)      1980
  features.6.conv.2                Y      6144      3702      3610      3610       92      (0.447,0.553)      (0.447,0.553)      7084
  features.7.conv.0.0              Y      6144      3702      3610      3610       92      (0.437,0.563)      (0.437,0.563)      7068
  features.7.conv.1.0              Y      1728      1041      1015      1015       26      (0.449,0.551)      (0.449,0.551)      1967
  features.7.conv.2                Y     12288      7405      7220      7220      185      (0.446,0.554)      (0.446,0.554)     14083
  features.8.conv.0.0              Y     24576     14811     14441     14441      370      (0.436,0.564)      (0.436,0.564)     28350
  features.8.conv.1.0              Y      3456      2082      2030      2030       52      (0.427,0.573)      (0.427,0.573)      3965
  features.8.conv.2                Y     24576     14811     14441     14441      370      (0.444,0.556)      (0.444,0.556)     28326
  features.9.conv.0.0              Y     24576     14811     14441     14441      370      (0.438,0.562)      (0.438,0.562)     28271
  features.9.conv.1.0              Y      3456      2082      2030      2030       52      (0.449,0.551)      (0.449,0.551)      3971
  features.9.conv.2                Y     24576     14811     14441     14441      370      (0.440,0.560)      (0.440,0.560)     28301
  features.10.conv.0.0             Y     24576     14811     14441     14441      370      (0.442,0.558)      (0.442,0.558)     28229
  features.10.conv.1.0             Y      3456      2082      2030      2030       52      (0.443,0.557)      (0.443,0.557)      3979
  features.10.conv.2               Y     24576     14811     14441     14441      370      (0.450,0.550)      (0.450,0.550)     28242
  features.11.conv.0.0             Y     24576     14811     14441     14441      370      (0.441,0.559)      (0.441,0.559)     28294
  features.11.conv.1.0             Y      3456      2082      2030      2030       52      (0.452,0.548)      (0.452,0.548)      3953
  features.11.conv.2               Y     36864     22217     21662     21662      555      (0.450,0.550)      (0.450,0.550)     42363
  features.12.conv.0.0             Y     55296     33326     32493     32493      833      (0.434,0.566)      (0.434,0.566)     63746
  features.12.conv.1.0             Y      5184      3124      3046      3046       78      (0.451,0.549)      (0.451,0.549)      5857
  features.12.conv.2               Y     55296     33326     32493     32493      833      (0.451,0.549)      (0.451,0.549)     63435
  features.13.conv.0.0             Y     55296     33326     32493     32493      833      (0.439,0.561)      (0.439,0.561)     63692
  features.13.conv.1.0             Y      5184      3124      3046      3046       78      (0.455,0.545)      (0.455,0.545)      5940
  features.13.conv.2               Y     55296     33326     32493     32493      833      (0.459,0.541)      (0.459,0.541)     63250
  features.14.conv.0.0             Y     55296     33326     32493     32493      833      (0.443,0.557)      (0.443,0.557)     63563
  features.14.conv.1.0             Y      5184      3124      3046      3046       78      (0.443,0.557)      (0.443,0.557)      5906
  features.14.conv.2               Y     92160     55543     54155     54155     1388      (0.457,0.543)      (0.457,0.543)    105943
  features.15.conv.0.0             Y    153600     92572     90258     90258     2314      (0.431,0.569)      (0.431,0.569)    176899
  features.15.conv.1.0             Y      8640      5207      5077      5077      130      (0.454,0.546)      (0.454,0.546)      9888
  features.15.conv.2               Y    153600     92572     90258     90258     2314      (0.456,0.544)      (0.456,0.544)    176013
