================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 57
  prune_ratio  : 0.763809 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-09 01:20:33
  t_score      : 61.4s (그룹별 점수 pass)
  t_greedy     : 4.8s (greedy 선택)
  total_params        : 2192320
  active_before/after : 844035 / 833255
  sparsity_all        : 61.99% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 76.38% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  ----------------------------------------------------------------------------------------------------------------------------------
  features.0.0                     N       864       864       864       864        0      (0.409,0.591)                  -         0
  features.1.conv.0.0              Y       288        69        68        68        1      (0.435,0.565)      (0.435,0.565)       132
  features.1.conv.1                Y       512       124       120       120        4      (0.443,0.557)      (0.443,0.557)       212
  features.2.conv.0.0              Y      1536       372       362       362       10      (0.426,0.574)      (0.426,0.574)       664
  features.2.conv.1.0              Y       864       209       204       204        5      (0.443,0.557)      (0.443,0.557)       397
  features.2.conv.2                Y      2304       558       544       544       14      (0.430,0.570)      (0.430,0.570)      1076
  features.3.conv.0.0              Y      3456       837       816       816       21      (0.422,0.578)      (0.422,0.578)      1612
  features.3.conv.1.0              Y      1296       313       306       306        7      (0.427,0.573)      (0.427,0.573)       604
  features.3.conv.2                Y      3456       837       816       816       21      (0.430,0.570)      (0.430,0.570)      1566
  features.4.conv.0.0              Y      3456       837       816       816       21      (0.423,0.577)      (0.423,0.577)      1610
  features.4.conv.1.0              Y      1296       313       306       306        7      (0.422,0.578)      (0.422,0.578)       592
  features.4.conv.2                Y      4608      1116      1088      1088       28      (0.421,0.579)      (0.421,0.579)      2111
  features.5.conv.0.0              Y      6144      1488      1451      1451       37      (0.423,0.577)      (0.423,0.577)      2842
  features.5.conv.1.0              Y      1728       418       408       408       10      (0.417,0.583)      (0.417,0.583)       794
  features.5.conv.2                Y      6144      1488      1451      1451       37      (0.419,0.581)      (0.419,0.581)      2859
  features.6.conv.0.0              Y      6144      1488      1451      1451       37      (0.418,0.582)      (0.418,0.582)      2851
  features.6.conv.1.0              Y      1728       418       408       408       10      (0.436,0.564)      (0.436,0.564)       808
  features.6.conv.2                Y      6144      1488      1451      1451       37      (0.417,0.583)      (0.417,0.583)      2818
  features.7.conv.0.0              Y      6144      1488      1451      1451       37      (0.416,0.584)      (0.416,0.584)      2841
  features.7.conv.1.0              Y      1728       418       408       408       10      (0.416,0.584)      (0.416,0.584)       798
  features.7.conv.2                Y     12288      2976      2902      2902       74      (0.416,0.584)      (0.416,0.584)      5727
  features.8.conv.0.0              Y     24576      5953      5804      5804      149      (0.420,0.580)      (0.420,0.580)     11415
  features.8.conv.1.0              Y      3456       837       816       816       21      (0.409,0.591)      (0.409,0.591)      1601
  features.8.conv.2                Y     24576      5953      5804      5804      149      (0.414,0.586)      (0.414,0.586)     11462
  features.9.conv.0.0              Y     24576      5953      5804      5804      149      (0.420,0.580)      (0.420,0.580)     11400
  features.9.conv.1.0              Y      3456       837       816       816       21      (0.420,0.580)      (0.420,0.580)      1602
  features.9.conv.2                Y     24576      5953      5804      5804      149      (0.415,0.585)      (0.415,0.585)     11454
  features.10.conv.0.0             Y     24576      5953      5804      5804      149      (0.413,0.587)      (0.413,0.587)     11328
  features.10.conv.1.0             Y      3456       837       816       816       21      (0.415,0.585)      (0.415,0.585)      1562
  features.10.conv.2               Y     24576      5953      5804      5804      149      (0.413,0.587)      (0.413,0.587)     11438
  features.11.conv.0.0             Y     24576      5953      5804      5804      149      (0.417,0.583)      (0.417,0.583)     11414
  features.11.conv.1.0             Y      3456       837       816       816       21      (0.412,0.588)      (0.412,0.588)      1613
  features.11.conv.2               Y     36864      8930      8706      8706      224      (0.416,0.584)      (0.416,0.584)     17149
  features.12.conv.0.0             Y     55296     13395     13060     13060      335      (0.414,0.586)      (0.414,0.586)     25698
  features.12.conv.1.0             Y      5184      1255      1224      1224       31      (0.416,0.584)      (0.416,0.584)      2411
  features.12.conv.2               Y     55296     13395     13060     13060      335      (0.417,0.583)      (0.417,0.583)     25682
  features.13.conv.0.0             Y     55296     13395     13060     13060      335      (0.411,0.589)      (0.411,0.589)     25703
