================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 25
  prune_ratio  : 0.468974 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-08 23:36:51
  t_score      : 59.8s (그룹별 점수 pass)
  t_greedy     : 8.8s (greedy 선택)
  total_params        : 2192320
  active_before/after : 1382079 / 1357851
  sparsity_all        : 38.06% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 46.90% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  ----------------------------------------------------------------------------------------------------------------------------------
  features.0.0                     N       864       864       864       864        0      (0.330,0.670)                  -         0
  features.1.conv.0.0              Y       288       156       152       152        4      (0.494,0.506)      (0.494,0.506)       152
  features.1.conv.1                Y       512       278       271       271        7      (0.442,0.558)      (0.442,0.558)       535
  features.2.conv.0.0              Y      1536       836       815       815       21      (0.392,0.608)      (0.392,0.608)      1592
  features.2.conv.1.0              Y       864       470       458       458       12      (0.379,0.621)      (0.379,0.621)       836
  features.2.conv.2                Y      2304      1254      1223      1223       31      (0.406,0.594)      (0.406,0.594)      2376
  features.3.conv.0.0              Y      3456      1882      1835      1835       47      (0.396,0.604)      (0.396,0.604)      3554
  features.3.conv.1.0              Y      1296       705       688       688       17      (0.383,0.617)      (0.383,0.617)      1355
  features.3.conv.2                Y      3456      1882      1835      1835       47      (0.392,0.608)      (0.392,0.608)      3575
  features.4.conv.0.0              Y      3456      1882      1835      1835       47      (0.413,0.587)      (0.413,0.587)      3613
  features.4.conv.1.0              Y      1296       705       688       688       17      (0.391,0.609)      (0.391,0.609)      1274
  features.4.conv.2                Y      4608      2509      2446      2446       63      (0.422,0.578)      (0.422,0.578)      4795
  features.5.conv.0.0              Y      6144      3346      3262      3262       84      (0.401,0.599)      (0.401,0.599)      6400
  features.5.conv.1.0              Y      1728       941       917       917       24      (0.403,0.597)      (0.403,0.597)      1797
  features.5.conv.2                Y      6144      3346      3262      3262       84      (0.419,0.581)      (0.419,0.581)      6341
  features.6.conv.0.0              Y      6144      3346      3262      3262       84      (0.407,0.593)      (0.407,0.593)      6390
  features.6.conv.1.0              Y      1728       941       917       917       24      (0.392,0.608)      (0.392,0.608)      1804
  features.6.conv.2                Y      6144      3346      3262      3262       84      (0.406,0.594)      (0.406,0.594)      6407
  features.7.conv.0.0              Y      6144      3346      3262      3262       84      (0.403,0.597)      (0.403,0.597)      6386
  features.7.conv.1.0              Y      1728       941       917       917       24      (0.404,0.596)      (0.404,0.596)      1794
  features.7.conv.2                Y     12288      6692      6525      6525      167      (0.408,0.592)      (0.408,0.592)     12776
  features.8.conv.0.0              Y     24576     13385     13050     13050      335      (0.404,0.596)      (0.404,0.596)     25547
  features.8.conv.1.0              Y      3456      1882      1835      1835       47      (0.400,0.600)      (0.400,0.600)      3577
  features.8.conv.2                Y     24576     13385     13050     13050      335      (0.405,0.595)      (0.405,0.595)     25510
  features.9.conv.0.0              Y     24576     13385     13050     13050      335      (0.404,0.596)      (0.404,0.596)     25501
  features.9.conv.1.0              Y      3456      1882      1835      1835       47      (0.405,0.595)      (0.405,0.595)      3604
  features.9.conv.2                Y     24576     13385     13050     13050      335      (0.412,0.588)      (0.412,0.588)     25455
  features.10.conv.0.0             Y     24576     13385     13050     13050      335      (0.403,0.597)      (0.403,0.597)     25553
  features.10.conv.1.0             Y      3456      1882      1835      1835       47      (0.405,0.595)      (0.405,0.595)      3588
  features.10.conv.2               Y     24576     13385     13050     13050      335      (0.411,0.589)      (0.411,0.589)     25476
  features.11.conv.0.0             Y     24576     13385     13050     13050      335      (0.396,0.604)      (0.396,0.604)     25589
  features.11.conv.1.0             Y      3456      1882      1835      1835       47      (0.394,0.606)      (0.394,0.606)      3603
  features.11.conv.2               Y     36864     20077     19575     19575      502      (0.399,0.601)      (0.399,0.601)     38217
  features.12.conv.0.0             Y     55296     30116     29363     29363      753      (0.389,0.611)      (0.389,0.611)     57315
  features.12.conv.1.0             Y      5184      2823      2752      2752       71      (0.382,0.618)      (0.382,0.618)      5367
  features.12.conv.2               Y     55296     30116     29363     29363      753      (0.395,0.605)      (0.395,0.605)     57461
