================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 19
  prune_ratio  : 0.381859 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-08 23:17:10
  t_score      : 62.1s (그룹별 점수 pass)
  t_greedy     : 9.9s (greedy 선택)
  total_params        : 2192320
  active_before/after : 1541060 / 1512856
  sparsity_all        : 30.99% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 38.19% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  ----------------------------------------------------------------------------------------------------------------------------------
  features.0.0                     N       864       864       864       864        0      (0.335,0.665)                  -         0
  features.1.conv.0.0              Y       288       182       178       178        4      (0.384,0.616)      (0.384,0.616)       260
  features.1.conv.1                Y       512       324       316       316        8      (0.383,0.617)      (0.383,0.617)       628
  features.2.conv.0.0              Y      1536       973       949       949       24      (0.387,0.613)      (0.387,0.613)      1870
  features.2.conv.1.0              Y       864       547       534       534       13      (0.364,0.636)      (0.364,0.636)      1053
  features.2.conv.2                Y      2304      1460      1424      1424       36      (0.354,0.646)      (0.354,0.646)      2685
  features.3.conv.0.0              Y      3456      2191      2136      2136       55      (0.374,0.626)      (0.374,0.626)      4169
  features.3.conv.1.0              Y      1296       821       801       801       20      (0.378,0.622)      (0.378,0.622)      1569
  features.3.conv.2                Y      3456      2191      2136      2136       55      (0.382,0.618)      (0.382,0.618)      4182
  features.4.conv.0.0              Y      3456      2191      2136      2136       55      (0.386,0.614)      (0.386,0.614)      4222
  features.4.conv.1.0              Y      1296       821       801       801       20      (0.383,0.617)      (0.383,0.617)      1559
  features.4.conv.2                Y      4608      2921      2848      2848       73      (0.390,0.610)      (0.390,0.610)      5583
  features.5.conv.0.0              Y      6144      3895      3797      3797       98      (0.384,0.616)      (0.384,0.616)      7482
  features.5.conv.1.0              Y      1728      1095      1068      1068       27      (0.392,0.608)      (0.392,0.608)      2094
  features.5.conv.2                Y      6144      3895      3797      3797       98      (0.387,0.613)      (0.387,0.613)      7472
  features.6.conv.0.0              Y      6144      3895      3797      3797       98      (0.386,0.614)      (0.386,0.614)      7448
  features.6.conv.1.0              Y      1728      1095      1068      1068       27      (0.384,0.616)      (0.384,0.616)      2091
  features.6.conv.2                Y      6144      3895      3797      3797       98      (0.383,0.617)      (0.383,0.617)      7437
  features.7.conv.0.0              Y      6144      3895      3797      3797       98      (0.384,0.616)      (0.384,0.616)      7444
  features.7.conv.1.0              Y      1728      1095      1068      1068       27      (0.397,0.603)      (0.397,0.603)      2083
  features.7.conv.2                Y     12288      7790      7595      7595      195      (0.389,0.611)      (0.389,0.611)     14875
  features.8.conv.0.0              Y     24576     15580     15191     15191      389      (0.388,0.612)      (0.388,0.612)     29789
  features.8.conv.1.0              Y      3456      2191      2136      2136       55      (0.372,0.628)      (0.372,0.628)      4139
  features.8.conv.2                Y     24576     15580     15191     15191      389      (0.388,0.612)      (0.388,0.612)     29738
  features.9.conv.0.0              Y     24576     15580     15191     15191      389      (0.389,0.611)      (0.389,0.611)     29763
  features.9.conv.1.0              Y      3456      2191      2136      2136       55      (0.396,0.604)      (0.396,0.604)      4159
  features.9.conv.2                Y     24576     15580     15191     15191      389      (0.390,0.610)      (0.390,0.610)     29813
  features.10.conv.0.0             Y     24576     15580     15191     15191      389      (0.385,0.615)      (0.385,0.615)     29691
  features.10.conv.1.0             Y      3456      2191      2136      2136       55      (0.375,0.625)      (0.375,0.625)      4138
  features.10.conv.2               Y     24576     15580     15191     15191      389      (0.391,0.609)      (0.391,0.609)     29716
  features.11.conv.0.0             Y     24576     15580     15191     15191      389      (0.384,0.616)      (0.384,0.616)     29748
  features.11.conv.1.0             Y      3456      2191      2136      2136       55      (0.381,0.619)      (0.381,0.619)      4186
  features.11.conv.2               Y     36864     23371     22787     22787      584      (0.386,0.614)      (0.386,0.614)     44538
  features.12.conv.0.0             Y     55296     35057     34180     34180      877      (0.384,0.616)      (0.384,0.616)     66901
  features.12.conv.1.0             Y      5184      3286      3204      3204       82      (0.388,0.612)      (0.388,0.612)      6246
  features.12.conv.2               Y     55296     35057     34180     34180      877      (0.387,0.613)      (0.387,0.613)     66799
  features.13.conv.0.0             Y     55296     35057     34180     34180      877      (0.386,0.614)      (0.386,0.614)     66925
  features.13.conv.1.0             Y      5184      3286      3204      3204       82      (0.383,0.617)      (0.383,0.617)      6258
  features.13.conv.2               Y     55296     35057     34180     34180      877      (0.384,0.616)      (0.384,0.616)     66761
