================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 44
  prune_ratio  : 0.671751 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-09 00:38:27
  t_score      : 60.2s (그룹별 점수 pass)
  t_greedy     : 6.0s (greedy 선택)
  total_params        : 2192320
  active_before/after : 1012022 / 997057
  sparsity_all        : 54.52% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 67.18% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  ----------------------------------------------------------------------------------------------------------------------------------
  features.0.0                     N       864       864       864       864        0      (0.393,0.607)                  -         0
  features.1.conv.0.0              Y       288        96        94        94        2      (0.410,0.590)      (0.410,0.590)       184
  features.1.conv.1                Y       512       172       168       168        4      (0.430,0.570)      (0.430,0.570)       322
  features.2.conv.0.0              Y      1536       517       504       504       13      (0.434,0.566)      (0.434,0.566)       981
  features.2.conv.1.0              Y       864       290       283       283        7      (0.422,0.578)      (0.422,0.578)       546
  features.2.conv.2                Y      2304       775       756       756       19      (0.431,0.569)      (0.431,0.569)      1486
  features.3.conv.0.0              Y      3456      1163      1134      1134       29      (0.433,0.567)      (0.433,0.567)      2243
  features.3.conv.1.0              Y      1296       436       425       425       11      (0.423,0.577)      (0.423,0.577)       824
  features.3.conv.2                Y      3456      1163      1134      1134       29      (0.435,0.565)      (0.435,0.565)      2212
  features.4.conv.0.0              Y      3456      1163      1134      1134       29      (0.428,0.572)      (0.428,0.572)      2214
  features.4.conv.1.0              Y      1296       436       425       425       11      (0.423,0.577)      (0.423,0.577)       821
  features.4.conv.2                Y      4608      1551      1512      1512       39      (0.429,0.571)      (0.429,0.571)      2957
  features.5.conv.0.0              Y      6144      2068      2016      2016       52      (0.425,0.575)      (0.425,0.575)      3923
  features.5.conv.1.0              Y      1728       581       567       567       14      (0.420,0.580)      (0.420,0.580)      1113
  features.5.conv.2                Y      6144      2068      2016      2016       52      (0.423,0.577)      (0.423,0.577)      3949
  features.6.conv.0.0              Y      6144      2068      2016      2016       52      (0.428,0.572)      (0.428,0.572)      3918
