================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 10
  prune_ratio  : 0.223670 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-08 22:47:31
  t_score      : 62.7s (그룹별 점수 pass)
  t_greedy     : 12.1s (greedy 선택)
  total_params        : 2192320
  active_before/after : 1829736 / 1794317
  sparsity_all        : 18.15% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 22.37% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  ----------------------------------------------------------------------------------------------------------------------------------
  features.0.0                     N       864       864       864       864        0      (0.404,0.596)                  -         0
  features.1.conv.0.0              Y       288       229       223       223        6      (0.434,0.566)      (0.434,0.566)       431
  features.1.conv.1                Y       512       407       397       397       10      (0.425,0.575)      (0.425,0.575)       781
  features.2.conv.0.0              Y      1536      1223      1192      1192       31      (0.418,0.582)      (0.418,0.582)      2355
  features.2.conv.1.0              Y       864       687       670       670       17      (0.384,0.616)      (0.384,0.616)       672
  features.2.conv.2                Y      2304      1834      1788      1788       46      (0.416,0.584)      (0.416,0.584)      3519
  features.3.conv.0.0              Y      3456      2751      2682      2682       69      (0.428,0.572)      (0.428,0.572)      5306
  features.3.conv.1.0              Y      1296      1031      1006      1006       25      (0.447,0.553)      (0.447,0.553)      1985
  features.3.conv.2                Y      3456      2751      2682      2682       69      (0.439,0.561)      (0.439,0.561)      5298
  features.4.conv.0.0              Y      3456      2751      2682      2682       69      (0.440,0.560)      (0.440,0.560)      5309
  features.4.conv.1.0              Y      1296      1031      1006      1006       25      (0.444,0.556)      (0.444,0.556)      1964
  features.4.conv.2                Y      4608      3669      3577      3577       92      (0.455,0.545)      (0.455,0.545)      7050
  features.5.conv.0.0              Y      6144      4892      4769      4769      123      (0.433,0.567)      (0.433,0.567)      9410
  features.5.conv.1.0              Y      1728      1375      1341      1341       34      (0.440,0.560)      (0.440,0.560)      2631
  features.5.conv.2                Y      6144      4892      4769      4769      123      (0.447,0.553)      (0.447,0.553)      9391
  features.6.conv.0.0              Y      6144      4892      4769      4769      123      (0.428,0.572)      (0.428,0.572)      9430
  features.6.conv.1.0              Y      1728      1375      1341      1341       34      (0.416,0.584)      (0.416,0.584)      2645
  features.6.conv.2                Y      6144      4892      4769      4769      123      (0.436,0.564)      (0.436,0.564)      9394
  features.7.conv.0.0              Y      6144      4892      4769      4769      123      (0.425,0.575)      (0.425,0.575)      9420
  features.7.conv.1.0              Y      1728      1375      1341      1341       34      (0.441,0.559)      (0.441,0.559)      2555
  features.7.conv.2                Y     12288      9784      9539      9539      245      (0.438,0.562)      (0.438,0.562)     18807
  features.8.conv.0.0              Y     24576     19568     19079     19079      489      (0.435,0.565)      (0.435,0.565)     37689
  features.8.conv.1.0              Y      3456      2751      2682      2682       69      (0.439,0.561)      (0.439,0.561)      5285
  features.8.conv.2                Y     24576     19568     19079     19079      489      (0.434,0.566)      (0.434,0.566)     37649
  features.9.conv.0.0              Y     24576     19568     19079     19079      489      (0.434,0.566)      (0.434,0.566)     37662
  features.9.conv.1.0              Y      3456      2751      2682      2682       69      (0.433,0.567)      (0.433,0.567)      5252
  features.9.conv.2                Y     24576     19568     19079     19079      489      (0.435,0.565)      (0.435,0.565)     37663
