================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 67
  prune_ratio  : 0.816638 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-09 01:52:17
  t_score      : 60.7s (그룹별 점수 pass)
  t_greedy     : 3.9s (greedy 선택)
  total_params        : 2192320
  active_before/after : 747611 / 739254
  sparsity_all        : 66.28% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 81.67% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  ----------------------------------------------------------------------------------------------------------------------------------
  features.0.0                     N       864       864       864       864        0      (0.405,0.595)                  -         0
  features.1.conv.0.0              Y       288        54        52        52        2      (0.454,0.546)      (0.454,0.546)        98
  features.1.conv.1                Y       512        96        93        93        3      (0.442,0.558)      (0.442,0.558)        93
  features.2.conv.0.0              Y      1536       288       281       281        7      (0.441,0.559)      (0.441,0.559)       544
  features.2.conv.1.0              Y       864       162       158       158        4      (0.441,0.559)      (0.441,0.559)       308
  features.2.conv.2                Y      2304       433       422       422       11      (0.451,0.549)      (0.451,0.549)       829
  features.3.conv.0.0              Y      3456       649       633       633       16      (0.444,0.556)      (0.444,0.556)      1246
  features.3.conv.1.0              Y      1296       243       237       237        6      (0.446,0.554)      (0.446,0.554)       441
  features.3.conv.2                Y      3456       649       633       633       16      (0.452,0.548)      (0.452,0.548)      1233
  features.4.conv.0.0              Y      3456       649       633       633       16      (0.450,0.550)      (0.450,0.550)      1253
  features.4.conv.1.0              Y      1296       243       237       237        6      (0.451,0.549)      (0.451,0.549)       456
  features.4.conv.2                Y      4608       866       844       844       22      (0.452,0.548)      (0.452,0.548)      1653
  features.5.conv.0.0              Y      6144      1155      1126      1126       29      (0.456,0.544)      (0.456,0.544)      2207
  features.5.conv.1.0              Y      1728       324       316       316        8      (0.455,0.545)      (0.455,0.545)       625
  features.5.conv.2                Y      6144      1155      1126      1126       29      (0.452,0.548)      (0.452,0.548)      2205
  features.6.conv.0.0              Y      6144      1155      1126      1126       29      (0.442,0.558)      (0.442,0.558)      2214
  features.6.conv.1.0              Y      1728       324       316       316        8      (0.446,0.554)      (0.446,0.554)       619
  features.6.conv.2                Y      6144      1155      1126      1126       29      (0.455,0.545)      (0.455,0.545)      2188
  features.7.conv.0.0              Y      6144      1155      1126      1126       29      (0.447,0.553)      (0.447,0.553)      2203
  features.7.conv.1.0              Y      1728       324       316       316        8      (0.439,0.561)      (0.439,0.561)       607
  features.7.conv.2                Y     12288      2310      2253      2253       57      (0.439,0.561)      (0.439,0.561)      4457
  features.8.conv.0.0              Y     24576      4621      4506      4506      115      (0.445,0.555)      (0.445,0.555)      8883
  features.8.conv.1.0              Y      3456       649       633       633       16      (0.435,0.565)      (0.435,0.565)      1253
  features.8.conv.2                Y     24576      4621      4506      4506      115      (0.438,0.562)      (0.438,0.562)      8866
  features.9.conv.0.0              Y     24576      4621      4506      4506      115      (0.438,0.562)      (0.438,0.562)      8842
  features.9.conv.1.0              Y      3456       649       633       633       16      (0.439,0.561)      (0.439,0.561)      1254
  features.9.conv.2                Y     24576      4621      4506      4506      115      (0.439,0.561)      (0.439,0.561)      8876
  features.10.conv.0.0             Y     24576      4621      4506      4506      115      (0.437,0.563)      (0.437,0.563)      8864
  features.10.conv.1.0             Y      3456       649       633       633       16      (0.442,0.558)      (0.442,0.558)      1250
  features.10.conv.2               Y     24576      4621      4506      4506      115      (0.440,0.560)      (0.440,0.560)      8904
  features.11.conv.0.0             Y     24576      4621      4506      4506      115      (0.440,0.560)      (0.440,0.560)      8859
  features.11.conv.1.0             Y      3456       649       633       633       16      (0.435,0.565)      (0.435,0.565)      1244
  features.11.conv.2               Y     36864      6932      6759      6759      173      (0.444,0.556)      (0.444,0.556)     13324
  features.12.conv.0.0             Y     55296     10399     10139     10139      260      (0.439,0.561)      (0.439,0.561)     20013
  features.12.conv.1.0             Y      5184       974       950       950       24      (0.438,0.562)      (0.438,0.562)      1857
  features.12.conv.2               Y     55296     10399     10139     10139      260      (0.443,0.557)      (0.443,0.557)     20008
  features.13.conv.0.0             Y     55296     10399     10139     10139      260      (0.441,0.559)      (0.441,0.559)     19967
  features.13.conv.1.0             Y      5184       974       950       950       24      (0.439,0.561)      (0.439,0.561)      1864
  features.13.conv.2               Y     55296     10399     10139     10139      260      (0.442,0.558)      (0.442,0.558)     20038
  features.14.conv.0.0             Y     55296     10399     10139     10139      260      (0.438,0.562)      (0.438,0.562)     20092
  features.14.conv.1.0             Y      5184       974       950       950       24      (0.441,0.559)      (0.441,0.559)      1844
  features.14.conv.2               Y     92160     17331     16898     16898      433      (0.443,0.557)      (0.443,0.557)     33486
  features.15.conv.0.0             Y    153600     28886     28164     28164      722      (0.437,0.563)      (0.437,0.563)     55652
  features.15.conv.1.0             Y      8640      1624      1584      1584       40      (0.443,0.557)      (0.443,0.557)      3135
  features.15.conv.2               Y    153600     28886     28164     28164      722      (0.441,0.559)      (0.441,0.559)     55538
  features.16.conv.0.0             Y    153600     28886     28164     28164      722      (0.433,0.567)      (0.433,0.567)     55664
  features.16.conv.1.0             Y      8640      1624      1584      1584       40      (0.443,0.557)      (0.443,0.557)      3134
  features.16.conv.2               Y    153600     28886     28164     28164      722      (0.437,0.563)      (0.437,0.563)     55761
  features.17.conv.0.0             Y    153600     28886     28164     28164      722      (0.441,0.559)      (0.441,0.559)     55905
  features.17.conv.1.0             Y      8640      1624      1584      1584       40      (0.439,0.561)      (0.439,0.561)      3139
  features.17.conv.2               Y    307200     57773     56328     56328     1445      (0.432,0.568)      (0.432,0.568)    110522
  features.18.0                    N    409600    409600    409600    409600        0      (0.430,0.570)                  -         0
  classifier.1                     N      2560      2560      2560      2560        0      (0.432,0.568)                  -         0
