================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 13
  prune_ratio  : 0.280452 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-08 22:57:23
  t_score      : 60.6s (그룹별 점수 pass)
  t_greedy     : 11.3s (greedy 선택)
  total_params        : 2192320
  active_before/after : 1726121 / 1693285
  sparsity_all        : 22.76% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 28.05% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  ----------------------------------------------------------------------------------------------------------------------------------
  features.0.0                     N       864       864       864       864        0      (0.436,0.564)                  -         0
  features.1.conv.0.0              Y       288       212       207       207        5      (0.477,0.523)      (0.477,0.523)       215
  features.1.conv.1                Y       512       377       368       368        9      (0.464,0.536)      (0.464,0.536)       725
  features.2.conv.0.0              Y      1536      1133      1105      1105       28      (0.429,0.571)      (0.429,0.571)      2165
  features.2.conv.1.0              Y       864       637       621       621       16      (0.497,0.503)      (0.497,0.503)       625
  features.2.conv.2                Y      2304      1700      1657      1657       43      (0.456,0.544)      (0.456,0.544)      3239
  features.3.conv.0.0              Y      3456      2550      2486      2486       64      (0.439,0.561)      (0.439,0.561)      4891
  features.3.conv.1.0              Y      1296       956       932       932       24      (0.438,0.562)      (0.438,0.562)      1836
  features.3.conv.2                Y      3456      2550      2486      2486       64      (0.448,0.552)      (0.448,0.552)      4897
  features.4.conv.0.0              Y      3456      2550      2486      2486       64      (0.437,0.563)      (0.437,0.563)      4893
  features.4.conv.1.0              Y      1296       956       932       932       24      (0.449,0.551)      (0.449,0.551)      1827
  features.4.conv.2                Y      4608      3400      3315      3315       85      (0.446,0.554)      (0.446,0.554)      6524
  features.5.conv.0.0              Y      6144      4534      4420      4420      114      (0.428,0.572)      (0.428,0.572)      8696
  features.5.conv.1.0              Y      1728      1275      1243      1243       32      (0.425,0.575)      (0.425,0.575)      2449
  features.5.conv.2                Y      6144      4534      4420      4420      114      (0.431,0.569)      (0.431,0.569)      8713
  features.6.conv.0.0              Y      6144      4534      4420      4420      114      (0.431,0.569)      (0.431,0.569)      8704
  features.6.conv.1.0              Y      1728      1275      1243      1243       32      (0.421,0.579)      (0.421,0.579)      2434
  features.6.conv.2                Y      6144      4534      4420      4420      114      (0.419,0.581)      (0.419,0.581)      8679
  features.7.conv.0.0              Y      6144      4534      4420      4420      114      (0.424,0.576)      (0.424,0.576)      8723
  features.7.conv.1.0              Y      1728      1275      1243      1243       32      (0.435,0.565)      (0.435,0.565)      2423
  features.7.conv.2                Y     12288      9068      8841      8841      227      (0.434,0.566)      (0.434,0.566)     17396
  features.8.conv.0.0              Y     24576     18137     17683     17683      454      (0.421,0.579)      (0.421,0.579)     34855
  features.8.conv.1.0              Y      3456      2550      2486      2486       64      (0.423,0.577)      (0.423,0.577)      4908
  features.8.conv.2                Y     24576     18137     17683     17683      454      (0.430,0.570)      (0.430,0.570)     34833
  features.9.conv.0.0              Y     24576     18137     17683     17683      454      (0.420,0.580)      (0.420,0.580)     34798
  features.9.conv.1.0              Y      3456      2550      2486      2486       64      (0.429,0.571)      (0.429,0.571)      4865
  features.9.conv.2                Y     24576     18137     17683     17683      454      (0.429,0.571)      (0.429,0.571)     34792
  features.10.conv.0.0             Y     24576     18137     17683     17683      454      (0.420,0.580)      (0.420,0.580)     34854
  features.10.conv.1.0             Y      3456      2550      2486      2486       64      (0.421,0.579)      (0.421,0.579)      4897
  features.10.conv.2               Y     24576     18137     17683     17683      454      (0.434,0.566)      (0.434,0.566)     34804
  features.11.conv.0.0             Y     24576     18137     17683     17683      454      (0.423,0.577)      (0.423,0.577)     34810
  features.11.conv.1.0             Y      3456      2550      2486      2486       64      (0.424,0.576)      (0.424,0.576)      4890
  features.11.conv.2               Y     36864     27205     26525     26525      680      (0.433,0.567)      (0.433,0.567)     52181
  features.12.conv.0.0             Y     55296     40808     39788     39788     1020      (0.421,0.579)      (0.421,0.579)     78392
  features.12.conv.1.0             Y      5184      3825      3730      3730       95      (0.433,0.567)      (0.433,0.567)      7297
  features.12.conv.2               Y     55296     40808     39788     39788     1020      (0.436,0.564)      (0.436,0.564)     78165
  features.13.conv.0.0             Y     55296     40808     39788     39788     1020      (0.429,0.571)      (0.429,0.571)     78320
  features.13.conv.1.0             Y      5184      3825      3730      3730       95      (0.426,0.574)      (0.426,0.574)      7314
  features.13.conv.2               Y     55296     40808     39788     39788     1020      (0.434,0.566)      (0.434,0.566)     78209
  features.14.conv.0.0             Y     55296     40808     39788     39788     1020      (0.429,0.571)      (0.429,0.571)     78154
  features.14.conv.1.0             Y      5184      3825      3730      3730       95      (0.411,0.589)      (0.411,0.589)      7283
  features.14.conv.2               Y     92160     68013     66313     66313     1700      (0.420,0.580)      (0.420,0.580)    130498
  features.15.conv.0.0             Y    153600    113356    110522    110522     2834      (0.412,0.588)      (0.412,0.588)    217332
  features.15.conv.1.0             Y      8640      6376      6216      6216      160      (0.420,0.580)      (0.420,0.580)     12137
  features.15.conv.2               Y    153600    113356    110522    110522     2834      (0.416,0.584)      (0.416,0.584)    217281
  features.16.conv.0.0             Y    153600    113356    110522    110522     2834      (0.413,0.587)      (0.413,0.587)    217134
  features.16.conv.1.0             Y      8640      6376      6216      6216      160      (0.425,0.575)      (0.425,0.575)     12172
  features.16.conv.2               Y    153600    113356    110522    110522     2834      (0.427,0.573)      (0.427,0.573)    216507
  features.17.conv.0.0             Y    153600    113356    110522    110522     2834      (0.421,0.579)      (0.421,0.579)    219058
  features.17.conv.1.0             Y      8640      6376      6216      6216      160      (0.432,0.568)      (0.432,0.568)     12234
  features.17.conv.2               Y    307200    226713    221045    221045     5668      (0.434,0.566)      (0.434,0.566)    435605
  features.18.0                    N    409600    409600    409600    409600        0      (0.400,0.600)                  -         0
  classifier.1                     N      2560      2560      2560      2560        0      (0.421,0.579)                  -         0
