================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 65
  prune_ratio  : 0.807114 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-09 01:45:56
  t_score      : 61.4s (그룹별 점수 pass)
  t_greedy     : 4.4s (greedy 선택)
  total_params        : 2192320
  active_before/after : 764992 / 756200
  sparsity_all        : 65.51% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 80.71% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  ----------------------------------------------------------------------------------------------------------------------------------
  features.0.0                     N       864       864       864       864        0      (0.479,0.521)                  -         0
  features.1.conv.0.0              Y       288        56        55        55        1      (0.461,0.539)      (0.461,0.539)       107
  features.1.conv.1                Y       512       101        98        98        3      (0.439,0.561)      (0.439,0.561)       172
  features.2.conv.0.0              Y      1536       303       296       296        7      (0.434,0.566)      (0.434,0.566)       569
  features.2.conv.1.0              Y       864       170       166       166        4      (0.457,0.543)      (0.457,0.543)       326
  features.2.conv.2                Y      2304       455       444       444       11      (0.447,0.553)      (0.447,0.553)       867
  features.3.conv.0.0              Y      3456       683       666       666       17      (0.449,0.551)      (0.449,0.551)      1317
  features.3.conv.1.0              Y      1296       256       249       249        7      (0.450,0.550)      (0.450,0.550)       478
  features.3.conv.2                Y      3456       683       666       666       17      (0.447,0.553)      (0.447,0.553)      1308
  features.4.conv.0.0              Y      3456       683       666       666       17      (0.452,0.548)      (0.452,0.548)      1301
  features.4.conv.1.0              Y      1296       256       249       249        7      (0.448,0.552)      (0.448,0.552)       489
  features.4.conv.2                Y      4608       911       888       888       23      (0.451,0.549)      (0.451,0.549)      1652
  features.5.conv.0.0              Y      6144      1215      1185      1185       30      (0.451,0.549)      (0.451,0.549)      2327
  features.5.conv.1.0              Y      1728       341       333       333        8      (0.457,0.543)      (0.457,0.543)       653
  features.5.conv.2                Y      6144      1215      1185      1185       30      (0.454,0.546)      (0.454,0.546)      2330
  features.6.conv.0.0              Y      6144      1215      1185      1185       30      (0.438,0.562)      (0.438,0.562)      2329
  features.6.conv.1.0              Y      1728       341       333       333        8      (0.433,0.567)      (0.433,0.567)       655
  features.6.conv.2                Y      6144      1215      1185      1185       30      (0.449,0.551)      (0.449,0.551)      2330
  features.7.conv.0.0              Y      6144      1215      1185      1185       30      (0.448,0.552)      (0.448,0.552)      2329
  features.7.conv.1.0              Y      1728       341       333       333        8      (0.446,0.554)      (0.446,0.554)       652
  features.7.conv.2                Y     12288      2430      2370      2370       60      (0.444,0.556)      (0.444,0.556)      4694
  features.8.conv.0.0              Y     24576      4861      4740      4740      121      (0.447,0.553)      (0.447,0.553)      9337
  features.8.conv.1.0              Y      3456       683       666       666       17      (0.444,0.556)      (0.444,0.556)      1314
  features.8.conv.2                Y     24576      4861      4740      4740      121      (0.441,0.559)      (0.441,0.559)      9345
  features.9.conv.0.0              Y     24576      4861      4740      4740      121      (0.443,0.557)      (0.443,0.557)      9313
  features.9.conv.1.0              Y      3456       683       666       666       17      (0.442,0.558)      (0.442,0.558)      1311
  features.9.conv.2                Y     24576      4861      4740      4740      121      (0.445,0.555)      (0.445,0.555)      9339
  features.10.conv.0.0             Y     24576      4861      4740      4740      121      (0.442,0.558)      (0.442,0.558)      9310
  features.10.conv.1.0             Y      3456       683       666       666       17      (0.445,0.555)      (0.445,0.555)      1308
  features.10.conv.2               Y     24576      4861      4740      4740      121      (0.449,0.551)      (0.449,0.551)      9344
  features.11.conv.0.0             Y     24576      4861      4740      4740      121      (0.439,0.561)      (0.439,0.561)      9357
  features.11.conv.1.0             Y      3456       683       666       666       17      (0.448,0.552)      (0.448,0.552)      1321
  features.11.conv.2               Y     36864      7292      7110      7110      182      (0.447,0.553)      (0.447,0.553)     14082
  features.12.conv.0.0             Y     55296     10939     10665     10665      274      (0.441,0.559)      (0.441,0.559)     20976
  features.12.conv.1.0             Y      5184      1025       999       999       26      (0.445,0.555)      (0.445,0.555)      1935
  features.12.conv.2               Y     55296     10939     10665     10665      274      (0.448,0.552)      (0.448,0.552)     21024
  features.13.conv.0.0             Y     55296     10939     10665     10665      274      (0.437,0.563)      (0.437,0.563)     21038
  features.13.conv.1.0             Y      5184      1025       999       999       26      (0.448,0.552)      (0.448,0.552)      1965
  features.13.conv.2               Y     55296     10939     10665     10665      274      (0.449,0.551)      (0.449,0.551)     20993
  features.14.conv.0.0             Y     55296     10939     10665     10665      274      (0.434,0.566)      (0.434,0.566)     21127
  features.14.conv.1.0             Y      5184      1025       999       999       26      (0.441,0.559)      (0.441,0.559)      1979
  features.14.conv.2               Y     92160     18232     17776     17776      456      (0.452,0.548)      (0.452,0.548)     34963
  features.15.conv.0.0             Y    153600     30386     29627     29627      759      (0.434,0.566)      (0.434,0.566)     58635
  features.15.conv.1.0             Y      8640      1709      1666      1666       43      (0.443,0.557)      (0.443,0.557)      3286
  features.15.conv.2               Y    153600     30386     29627     29627      759      (0.445,0.555)      (0.445,0.555)     58469
  features.16.conv.0.0             Y    153600     30386     29627     29627      759      (0.433,0.567)      (0.433,0.567)     58658
  features.16.conv.1.0             Y      8640      1709      1666      1666       43      (0.439,0.561)      (0.439,0.561)      3294
  features.16.conv.2               Y    153600     30386     29627     29627      759      (0.445,0.555)      (0.445,0.555)     58087
  features.17.conv.0.0             Y    153600     30386     29627     29627      759      (0.440,0.560)      (0.440,0.560)     58562
  features.17.conv.1.0             Y      8640      1709      1666      1666       43      (0.443,0.557)      (0.443,0.557)      3258
  features.17.conv.2               Y    307200     60773     59254     59254     1519      (0.442,0.558)      (0.442,0.558)    117840
  features.18.0                    N    409600    409600    409600    409600        0      (0.440,0.560)                  -         0
  classifier.1                     N      2560      2560      2560      2560        0      (0.441,0.559)                  -         0
