================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 4
  prune_ratio  : 0.096312 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-08 22:27:35
  t_score      : 61.2s (그룹별 점수 pass)
  t_greedy     : 14.2s (greedy 선택)
  total_params        : 2192320
  active_before/after : 2062156 / 2020934
  sparsity_all        : 7.82% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 9.63% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  ----------------------------------------------------------------------------------------------------------------------------------
  features.0.0                     N       864       864       864       864        0      (0.360,0.640)                  -         0
  features.1.conv.0.0              Y       288       266       260       260        6      (0.426,0.574)      (0.426,0.574)       308
  features.1.conv.1                Y       512       474       462       462       12      (0.430,0.570)      (0.430,0.570)       822
  features.2.conv.0.0              Y      1536      1423      1388      1388       35      (0.411,0.589)      (0.411,0.589)      2762
  features.2.conv.1.0              Y       864       800       780       780       20      (0.424,0.576)      (0.424,0.576)      1550
  features.2.conv.2                Y      2304      2135      2082      2082       53      (0.412,0.588)      (0.412,0.588)      4143
  features.3.conv.0.0              Y      3456      3203      3123      3123       80      (0.412,0.588)      (0.412,0.588)      6205
  features.3.conv.1.0              Y      1296      1201      1171      1171       30      (0.414,0.586)      (0.414,0.586)      2325
  features.3.conv.2                Y      3456      3203      3123      3123       80      (0.422,0.578)      (0.422,0.578)      6193
  features.4.conv.0.0              Y      3456      3203      3123      3123       80      (0.420,0.580)      (0.420,0.580)      6214
  features.4.conv.1.0              Y      1296      1201      1171      1171       30      (0.426,0.574)      (0.426,0.574)      2278
  features.4.conv.2                Y      4608      4270      4164      4164      106      (0.414,0.586)      (0.414,0.586)      8283
  features.5.conv.0.0              Y      6144      5694      5552      5552      142      (0.415,0.585)      (0.415,0.585)     11018
  features.5.conv.1.0              Y      1728      1601      1561      1561       40      (0.430,0.570)      (0.430,0.570)      3106
  features.5.conv.2                Y      6144      5694      5552      5552      142      (0.429,0.571)      (0.429,0.571)     11040
  features.6.conv.0.0              Y      6144      5694      5552      5552      142      (0.411,0.589)      (0.411,0.589)     11050
  features.6.conv.1.0              Y      1728      1601      1561      1561       40      (0.425,0.575)      (0.425,0.575)      3104
  features.6.conv.2                Y      6144      5694      5552      5552      142      (0.421,0.579)      (0.421,0.579)     11043
  features.7.conv.0.0              Y      6144      5694      5552      5552      142      (0.410,0.590)      (0.410,0.590)     11046
  features.7.conv.1.0              Y      1728      1601      1561      1561       40      (0.418,0.582)      (0.418,0.582)      3083
  features.7.conv.2                Y     12288     11389     11104     11104      285      (0.410,0.590)      (0.410,0.590)     22072
  features.8.conv.0.0              Y     24576     22778     22209     22209      569      (0.417,0.583)      (0.417,0.583)     44175
  features.8.conv.1.0              Y      3456      3203      3123      3123       80      (0.407,0.593)      (0.407,0.593)      6214
  features.8.conv.2                Y     24576     22778     22209     22209      569      (0.408,0.592)      (0.408,0.592)     44105
  features.9.conv.0.0              Y     24576     22778     22209     22209      569      (0.411,0.589)      (0.411,0.589)     44195
