================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 23
  prune_ratio  : 0.441393 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-08 23:30:18
  t_score      : 60.9s (그룹별 점수 pass)
  t_greedy     : 9.0s (greedy 선택)
  total_params        : 2192320
  active_before/after : 1432426 / 1406926
  sparsity_all        : 35.82% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 44.14% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  ----------------------------------------------------------------------------------------------------------------------------------
  features.0.0                     N       864       864       864       864        0      (0.459,0.541)                  -         0
  features.1.conv.0.0              Y       288       165       160       160        5      (0.460,0.540)      (0.460,0.540)       311
  features.1.conv.1                Y       512       293       286       286        7      (0.443,0.557)      (0.443,0.557)       558
  features.2.conv.0.0              Y      1536       880       858       858       22      (0.442,0.558)      (0.442,0.558)      1680
  features.2.conv.1.0              Y       864       495       482       482       13      (0.470,0.530)      (0.470,0.530)       939
  features.2.conv.2                Y      2304      1320      1287      1287       33      (0.463,0.537)      (0.463,0.537)      2447
  features.3.conv.0.0              Y      3456      1980      1930      1930       50      (0.433,0.567)      (0.433,0.567)      3764
  features.3.conv.1.0              Y      1296       742       723       723       19      (0.445,0.555)      (0.445,0.555)      1405
  features.3.conv.2                Y      3456      1980      1930      1930       50      (0.436,0.564)      (0.436,0.564)      3775
  features.4.conv.0.0              Y      3456      1980      1930      1930       50      (0.437,0.563)      (0.437,0.563)      3798
  features.4.conv.1.0              Y      1296       742       723       723       19      (0.433,0.567)      (0.433,0.567)      1406
  features.4.conv.2                Y      4608      2640      2574      2574       66      (0.439,0.561)      (0.439,0.561)      5039
  features.5.conv.0.0              Y      6144      3520      3432      3432       88      (0.422,0.578)      (0.422,0.578)      6733
  features.5.conv.1.0              Y      1728       990       965       965       25      (0.411,0.589)      (0.411,0.589)      1888
  features.5.conv.2                Y      6144      3520      3432      3432       88      (0.432,0.568)      (0.432,0.568)      6756
  features.6.conv.0.0              Y      6144      3520      3432      3432       88      (0.421,0.579)      (0.421,0.579)      6714
  features.6.conv.1.0              Y      1728       990       965       965       25      (0.380,0.620)      (0.380,0.620)       967
  features.6.conv.2                Y      6144      3520      3432      3432       88      (0.422,0.578)      (0.422,0.578)      6710
  features.7.conv.0.0              Y      6144      3520      3432      3432       88      (0.415,0.585)      (0.415,0.585)      6658
  features.7.conv.1.0              Y      1728       990       965       965       25      (0.422,0.578)      (0.422,0.578)      1876
  features.7.conv.2                Y     12288      7040      6864      6864      176      (0.418,0.582)      (0.418,0.582)     13406
  features.8.conv.0.0              Y     24576     14080     13728     13728      352      (0.428,0.572)      (0.428,0.572)     26849
  features.8.conv.1.0              Y      3456      1980      1930      1930       50      (0.414,0.586)      (0.414,0.586)      3751
  features.8.conv.2                Y     24576     14080     13728     13728      352      (0.415,0.585)      (0.415,0.585)     26820
  features.9.conv.0.0              Y     24576     14080     13728     13728      352      (0.421,0.579)      (0.421,0.579)     26864
  features.9.conv.1.0              Y      3456      1980      1930      1930       50      (0.410,0.590)      (0.410,0.590)      3752
  features.9.conv.2                Y     24576     14080     13728     13728      352      (0.413,0.587)      (0.413,0.587)     26884
  features.10.conv.0.0             Y     24576     14080     13728     13728      352      (0.423,0.577)      (0.423,0.577)     26826
  features.10.conv.1.0             Y      3456      1980      1930      1930       50      (0.417,0.583)      (0.417,0.583)      3755
  features.10.conv.2               Y     24576     14080     13728     13728      352      (0.415,0.585)      (0.415,0.585)     26927
  features.11.conv.0.0             Y     24576     14080     13728     13728      352      (0.415,0.585)      (0.415,0.585)     26815
  features.11.conv.1.0             Y      3456      1980      1930      1930       50      (0.402,0.598)      (0.402,0.598)      3762
  features.11.conv.2               Y     36864     21120     20592     20592      528      (0.403,0.597)      (0.403,0.597)     40233
  features.12.conv.0.0             Y     55296     31680     30888     30888      792      (0.413,0.587)      (0.413,0.587)     60337
  features.12.conv.1.0             Y      5184      2970      2895      2895       75      (0.415,0.585)      (0.415,0.585)      5650
  features.12.conv.2               Y     55296     31680     30888     30888      792      (0.412,0.588)      (0.412,0.588)     60457
  features.13.conv.0.0             Y     55296     31680     30888     30888      792      (0.420,0.580)      (0.420,0.580)     60477
  features.13.conv.1.0             Y      5184      2970      2895      2895       75      (0.410,0.590)      (0.410,0.590)      5651
  features.13.conv.2               Y     55296     31680     30888     30888      792      (0.411,0.589)      (0.411,0.589)     60421
  features.14.conv.0.0             Y     55296     31680     30888     30888      792      (0.411,0.589)      (0.411,0.589)     60375
  features.14.conv.1.0             Y      5184      2970      2895      2895       75      (0.417,0.583)      (0.417,0.583)      5650
  features.14.conv.2               Y     92160     52801     51481     51481     1320      (0.394,0.606)      (0.394,0.606)    100166
  features.15.conv.0.0             Y    153600     88002     85801     85801     2201      (0.409,0.591)      (0.409,0.591)    167957
  features.15.conv.1.0             Y      8640      4950      4826      4826      124      (0.400,0.600)      (0.400,0.600)      9400
  features.15.conv.2               Y    153600     88002     85801     85801     2201      (0.391,0.609)      (0.391,0.609)    167726
  features.16.conv.0.0             Y    153600     88002     85801     85801     2201      (0.401,0.599)      (0.401,0.599)    167584
  features.16.conv.1.0             Y      8640      4950      4826      4826      124      (0.387,0.613)      (0.387,0.613)      9421
  features.16.conv.2               Y    153600     88002     85801     85801     2201      (0.386,0.614)      (0.386,0.614)    167973
  features.17.conv.0.0             Y    153600     88002     85801     85801     2201      (0.387,0.613)      (0.387,0.613)    168600
  features.17.conv.1.0             Y      8640      4950      4826      4826      124      (0.375,0.625)      (0.375,0.625)      9457
  features.17.conv.2               Y    307200    176004    171603    171603     4401      (0.376,0.624)      (0.376,0.624)    336825
  features.18.0                    N    409600    409600    409600    409600        0      (0.404,0.596)                  -         0
  classifier.1                     N      2560      2560      2560      2560        0      (0.377,0.623)                  -         0
