================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 8
  prune_ratio  : 0.183348 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-08 22:40:53
  t_score      : 61.3s (그룹별 점수 pass)
  t_greedy     : 13.0s (greedy 선택)
  total_params        : 2192320
  active_before/after : 1903324 / 1866069
  sparsity_all        : 14.88% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 18.34% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  ----------------------------------------------------------------------------------------------------------------------------------
  features.0.0                     N       864       864       864       864        0      (0.445,0.555)                  -         0
  features.1.conv.0.0              Y       288       241       235       235        6      (0.400,0.600)      (0.400,0.600)       429
  features.1.conv.1                Y       512       428       418       418       10      (0.401,0.599)      (0.401,0.599)       802
  features.2.conv.0.0              Y      1536      1286      1254      1254       32      (0.418,0.582)      (0.418,0.582)      2464
  features.2.conv.1.0              Y       864       723       705       705       18      (0.398,0.602)      (0.398,0.602)      1391
  features.2.conv.2                Y      2304      1929      1881      1881       48      (0.406,0.594)      (0.406,0.594)      3661
  features.3.conv.0.0              Y      3456      2894      2822      2822       72      (0.419,0.581)      (0.419,0.581)      5592
  features.3.conv.1.0              Y      1296      1085      1058      1058       27      (0.409,0.591)      (0.409,0.591)      2080
  features.3.conv.2                Y      3456      2894      2822      2822       72      (0.399,0.601)      (0.399,0.601)      5583
  features.4.conv.0.0              Y      3456      2894      2822      2822       72      (0.418,0.582)      (0.418,0.582)      5594
  features.4.conv.1.0              Y      1296      1085      1058      1058       27      (0.426,0.574)      (0.426,0.574)      2077
  features.4.conv.2                Y      4608      3859      3763      3763       96      (0.416,0.584)      (0.416,0.584)      7460
  features.5.conv.0.0              Y      6144      5146      5017      5017      129      (0.419,0.581)      (0.419,0.581)      9945
  features.5.conv.1.0              Y      1728      1447      1411      1411       36      (0.395,0.605)      (0.395,0.605)      2764
  features.5.conv.2                Y      6144      5146      5017      5017      129      (0.409,0.591)      (0.409,0.591)      9924
  features.6.conv.0.0              Y      6144      5146      5017      5017      129      (0.422,0.578)      (0.422,0.578)      9925
  features.6.conv.1.0              Y      1728      1447      1411      1411       36      (0.440,0.560)      (0.440,0.560)      2795
  features.6.conv.2                Y      6144      5146      5017      5017      129      (0.408,0.592)      (0.408,0.592)      9882
  features.7.conv.0.0              Y      6144      5146      5017      5017      129      (0.419,0.581)      (0.419,0.581)      9931
  features.7.conv.1.0              Y      1728      1447      1411      1411       36      (0.412,0.588)      (0.412,0.588)      2784
  features.7.conv.2                Y     12288     10292     10035     10035      257      (0.411,0.589)      (0.411,0.589)     19855
  features.8.conv.0.0              Y     24576     20584     20070     20070      514      (0.415,0.585)      (0.415,0.585)     39692
  features.8.conv.1.0              Y      3456      2894      2822      2822       72      (0.399,0.601)      (0.399,0.601)      5567
  features.8.conv.2                Y     24576     20584     20070     20070      514      (0.413,0.587)      (0.413,0.587)     39708
  features.9.conv.0.0              Y     24576     20584     20070     20070      514      (0.422,0.578)      (0.422,0.578)     39735
  features.9.conv.1.0              Y      3456      2894      2822      2822       72      (0.420,0.580)      (0.420,0.580)      5578
  features.9.conv.2                Y     24576     20584     20070     20070      514      (0.414,0.586)      (0.414,0.586)     39707
  features.10.conv.0.0             Y     24576     20584     20070     20070      514      (0.419,0.581)      (0.419,0.581)     39718
  features.10.conv.1.0             Y      3456      2894      2822      2822       72      (0.406,0.594)      (0.406,0.594)      5568
  features.10.conv.2               Y     24576     20584     20070     20070      514      (0.418,0.582)      (0.418,0.582)     39749
  features.11.conv.0.0             Y     24576     20584     20070     20070      514      (0.415,0.585)      (0.415,0.585)     39741
  features.11.conv.1.0             Y      3456      2894      2822      2822       72      (0.420,0.580)      (0.420,0.580)      5600
  features.11.conv.2               Y     36864     30876     30105     30105      771      (0.414,0.586)      (0.414,0.586)     59587
