================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 31
  prune_ratio  : 0.543813 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-08 23:56:19
  t_score      : 61.5s (그룹별 점수 pass)
  t_greedy     : 8.0s (greedy 선택)
  total_params        : 2192320
  active_before/after : 1245511 / 1224693
  sparsity_all        : 44.14% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 54.38% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  ----------------------------------------------------------------------------------------------------------------------------------
  features.0.0                     N       864       864       864       864        0      (0.400,0.600)                  -         0
  features.1.conv.0.0              Y       288       134       131       131        3      (0.354,0.646)      (0.354,0.646)       133
  features.1.conv.1                Y       512       239       233       233        6      (0.386,0.614)      (0.386,0.614)       427
  features.2.conv.0.0              Y      1536       718       700       700       18      (0.407,0.593)      (0.407,0.593)      1363
  features.2.conv.1.0              Y       864       404       394       394       10      (0.417,0.583)      (0.417,0.583)       780
  features.2.conv.2                Y      2304      1078      1051      1051       27      (0.404,0.596)      (0.404,0.596)      2041
  features.3.conv.0.0              Y      3456      1617      1576      1576       41      (0.418,0.582)      (0.418,0.582)      3061
  features.3.conv.1.0              Y      1296       606       591       591       15      (0.421,0.579)      (0.421,0.579)      1150
  features.3.conv.2                Y      3456      1617      1576      1576       41      (0.404,0.596)      (0.404,0.596)      3067
  features.4.conv.0.0              Y      3456      1617      1576      1576       41      (0.425,0.575)      (0.425,0.575)      3089
  features.4.conv.1.0              Y      1296       606       591       591       15      (0.402,0.598)      (0.402,0.598)      1127
  features.4.conv.2                Y      4608      2156      2102      2102       54      (0.401,0.599)      (0.401,0.599)      4107
  features.5.conv.0.0              Y      6144      2874      2802      2802       72      (0.408,0.592)      (0.408,0.592)      5497
  features.5.conv.1.0              Y      1728       808       788       788       20      (0.374,0.626)      (0.374,0.626)       790
  features.5.conv.2                Y      6144      2874      2802      2802       72      (0.387,0.613)      (0.387,0.613)      5412
  features.6.conv.0.0              Y      6144      2874      2802      2802       72      (0.408,0.592)      (0.408,0.592)      5479
  features.6.conv.1.0              Y      1728       808       788       788       20      (0.361,0.639)      (0.361,0.639)       790
  features.6.conv.2                Y      6144      2874      2802      2802       72      (0.391,0.609)      (0.391,0.609)      5410
  features.7.conv.0.0              Y      6144      2874      2802      2802       72      (0.409,0.591)      (0.409,0.591)      5446
  features.7.conv.1.0              Y      1728       808       788       788       20      (0.404,0.596)      (0.404,0.596)      1531
  features.7.conv.2                Y     12288      5749      5605      5605      144      (0.395,0.605)      (0.395,0.605)     10967
  features.8.conv.0.0              Y     24576     11498     11211     11211      287      (0.417,0.583)      (0.417,0.583)     21959
  features.8.conv.1.0              Y      3456      1617      1576      1576       41      (0.383,0.617)      (0.383,0.617)      3051
  features.8.conv.2                Y     24576     11498     11211     11211      287      (0.393,0.607)      (0.393,0.607)     21839
  features.9.conv.0.0              Y     24576     11498     11211     11211      287      (0.414,0.586)      (0.414,0.586)     21939
  features.9.conv.1.0              Y      3456      1617      1576      1576       41      (0.403,0.597)      (0.403,0.597)      3085
  features.9.conv.2                Y     24576     11498     11211     11211      287      (0.393,0.607)      (0.393,0.607)     21906
  features.10.conv.0.0             Y     24576     11498     11211     11211      287      (0.408,0.592)      (0.408,0.592)     21940
  features.10.conv.1.0             Y      3456      1617      1576      1576       41      (0.396,0.604)      (0.396,0.604)      3077
  features.10.conv.2               Y     24576     11498     11211     11211      287      (0.393,0.607)      (0.393,0.607)     21810
  features.11.conv.0.0             Y     24576     11498     11211     11211      287      (0.407,0.593)      (0.407,0.593)     21947
  features.11.conv.1.0             Y      3456      1617      1576      1576       41      (0.403,0.597)      (0.403,0.597)      3075
  features.11.conv.2               Y     36864     17248     16816     16816      432      (0.399,0.601)      (0.399,0.601)     32894
  features.12.conv.0.0             Y     55296     25872     25225     25225      647      (0.402,0.598)      (0.402,0.598)     49367
  features.12.conv.1.0             Y      5184      2425      2364      2364       61      (0.396,0.604)      (0.396,0.604)      4604
  features.12.conv.2               Y     55296     25872     25225     25225      647      (0.395,0.605)      (0.395,0.605)     49313
  features.13.conv.0.0             Y     55296     25872     25225     25225      647      (0.401,0.599)      (0.401,0.599)     49231
  features.13.conv.1.0             Y      5184      2425      2364      2364       61      (0.393,0.607)      (0.393,0.607)      4496
  features.13.conv.2               Y     55296     25872     25225     25225      647      (0.395,0.605)      (0.395,0.605)     49499
  features.14.conv.0.0             Y     55296     25872     25225     25225      647      (0.394,0.606)      (0.394,0.606)     49298
  features.14.conv.1.0             Y      5184      2425      2364      2364       61      (0.388,0.612)      (0.388,0.612)      4561
  features.14.conv.2               Y     92160     43120     42042     42042     1078      (0.389,0.611)      (0.389,0.611)     82362
  features.15.conv.0.0             Y    153600     71867     70070     70070     1797      (0.399,0.601)      (0.399,0.601)    137747
  features.15.conv.1.0             Y      8640      4042      3941      3941      101      (0.390,0.610)      (0.390,0.610)      7744
