================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 32
  prune_ratio  : 0.555217 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-08 23:59:34
  t_score      : 60.6s (그룹별 점수 pass)
  t_greedy     : 7.5s (greedy 선택)
  total_params        : 2192320
  active_before/after : 1224693 / 1204394
  sparsity_all        : 45.06% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 55.52% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  ----------------------------------------------------------------------------------------------------------------------------------
  features.0.0                     N       864       864       864       864        0      (0.454,0.546)                  -         0
  features.1.conv.0.0              Y       288       131       128       128        3      (0.409,0.591)      (0.409,0.591)       244
  features.1.conv.1                Y       512       233       227       227        6      (0.415,0.585)      (0.415,0.585)       231
  features.2.conv.0.0              Y      1536       700       683       683       17      (0.440,0.560)      (0.440,0.560)      1353
  features.2.conv.1.0              Y       864       394       384       384       10      (0.438,0.562)      (0.438,0.562)       754
  features.2.conv.2                Y      2304      1051      1024      1024       27      (0.440,0.560)      (0.440,0.560)      2000
  features.3.conv.0.0              Y      3456      1576      1537      1537       39      (0.424,0.576)      (0.424,0.576)      2966
  features.3.conv.1.0              Y      1296       591       576       576       15      (0.435,0.565)      (0.435,0.565)      1128
  features.3.conv.2                Y      3456      1576      1537      1537       39      (0.427,0.573)      (0.427,0.573)      2955
  features.4.conv.0.0              Y      3456      1576      1537      1537       39      (0.433,0.567)      (0.433,0.567)      3020
  features.4.conv.1.0              Y      1296       591       576       576       15      (0.426,0.574)      (0.426,0.574)      1116
  features.4.conv.2                Y      4608      2102      2049      2049       53      (0.436,0.564)      (0.436,0.564)      4038
  features.5.conv.0.0              Y      6144      2802      2732      2732       70      (0.426,0.574)      (0.426,0.574)      5336
  features.5.conv.1.0              Y      1728       788       768       768       20      (0.406,0.594)      (0.406,0.594)      1494
  features.5.conv.2                Y      6144      2802      2732      2732       70      (0.428,0.572)      (0.428,0.572)      5334
  features.6.conv.0.0              Y      6144      2802      2732      2732       70      (0.437,0.563)      (0.437,0.563)      5358
  features.6.conv.1.0              Y      1728       788       768       768       20      (0.412,0.588)      (0.412,0.588)      1472
  features.6.conv.2                Y      6144      2802      2732      2732       70      (0.428,0.572)      (0.428,0.572)      5332
  features.7.conv.0.0              Y      6144      2802      2732      2732       70      (0.432,0.568)      (0.432,0.568)      5363
  features.7.conv.1.0              Y      1728       788       768       768       20      (0.449,0.551)      (0.449,0.551)      1511
  features.7.conv.2                Y     12288      5605      5465      5465      140      (0.437,0.563)      (0.437,0.563)     10727
  features.8.conv.0.0              Y     24576     11211     10930     10930      281      (0.435,0.565)      (0.435,0.565)     21427
  features.8.conv.1.0              Y      3456      1576      1537      1537       39      (0.424,0.576)      (0.424,0.576)      3000
  features.8.conv.2                Y     24576     11211     10930     10930      281      (0.439,0.561)      (0.439,0.561)     21405
  features.9.conv.0.0              Y     24576     11211     10930     10930      281      (0.431,0.569)      (0.431,0.569)     21370
  features.9.conv.1.0              Y      3456      1576      1537      1537       39      (0.438,0.562)      (0.438,0.562)      3005
  features.9.conv.2                Y     24576     11211     10930     10930      281      (0.437,0.563)      (0.437,0.563)     21347
  features.10.conv.0.0             Y     24576     11211     10930     10930      281      (0.427,0.573)      (0.427,0.573)     21358
  features.10.conv.1.0             Y      3456      1576      1537      1537       39      (0.448,0.552)      (0.448,0.552)      2962
  features.10.conv.2               Y     24576     11211     10930     10930      281      (0.440,0.560)      (0.440,0.560)     21420
  features.11.conv.0.0             Y     24576     11211     10930     10930      281      (0.439,0.561)      (0.439,0.561)     21373
  features.11.conv.1.0             Y      3456      1576      1537      1537       39      (0.449,0.551)      (0.449,0.551)      2998
  features.11.conv.2               Y     36864     16816     16396     16396      420      (0.447,0.553)      (0.447,0.553)     32202
  features.12.conv.0.0             Y     55296     25225     24594     24594      631      (0.437,0.563)      (0.437,0.563)     48285
  features.12.conv.1.0             Y      5184      2364      2305      2305       59      (0.448,0.552)      (0.448,0.552)      4502
  features.12.conv.2               Y     55296     25225     24594     24594      631      (0.450,0.550)      (0.450,0.550)     48152
  features.13.conv.0.0             Y     55296     25225     24594     24594      631      (0.440,0.560)      (0.440,0.560)     48221
  features.13.conv.1.0             Y      5184      2364      2305      2305       59      (0.449,0.551)      (0.449,0.551)      4502
  features.13.conv.2               Y     55296     25225     24594     24594      631      (0.455,0.545)      (0.455,0.545)     48047
  features.14.conv.0.0             Y     55296     25225     24594     24594      631      (0.436,0.564)      (0.436,0.564)     48248
  features.14.conv.1.0             Y      5184      2364      2305      2305       59      (0.427,0.573)      (0.427,0.573)      4471
  features.14.conv.2               Y     92160     42042     40991     40991     1051      (0.448,0.552)      (0.448,0.552)     80241
  features.15.conv.0.0             Y    153600     70070     68318     68318     1752      (0.430,0.570)      (0.430,0.570)    134172
  features.15.conv.1.0             Y      8640      3941      3842      3842       99      (0.451,0.549)      (0.451,0.549)      7459
  features.15.conv.2               Y    153600     70070     68318     68318     1752      (0.449,0.551)      (0.449,0.551)    133088
  features.16.conv.0.0             Y    153600     70070     68318     68318     1752      (0.432,0.568)      (0.432,0.568)    134370
  features.16.conv.1.0             Y      8640      3941      3842      3842       99      (0.451,0.549)      (0.451,0.549)      7544
  features.16.conv.2               Y    153600     70070     68318     68318     1752      (0.453,0.547)      (0.453,0.547)    134323
  features.17.conv.0.0             Y    153600     70070     68318     68318     1752      (0.451,0.549)      (0.451,0.549)    134686
  features.17.conv.1.0             Y      8640      3941      3842      3842       99      (0.461,0.539)      (0.461,0.539)      7600
  features.17.conv.2               Y    307200    140140    136637    136637     3503      (0.455,0.545)      (0.455,0.545)    269406
  features.18.0                    N    409600    409600    409600    409600        0      (0.429,0.571)                  -         0
  classifier.1                     N      2560      2560      2560      2560        0      (0.454,0.546)                  -         0
