================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 55
  prune_ratio  : 0.751541 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-09 01:13:45
  t_score      : 62.1s (그룹별 점수 pass)
  t_greedy     : 4.9s (greedy 선택)
  total_params        : 2192320
  active_before/after : 866417 / 855084
  sparsity_all        : 61.00% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 75.16% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  ----------------------------------------------------------------------------------------------------------------------------------
  features.0.0                     N       864       864       864       864        0      (0.432,0.568)                  -         0
  features.1.conv.0.0              Y       288        73        71        71        2      (0.361,0.639)      (0.361,0.639)        73
  features.1.conv.1                Y       512       130       127       127        3      (0.386,0.614)      (0.386,0.614)       229
  features.2.conv.0.0              Y      1536       391       381       381       10      (0.416,0.584)      (0.416,0.584)       747
  features.2.conv.1.0              Y       864       220       214       214        6      (0.420,0.580)      (0.420,0.580)       415
  features.2.conv.2                Y      2304       587       572       572       15      (0.428,0.572)      (0.428,0.572)      1118
  features.3.conv.0.0              Y      3456       880       858       858       22      (0.428,0.572)      (0.428,0.572)      1682
  features.3.conv.1.0              Y      1296       330       322       322        8      (0.439,0.561)      (0.439,0.561)       614
  features.3.conv.2                Y      3456       880       858       858       22      (0.428,0.572)      (0.428,0.572)      1673
  features.4.conv.0.0              Y      3456       880       858       858       22      (0.419,0.581)      (0.419,0.581)      1692
  features.4.conv.1.0              Y      1296       330       322       322        8      (0.424,0.576)      (0.424,0.576)       630
  features.4.conv.2                Y      4608      1174      1144      1144       30      (0.407,0.593)      (0.407,0.593)      1146
  features.5.conv.0.0              Y      6144      1565      1526      1526       39      (0.407,0.593)      (0.407,0.593)      2952
  features.5.conv.1.0              Y      1728       440       429       429       11      (0.416,0.584)      (0.416,0.584)       840
  features.5.conv.2                Y      6144      1565      1526      1526       39      (0.407,0.593)      (0.407,0.593)      1554
  features.6.conv.0.0              Y      6144      1565      1526      1526       39      (0.398,0.602)      (0.398,0.602)      2828
