================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 5
  prune_ratio  : 0.118904 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-08 22:30:54
  t_score      : 63.1s (그룹별 점수 pass)
  t_greedy     : 12.5s (greedy 선택)
  total_params        : 2192320
  active_before/after : 2020934 / 1980732
  sparsity_all        : 9.65% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 11.89% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  ----------------------------------------------------------------------------------------------------------------------------------
  features.0.0                     N       864       864       864       864        0      (0.407,0.593)                  -         0
  features.1.conv.0.0              Y       288       260       253       253        7      (0.385,0.615)      (0.385,0.615)       439
  features.1.conv.1                Y       512       462       451       451       11      (0.416,0.584)      (0.416,0.584)       843
  features.2.conv.0.0              Y      1536      1388      1353      1353       35      (0.404,0.596)      (0.404,0.596)      2682
  features.2.conv.1.0              Y       864       780       761       761       19      (0.440,0.560)      (0.440,0.560)       787
  features.2.conv.2                Y      2304      2082      2030      2030       52      (0.430,0.570)      (0.430,0.570)      4028
  features.3.conv.0.0              Y      3456      3123      3045      3045       78      (0.421,0.579)      (0.421,0.579)      6044
  features.3.conv.1.0              Y      1296      1171      1141      1141       30      (0.418,0.582)      (0.418,0.582)      2267
  features.3.conv.2                Y      3456      3123      3045      3045       78      (0.422,0.578)      (0.422,0.578)      6035
  features.4.conv.0.0              Y      3456      3123      3045      3045       78      (0.421,0.579)      (0.421,0.579)      6047
  features.4.conv.1.0              Y      1296      1171      1141      1141       30      (0.428,0.572)      (0.428,0.572)      2242
  features.4.conv.2                Y      4608      4164      4060      4060      104      (0.419,0.581)      (0.419,0.581)      8057
  features.5.conv.0.0              Y      6144      5552      5413      5413      139      (0.418,0.582)      (0.418,0.582)     10762
  features.5.conv.1.0              Y      1728      1561      1522      1522       39      (0.426,0.574)      (0.426,0.574)      2956
  features.5.conv.2                Y      6144      5552      5413      5413      139      (0.415,0.585)      (0.415,0.585)     10755
  features.6.conv.0.0              Y      6144      5552      5413      5413      139      (0.418,0.582)      (0.418,0.582)     10738
  features.6.conv.1.0              Y      1728      1561      1522      1522       39      (0.391,0.609)      (0.391,0.609)      2993
  features.6.conv.2                Y      6144      5552      5413      5413      139      (0.430,0.570)      (0.430,0.570)     10711
  features.7.conv.0.0              Y      6144      5552      5413      5413      139      (0.418,0.582)      (0.418,0.582)     10762
  features.7.conv.1.0              Y      1728      1561      1522      1522       39      (0.443,0.557)      (0.443,0.557)      2999
  features.7.conv.2                Y     12288     11104     10826     10826      278      (0.432,0.568)      (0.432,0.568)     21479
  features.8.conv.0.0              Y     24576     22209     21653     21653      556      (0.421,0.579)      (0.421,0.579)     43005
  features.8.conv.1.0              Y      3456      3123      3045      3045       78      (0.425,0.575)      (0.425,0.575)      6021
  features.8.conv.2                Y     24576     22209     21653     21653      556      (0.431,0.569)      (0.431,0.569)     42954
  features.9.conv.0.0              Y     24576     22209     21653     21653      556      (0.423,0.577)      (0.423,0.577)     43067
  features.9.conv.1.0              Y      3456      3123      3045      3045       78      (0.434,0.566)      (0.434,0.566)      6045
  features.9.conv.2                Y     24576     22209     21653     21653      556      (0.428,0.572)      (0.428,0.572)     42998
  features.10.conv.0.0             Y     24576     22209     21653     21653      556      (0.420,0.580)      (0.420,0.580)     43048
  features.10.conv.1.0             Y      3456      3123      3045      3045       78      (0.429,0.571)      (0.429,0.571)      6047
  features.10.conv.2               Y     24576     22209     21653     21653      556      (0.433,0.567)      (0.433,0.567)     42947
  features.11.conv.0.0             Y     24576     22209     21653     21653      556      (0.424,0.576)      (0.424,0.576)     43012
  features.11.conv.1.0             Y      3456      3123      3045      3045       78      (0.440,0.560)      (0.440,0.560)      6021
  features.11.conv.2               Y     36864     33313     32480     32480      833      (0.431,0.569)      (0.431,0.569)     64480
  features.12.conv.0.0             Y     55296     49970     48721     48721     1249      (0.419,0.581)      (0.419,0.581)     96908
  features.12.conv.1.0             Y      5184      4684      4567      4567      117      (0.431,0.569)      (0.431,0.569)      7823
  features.12.conv.2               Y     55296     49970     48721     48721     1249      (0.432,0.568)      (0.432,0.568)     96188
  features.13.conv.0.0             Y     55296     49970     48721     48721     1249      (0.425,0.575)      (0.425,0.575)     96849
  features.13.conv.1.0             Y      5184      4684      4567      4567      117      (0.447,0.553)      (0.447,0.553)      9024
  features.13.conv.2               Y     55296     49970     48721     48721     1249      (0.439,0.561)      (0.439,0.561)     95607
  features.14.conv.0.0             Y     55296     49970     48721     48721     1249      (0.427,0.573)      (0.427,0.573)     96424
  features.14.conv.1.0             Y      5184      4684      4567      4567      117      (0.426,0.574)      (0.426,0.574)      8983
  features.14.conv.2               Y     92160     83283     81201     81201     2082      (0.436,0.564)      (0.436,0.564)     81201
  features.15.conv.0.0             Y    153600    138806    135336    135336     3470      (0.411,0.589)      (0.411,0.589)    268417
  features.15.conv.1.0             Y      8640      7807      7612      7612      195      (0.433,0.567)      (0.433,0.567)      7614
  features.15.conv.2               Y    153600    138806    135336    135336     3470      (0.432,0.568)      (0.432,0.568)    135336
  features.16.conv.0.0             Y    153600    138806    135336    135336     3470      (0.411,0.589)      (0.411,0.589)    268036
  features.16.conv.1.0             Y      8640      7807      7612      7612      195      (0.431,0.569)      (0.431,0.569)      7612
  features.16.conv.2               Y    153600    138806    135336    135336     3470      (0.436,0.564)      (0.436,0.564)    135336
  features.17.conv.0.0             Y    153600    138806    135336    135336     3470      (0.424,0.576)      (0.424,0.576)    267322
  features.17.conv.1.0             Y      8640      7807      7612      7612      195      (0.426,0.574)      (0.426,0.574)     15007
  features.17.conv.2               Y    307200    277612    270672    270672     6940      (0.449,0.551)      (0.449,0.551)    270672
  features.18.0                    N    409600    409600    409600    409600        0      (0.399,0.601)                  -         0
  classifier.1                     N      2560      2560      2560      2560        0      (0.436,0.564)                  -         0
