================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 78
  prune_ratio  : 0.861209 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-09 02:27:21
  t_score      : 60.5s (그룹별 점수 pass)
  t_greedy     : 3.3s (greedy 선택)
  total_params        : 2192320
  active_before/after : 666270 / 659943
  sparsity_all        : 69.90% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 86.12% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  ----------------------------------------------------------------------------------------------------------------------------------
  features.0.0                     N       864       864       864       864        0      (0.451,0.549)                  -         0
  features.1.conv.0.0              Y       288        40        39        39        1      (0.428,0.572)      (0.428,0.572)        63
  features.1.conv.1                Y       512        72        71        71        1      (0.424,0.576)      (0.424,0.576)       131
  features.2.conv.0.0              Y      1536       218       213       213        5      (0.431,0.569)      (0.431,0.569)       423
  features.2.conv.1.0              Y       864       122       119       119        3      (0.447,0.553)      (0.447,0.553)       235
  features.2.conv.2                Y      2304       327       319       319        8      (0.422,0.578)      (0.422,0.578)       625
  features.3.conv.0.0              Y      3456       491       479       479       12      (0.435,0.565)      (0.435,0.565)       897
  features.3.conv.1.0              Y      1296       184       179       179        5      (0.419,0.581)      (0.419,0.581)       350
  features.3.conv.2                Y      3456       491       479       479       12      (0.415,0.585)      (0.415,0.585)       946
  features.4.conv.0.0              Y      3456       491       479       479       12      (0.439,0.561)      (0.439,0.561)       943
  features.4.conv.1.0              Y      1296       184       179       179        5      (0.426,0.574)      (0.426,0.574)       353
  features.4.conv.2                Y      4608       655       639       639       16      (0.420,0.580)      (0.420,0.580)      1260
  features.5.conv.0.0              Y      6144       874       852       852       22      (0.443,0.557)      (0.443,0.557)      1688
  features.5.conv.1.0              Y      1728       245       239       239        6      (0.426,0.574)      (0.426,0.574)       470
  features.5.conv.2                Y      6144       874       852       852       22      (0.424,0.576)      (0.424,0.576)      1690
  features.6.conv.0.0              Y      6144       874       852       852       22      (0.431,0.569)      (0.431,0.569)      1685
  features.6.conv.1.0              Y      1728       245       239       239        6      (0.414,0.586)      (0.414,0.586)       467
  features.6.conv.2                Y      6144       874       852       852       22      (0.423,0.577)      (0.423,0.577)      1678
  features.7.conv.0.0              Y      6144       874       852       852       22      (0.433,0.567)      (0.433,0.567)      1679
  features.7.conv.1.0              Y      1728       245       239       239        6      (0.426,0.574)      (0.426,0.574)       461
  features.7.conv.2                Y     12288      1749      1705      1705       44      (0.423,0.577)      (0.423,0.577)      3382
  features.8.conv.0.0              Y     24576      3498      3410      3410       88      (0.438,0.562)      (0.438,0.562)      6747
  features.8.conv.1.0              Y      3456       491       479       479       12      (0.420,0.580)      (0.420,0.580)       853
  features.8.conv.2                Y     24576      3498      3410      3410       88      (0.425,0.575)      (0.425,0.575)      6754
  features.9.conv.0.0              Y     24576      3498      3410      3410       88      (0.438,0.562)      (0.438,0.562)      6736
  features.9.conv.1.0              Y      3456       491       479       479       12      (0.422,0.578)      (0.422,0.578)       941
  features.9.conv.2                Y     24576      3498      3410      3410       88      (0.427,0.573)      (0.427,0.573)      6744
  features.10.conv.0.0             Y     24576      3498      3410      3410       88      (0.436,0.564)      (0.436,0.564)      6744
  features.10.conv.1.0             Y      3456       491       479       479       12      (0.432,0.568)      (0.432,0.568)       945
  features.10.conv.2               Y     24576      3498      3410      3410       88      (0.426,0.574)      (0.426,0.574)      6744
  features.11.conv.0.0             Y     24576      3498      3410      3410       88      (0.434,0.566)      (0.434,0.566)      6684
  features.11.conv.1.0             Y      3456       491       479       479       12      (0.424,0.576)      (0.424,0.576)       948
  features.11.conv.2               Y     36864      5247      5116      5116      131      (0.425,0.575)      (0.425,0.575)     10103
  features.12.conv.0.0             Y     55296      7871      7674      7674      197      (0.434,0.566)      (0.434,0.566)     15127
  features.12.conv.1.0             Y      5184       737       719       719       18      (0.426,0.574)      (0.426,0.574)      1417
  features.12.conv.2               Y     55296      7871      7674      7674      197      (0.425,0.575)      (0.425,0.575)     15191
  features.13.conv.0.0             Y     55296      7871      7674      7674      197      (0.433,0.567)      (0.433,0.567)     15216
  features.13.conv.1.0             Y      5184       737       719       719       18      (0.425,0.575)      (0.425,0.575)      1405
  features.13.conv.2               Y     55296      7871      7674      7674      197      (0.426,0.574)      (0.426,0.574)     14887
  features.14.conv.0.0             Y     55296      7871      7674      7674      197      (0.433,0.567)      (0.433,0.567)     15220
  features.14.conv.1.0             Y      5184       737       719       719       18      (0.428,0.572)      (0.428,0.572)       753
  features.14.conv.2               Y     92160     13118     12790     12790      328      (0.425,0.575)      (0.425,0.575)     25138
  features.15.conv.0.0             Y    153600     21864     21318     21318      546      (0.435,0.565)      (0.435,0.565)     42126
  features.15.conv.1.0             Y      8640      1229      1199      1199       30      (0.427,0.573)      (0.427,0.573)      2349
  features.15.conv.2               Y    153600     21864     21318     21318      546      (0.427,0.573)      (0.427,0.573)     42247
  features.16.conv.0.0             Y    153600     21864     21318     21318      546      (0.429,0.571)      (0.429,0.571)     42258
  features.16.conv.1.0             Y      8640      1229      1199      1199       30      (0.426,0.574)      (0.426,0.574)      2348
  features.16.conv.2               Y    153600     21864     21318     21318      546      (0.426,0.574)      (0.426,0.574)     42452
  features.17.conv.0.0             Y    153600     21864     21318     21318      546      (0.429,0.571)      (0.429,0.571)     42399
  features.17.conv.1.0             Y      8640      1229      1199      1199       30      (0.427,0.573)      (0.427,0.573)      2381
  features.17.conv.2               Y    307200     43729     42636     42636     1093      (0.423,0.577)      (0.423,0.577)     84999
  features.18.0                    N    409600    409600    409600    409600        0      (0.426,0.574)                  -         0
  classifier.1                     N      2560      2560      2560      2560        0      (0.425,0.575)                  -         0
