================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 39
  prune_ratio  : 0.627454 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-09 00:22:22
  t_score      : 60.7s (그룹별 점수 pass)
  t_greedy     : 6.6s (greedy 선택)
  total_params        : 2192320
  active_before/after : 1092867 / 1075866
  sparsity_all        : 50.93% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 62.75% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  ----------------------------------------------------------------------------------------------------------------------------------
  features.0.0                     N       864       864       864       864        0      (0.360,0.640)                  -         0
  features.1.conv.0.0              Y       288       110       107       107        3      (0.441,0.559)      (0.441,0.559)       107
  features.1.conv.1                Y       512       195       190       190        5      (0.410,0.590)      (0.410,0.590)       368
  features.2.conv.0.0              Y      1536       586       572       572       14      (0.423,0.577)      (0.423,0.577)      1128
  features.2.conv.1.0              Y       864       330       321       321        9      (0.408,0.592)      (0.408,0.592)       631
  features.2.conv.2                Y      2304       880       858       858       22      (0.409,0.591)      (0.409,0.591)      1664
  features.3.conv.0.0              Y      3456      1320      1287      1287       33      (0.425,0.575)      (0.425,0.575)      2502
  features.3.conv.1.0              Y      1296       495       482       482       13      (0.417,0.583)      (0.417,0.583)       946
  features.3.conv.2                Y      3456      1320      1287      1287       33      (0.413,0.587)      (0.413,0.587)      2523
  features.4.conv.0.0              Y      3456      1320      1287      1287       33      (0.428,0.572)      (0.428,0.572)      2522
  features.4.conv.1.0              Y      1296       495       482       482       13      (0.421,0.579)      (0.421,0.579)       941
  features.4.conv.2                Y      4608      1760      1716      1716       44      (0.425,0.575)      (0.425,0.575)      3357
  features.5.conv.0.0              Y      6144      2347      2288      2288       59      (0.418,0.582)      (0.418,0.582)      4466
  features.5.conv.1.0              Y      1728       660       643       643       17      (0.410,0.590)      (0.410,0.590)      1257
  features.5.conv.2                Y      6144      2347      2288      2288       59      (0.420,0.580)      (0.420,0.580)      4444
  features.6.conv.0.0              Y      6144      2347      2288      2288       59      (0.427,0.573)      (0.427,0.573)      4505
  features.6.conv.1.0              Y      1728       660       643       643       17      (0.407,0.593)      (0.407,0.593)      1223
  features.6.conv.2                Y      6144      2347      2288      2288       59      (0.422,0.578)      (0.422,0.578)      4467
  features.7.conv.0.0              Y      6144      2347      2288      2288       59      (0.423,0.577)      (0.423,0.577)      4461
  features.7.conv.1.0              Y      1728       660       643       643       17      (0.431,0.569)      (0.431,0.569)      1273
  features.7.conv.2                Y     12288      4695      4577      4577      118      (0.428,0.572)      (0.428,0.572)      8986
  features.8.conv.0.0              Y     24576      9390      9155      9155      235      (0.431,0.569)      (0.431,0.569)     18004
  features.8.conv.1.0              Y      3456      1320      1287      1287       33      (0.422,0.578)      (0.422,0.578)      2521
  features.8.conv.2                Y     24576      9390      9155      9155      235      (0.430,0.570)      (0.430,0.570)     17885
  features.9.conv.0.0              Y     24576      9390      9155      9155      235      (0.426,0.574)      (0.426,0.574)     17933
