================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 37
  prune_ratio  : 0.608104 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-09 00:15:38
  t_score      : 59.7s (그룹별 점수 pass)
  t_greedy     : 7.0s (greedy 선택)
  total_params        : 2192320
  active_before/after : 1128178 / 1110298
  sparsity_all        : 49.36% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 60.81% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  ----------------------------------------------------------------------------------------------------------------------------------
  features.0.0                     N       864       864       864       864        0      (0.380,0.620)                  -         0
  features.1.conv.0.0              Y       288       115       112       112        3      (0.456,0.544)      (0.456,0.544)       220
  features.1.conv.1                Y       512       205       200       200        5      (0.433,0.567)      (0.433,0.567)       388
  features.2.conv.0.0              Y      1536       617       601       601       16      (0.422,0.578)      (0.422,0.578)      1167
  features.2.conv.1.0              Y       864       347       338       338        9      (0.415,0.585)      (0.415,0.585)       659
  features.2.conv.2                Y      2304       926       902       902       24      (0.413,0.587)      (0.413,0.587)      1764
  features.3.conv.0.0              Y      3456      1389      1354      1354       35      (0.424,0.576)      (0.424,0.576)      2641
  features.3.conv.1.0              Y      1296       520       507       507       13      (0.426,0.574)      (0.426,0.574)       986
  features.3.conv.2                Y      3456      1389      1354      1354       35      (0.409,0.591)      (0.409,0.591)      2634
  features.4.conv.0.0              Y      3456      1389      1354      1354       35      (0.422,0.578)      (0.422,0.578)      2646
  features.4.conv.1.0              Y      1296       520       507       507       13      (0.411,0.589)      (0.411,0.589)       962
  features.4.conv.2                Y      4608      1852      1805      1805       47      (0.404,0.596)      (0.404,0.596)      3489
  features.5.conv.0.0              Y      6144      2469      2407      2407       62      (0.423,0.577)      (0.423,0.577)      4709
  features.5.conv.1.0              Y      1728       694       677       677       17      (0.414,0.586)      (0.414,0.586)      1337
  features.5.conv.2                Y      6144      2469      2407      2407       62      (0.407,0.593)      (0.407,0.593)      4685
