================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 81
  prune_ratio  : 0.871361 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-09 02:36:48
  t_score      : 60.7s (그룹별 점수 pass)
  t_greedy     : 3.5s (greedy 선택)
  total_params        : 2192320
  active_before/after : 647743 / 641891
  sparsity_all        : 70.72% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 87.14% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  ----------------------------------------------------------------------------------------------------------------------------------
  features.0.0                     N       864       864       864       864        0      (0.348,0.652)                  -         0
  features.1.conv.0.0              Y       288        37        37        37        0      (0.453,0.547)      (0.453,0.547)        69
  features.1.conv.1                Y       512        67        65        65        2      (0.440,0.560)      (0.440,0.560)       119
  features.2.conv.0.0              Y      1536       202       197       197        5      (0.441,0.559)      (0.441,0.559)       388
  features.2.conv.1.0              Y       864       113       111       111        2      (0.454,0.546)      (0.454,0.546)       199
  features.2.conv.2                Y      2304       303       296       296        7      (0.462,0.538)      (0.462,0.538)       565
  features.3.conv.0.0              Y      3456       455       444       444       11      (0.449,0.551)      (0.449,0.551)       883
  features.3.conv.1.0              Y      1296       170       166       166        4      (0.441,0.559)      (0.441,0.559)       324
  features.3.conv.2                Y      3456       455       444       444       11      (0.447,0.553)      (0.447,0.553)       876
  features.4.conv.0.0              Y      3456       455       444       444       11      (0.447,0.553)      (0.447,0.553)       875
  features.4.conv.1.0              Y      1296       170       166       166        4      (0.445,0.555)      (0.445,0.555)       284
  features.4.conv.2                Y      4608       607       592       592       15      (0.448,0.552)      (0.448,0.552)       594
  features.5.conv.0.0              Y      6144       810       790       790       20      (0.432,0.568)      (0.432,0.568)      1574
  features.5.conv.1.0              Y      1728       227       222       222        5      (0.449,0.551)      (0.449,0.551)       435
  features.5.conv.2                Y      6144       810       790       790       20      (0.456,0.544)      (0.456,0.544)      1553
  features.6.conv.0.0              Y      6144       810       790       790       20      (0.445,0.555)      (0.445,0.555)      1571
  features.6.conv.1.0              Y      1728       227       222       222        5      (0.457,0.543)      (0.457,0.543)       418
  features.6.conv.2                Y      6144       810       790       790       20      (0.452,0.548)      (0.452,0.548)      1548
  features.7.conv.0.0              Y      6144       810       790       790       20      (0.440,0.560)      (0.440,0.560)      1561
  features.7.conv.1.0              Y      1728       227       222       222        5      (0.453,0.547)      (0.453,0.547)       404
  features.7.conv.2                Y     12288      1621      1580      1580       41      (0.447,0.553)      (0.447,0.553)      3152
  features.8.conv.0.0              Y     24576      3242      3161      3161       81      (0.443,0.557)      (0.443,0.557)      6234
