================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 74
  prune_ratio  : 0.846418 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-09 02:14:44
  t_score      : 62.5s (그룹별 점수 pass)
  t_greedy     : 3.5s (greedy 선택)
  total_params        : 2192320
  active_before/after : 693278 / 686267
  sparsity_all        : 68.70% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 84.64% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  ----------------------------------------------------------------------------------------------------------------------------------
  features.0.0                     N       864       864       864       864        0      (0.467,0.533)                  -         0
  features.1.conv.0.0              Y       288        45        44        44        1      (0.447,0.553)      (0.447,0.553)        76
  features.1.conv.1                Y       512        80        78        78        2      (0.449,0.551)      (0.449,0.551)       140
  features.2.conv.0.0              Y      1536       241       235       235        6      (0.426,0.574)      (0.426,0.574)       450
  features.2.conv.1.0              Y       864       136       132       132        4      (0.443,0.557)      (0.443,0.557)       255
  features.2.conv.2                Y      2304       362       353       353        9      (0.456,0.544)      (0.456,0.544)       692
  features.3.conv.0.0              Y      3456       544       530       530       14      (0.447,0.553)      (0.447,0.553)      1051
  features.3.conv.1.0              Y      1296       204       199       199        5      (0.448,0.552)      (0.448,0.552)       385
  features.3.conv.2                Y      3456       544       530       530       14      (0.443,0.557)      (0.443,0.557)      1048
  features.4.conv.0.0              Y      3456       544       530       530       14      (0.449,0.551)      (0.449,0.551)      1044
  features.4.conv.1.0              Y      1296       204       199       199        5      (0.455,0.545)      (0.455,0.545)       381
  features.4.conv.2                Y      4608       725       707       707       18      (0.440,0.560)      (0.440,0.560)      1403
  features.5.conv.0.0              Y      6144       967       943       943       24      (0.461,0.539)      (0.461,0.539)      1787
  features.5.conv.1.0              Y      1728       272       265       265        7      (0.442,0.558)      (0.442,0.558)       511
  features.5.conv.2                Y      6144       967       943       943       24      (0.439,0.561)      (0.439,0.561)      1848
  features.6.conv.0.0              Y      6144       967       943       943       24      (0.445,0.555)      (0.445,0.555)      1854
  features.6.conv.1.0              Y      1728       272       265       265        7      (0.446,0.554)      (0.446,0.554)       520
  features.6.conv.2                Y      6144       967       943       943       24      (0.443,0.557)      (0.443,0.557)      1868
  features.7.conv.0.0              Y      6144       967       943       943       24      (0.452,0.548)      (0.452,0.548)      1863
  features.7.conv.1.0              Y      1728       272       265       265        7      (0.444,0.556)      (0.444,0.556)       511
  features.7.conv.2                Y     12288      1935      1887      1887       48      (0.449,0.551)      (0.449,0.551)      3739
  features.8.conv.0.0              Y     24576      3871      3774      3774       97      (0.457,0.543)      (0.457,0.543)      7482
