================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 91
  prune_ratio  : 0.900000 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-09 03:08:29
  t_score      : 61.1s (그룹별 점수 pass)
  t_greedy     : 2.9s (greedy 선택)
  total_params        : 2192320
  active_before/after : 595237 / 590921
  sparsity_all        : 73.05% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 90.00% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  ----------------------------------------------------------------------------------------------------------------------------------
  features.0.0                     N       864       864       864       864        0      (0.483,0.517)                  -         0
  features.1.conv.0.0              Y       288        29        28        28        1      (0.508,0.492)      (0.508,0.492)        34
  features.1.conv.1                Y       512        52        51        51        1      (0.453,0.547)      (0.453,0.547)        93
  features.2.conv.0.0              Y      1536       157       153       153        4      (0.496,0.504)      (0.496,0.504)       301
  features.2.conv.1.0              Y       864        88        86        86        2      (0.502,0.498)      (0.502,0.498)       162
  features.2.conv.2                Y      2304       235       230       230        5      (0.499,0.501)      (0.499,0.501)       456
  features.3.conv.0.0              Y      3456       353       345       345        8      (0.504,0.496)      (0.504,0.496)       675
  features.3.conv.1.0              Y      1296       132       129       129        3      (0.504,0.496)      (0.504,0.496)       251
  features.3.conv.2                Y      3456       353       345       345        8      (0.502,0.498)      (0.502,0.498)       683
  features.4.conv.0.0              Y      3456       353       345       345        8      (0.504,0.496)      (0.504,0.496)       347
  features.4.conv.1.0              Y      1296       132       129       129        3      (0.523,0.477)      (0.523,0.477)       246
  features.4.conv.2                Y      4608       471       460       460       11      (0.498,0.502)      (0.498,0.502)       911
  features.5.conv.0.0              Y      6144       629       614       614       15      (0.502,0.498)      (0.502,0.498)      1212
  features.5.conv.1.0              Y      1728       176       172       172        4      (0.494,0.506)      (0.494,0.506)       336
  features.5.conv.2                Y      6144       629       614       614       15      (0.495,0.505)      (0.495,0.505)      1219
  features.6.conv.0.0              Y      6144       629       614       614       15      (0.490,0.510)      (0.490,0.510)       734
  features.6.conv.1.0              Y      1728       176       172       172        4      (0.481,0.519)      (0.481,0.519)       338
  features.6.conv.2                Y      6144       629       614       614       15      (0.488,0.512)      (0.488,0.512)      1172
  features.7.conv.0.0              Y      6144       629       614       614       15      (0.485,0.515)      (0.485,0.515)      1210
  features.7.conv.1.0              Y      1728       176       172       172        4      (0.491,0.509)      (0.491,0.509)       334
  features.7.conv.2                Y     12288      1258      1228      1228       30      (0.496,0.504)      (0.496,0.504)      1456
  features.8.conv.0.0              Y     24576      2517      2457      2457       60      (0.487,0.513)      (0.487,0.513)      4784
  features.8.conv.1.0              Y      3456       353       345       345        8      (0.495,0.505)      (0.495,0.505)       674
  features.8.conv.2                Y     24576      2517      2457      2457       60      (0.497,0.503)      (0.497,0.503)      2457
  features.9.conv.0.0              Y     24576      2517      2457      2457       60      (0.487,0.513)      (0.487,0.513)      4887
  features.9.conv.1.0              Y      3456       353       345       345        8      (0.498,0.502)      (0.498,0.502)       682
  features.9.conv.2                Y     24576      2517      2457      2457       60      (0.499,0.501)      (0.499,0.501)      4837
  features.10.conv.0.0             Y     24576      2517      2457      2457       60      (0.486,0.514)      (0.486,0.514)      4706
  features.10.conv.1.0             Y      3456       353       345       345        8      (0.488,0.512)      (0.488,0.512)       676
  features.10.conv.2               Y     24576      2517      2457      2457       60      (0.501,0.499)      (0.501,0.499)      2459
  features.11.conv.0.0             Y     24576      2517      2457      2457       60      (0.484,0.516)      (0.484,0.516)      4865
  features.11.conv.1.0             Y      3456       353       345       345        8      (0.503,0.497)      (0.503,0.497)       347
  features.11.conv.2               Y     36864      3775      3686      3686       89      (0.495,0.505)      (0.495,0.505)      7302
  features.12.conv.0.0             Y     55296      5663      5529      5529      134      (0.484,0.516)      (0.484,0.516)     10893
  features.12.conv.1.0             Y      5184       530       518       518       12      (0.500,0.500)      (0.500,0.500)      1022
