================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 30
  prune_ratio  : 0.532116 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-08 23:53:04
  t_score      : 60.0s (그룹별 점수 pass)
  t_greedy     : 8.0s (greedy 선택)
  total_params        : 2192320
  active_before/after : 1266849 / 1245511
  sparsity_all        : 43.19% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 53.21% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  ----------------------------------------------------------------------------------------------------------------------------------
  features.0.0                     N       864       864       864       864        0      (0.388,0.612)                  -         0
  features.1.conv.0.0              Y       288       138       134       134        4      (0.431,0.569)      (0.431,0.569)       255
  features.1.conv.1                Y       512       245       239       239        6      (0.441,0.559)      (0.441,0.559)       474
  features.2.conv.0.0              Y      1536       737       718       718       19      (0.443,0.557)      (0.443,0.557)      1414
  features.2.conv.1.0              Y       864       414       404       404       10      (0.435,0.565)      (0.435,0.565)       787
  features.2.conv.2                Y      2304      1105      1078      1078       27      (0.420,0.580)      (0.420,0.580)      2111
  features.3.conv.0.0              Y      3456      1658      1617      1617       41      (0.429,0.571)      (0.429,0.571)      3135
  features.3.conv.1.0              Y      1296       621       606       606       15      (0.431,0.569)      (0.431,0.569)      1172
  features.3.conv.2                Y      3456      1658      1617      1617       41      (0.413,0.587)      (0.413,0.587)      3134
  features.4.conv.0.0              Y      3456      1658      1617      1617       41      (0.442,0.558)      (0.442,0.558)      3179
  features.4.conv.1.0              Y      1296       621       606       606       15      (0.424,0.576)      (0.424,0.576)      1168
  features.4.conv.2                Y      4608      2211      2156      2156       55      (0.443,0.557)      (0.443,0.557)      4227
  features.5.conv.0.0              Y      6144      2948      2874      2874       74      (0.426,0.574)      (0.426,0.574)      5616
  features.5.conv.1.0              Y      1728       829       808       808       21      (0.429,0.571)      (0.429,0.571)      1538
  features.5.conv.2                Y      6144      2948      2874      2874       74      (0.429,0.571)      (0.429,0.571)      5617
  features.6.conv.0.0              Y      6144      2948      2874      2874       74      (0.433,0.567)      (0.433,0.567)      5600
  features.6.conv.1.0              Y      1728       829       808       808       21      (0.405,0.595)      (0.405,0.595)      1413
  features.6.conv.2                Y      6144      2948      2874      2874       74      (0.427,0.573)      (0.427,0.573)      5632
  features.7.conv.0.0              Y      6144      2948      2874      2874       74      (0.429,0.571)      (0.429,0.571)      5618
  features.7.conv.1.0              Y      1728       829       808       808       21      (0.421,0.579)      (0.421,0.579)      1588
  features.7.conv.2                Y     12288      5896      5749      5749      147      (0.424,0.576)      (0.424,0.576)     11228
  features.8.conv.0.0              Y     24576     11793     11498     11498      295      (0.436,0.564)      (0.436,0.564)     22478
  features.8.conv.1.0              Y      3456      1658      1617      1617       41      (0.399,0.601)      (0.399,0.601)      3071
  features.8.conv.2                Y     24576     11793     11498     11498      295      (0.415,0.585)      (0.415,0.585)     22343
  features.9.conv.0.0              Y     24576     11793     11498     11498      295      (0.437,0.563)      (0.437,0.563)     22488
  features.9.conv.1.0              Y      3456      1658      1617      1617       41      (0.424,0.576)      (0.424,0.576)      3136
  features.9.conv.2                Y     24576     11793     11498     11498      295      (0.419,0.581)      (0.419,0.581)     22466
  features.10.conv.0.0             Y     24576     11793     11498     11498      295      (0.430,0.570)      (0.430,0.570)     22498
  features.10.conv.1.0             Y      3456      1658      1617      1617       41      (0.420,0.580)      (0.420,0.580)      3142
  features.10.conv.2               Y     24576     11793     11498     11498      295      (0.418,0.582)      (0.418,0.582)     22344
  features.11.conv.0.0             Y     24576     11793     11498     11498      295      (0.432,0.568)      (0.432,0.568)     22447
  features.11.conv.1.0             Y      3456      1658      1617      1617       41      (0.420,0.580)      (0.420,0.580)      3115
  features.11.conv.2               Y     36864     17690     17248     17248      442      (0.421,0.579)      (0.421,0.579)     33685
  features.12.conv.0.0             Y     55296     26535     25872     25872      663      (0.426,0.574)      (0.426,0.574)     50594
  features.12.conv.1.0             Y      5184      2487      2425      2425       62      (0.427,0.573)      (0.427,0.573)      4713
  features.12.conv.2               Y     55296     26535     25872     25872      663      (0.421,0.579)      (0.421,0.579)     50611
  features.13.conv.0.0             Y     55296     26535     25872     25872      663      (0.427,0.573)      (0.427,0.573)     50450
  features.13.conv.1.0             Y      5184      2487      2425      2425       62      (0.415,0.585)      (0.415,0.585)      4721
  features.13.conv.2               Y     55296     26535     25872     25872      663      (0.423,0.577)      (0.423,0.577)     50605
  features.14.conv.0.0             Y     55296     26535     25872     25872      663      (0.417,0.583)      (0.417,0.583)     50547
  features.14.conv.1.0             Y      5184      2487      2425      2425       62      (0.426,0.574)      (0.426,0.574)      4720
  features.14.conv.2               Y     92160     44225     43120     43120     1105      (0.415,0.585)      (0.415,0.585)     84526
  features.15.conv.0.0             Y    153600     73709     71867     71867     1842      (0.421,0.579)      (0.421,0.579)    140936
  features.15.conv.1.0             Y      8640      4146      4042      4042      104      (0.413,0.587)      (0.413,0.587)      7897
  features.15.conv.2               Y    153600     73709     71867     71867     1842      (0.412,0.588)      (0.412,0.588)    140824
  features.16.conv.0.0             Y    153600     73709     71867     71867     1842      (0.413,0.587)      (0.413,0.587)    140664
  features.16.conv.1.0             Y      8640      4146      4042      4042      104      (0.414,0.586)      (0.414,0.586)      7898
  features.16.conv.2               Y    153600     73709     71867     71867     1842      (0.411,0.589)      (0.411,0.589)    141173
  features.17.conv.0.0             Y    153600     73709     71867     71867     1842      (0.414,0.586)      (0.414,0.586)    142156
  features.17.conv.1.0             Y      8640      4146      4042      4042      104      (0.413,0.587)      (0.413,0.587)      7959
  features.17.conv.2               Y    307200    147419    143734    143734     3685      (0.408,0.592)      (0.408,0.592)    282652
  features.18.0                    N    409600    409600    409600    409600        0      (0.420,0.580)                  -         0
  classifier.1                     N      2560      2560      2560      2560        0      (0.406,0.594)                  -         0
