================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 11
  prune_ratio  : 0.243079 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-08 22:50:49
  t_score      : 62.2s (그룹별 점수 pass)
  t_greedy     : 12.0s (greedy 선택)
  total_params        : 2192320
  active_before/after : 1794317 / 1759781
  sparsity_all        : 19.73% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 24.31% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  ----------------------------------------------------------------------------------------------------------------------------------
  features.0.0                     N       864       864       864       864        0      (0.361,0.639)                  -         0
  features.1.conv.0.0              Y       288       223       217       217        6      (0.320,0.680)      (0.320,0.680)       413
  features.1.conv.1                Y       512       397       387       387       10      (0.379,0.621)      (0.379,0.621)       769
  features.2.conv.0.0              Y      1536      1192      1162      1162       30      (0.413,0.587)      (0.413,0.587)      2248
  features.2.conv.1.0              Y       864       670       653       653       17      (0.384,0.616)      (0.384,0.616)       655
  features.2.conv.2                Y      2304      1788      1743      1743       45      (0.412,0.588)      (0.412,0.588)      3401
  features.3.conv.0.0              Y      3456      2682      2615      2615       67      (0.433,0.567)      (0.433,0.567)      5134
  features.3.conv.1.0              Y      1296      1006       980       980       26      (0.434,0.566)      (0.434,0.566)      1906
  features.3.conv.2                Y      3456      2682      2615      2615       67      (0.411,0.589)      (0.411,0.589)      5082
  features.4.conv.0.0              Y      3456      2682      2615      2615       67      (0.441,0.559)      (0.441,0.559)      5159
  features.4.conv.1.0              Y      1296      1006       980       980       26      (0.429,0.571)      (0.429,0.571)      1923
  features.4.conv.2                Y      4608      3577      3487      3487       90      (0.445,0.555)      (0.445,0.555)      6859
  features.5.conv.0.0              Y      6144      4769      4650      4650      119      (0.420,0.580)      (0.420,0.580)      9169
  features.5.conv.1.0              Y      1728      1341      1307      1307       34      (0.408,0.592)      (0.408,0.592)      2567
  features.5.conv.2                Y      6144      4769      4650      4650      119      (0.434,0.566)      (0.434,0.566)      9170
  features.6.conv.0.0              Y      6144      4769      4650      4650      119      (0.428,0.572)      (0.428,0.572)      9185
  features.6.conv.1.0              Y      1728      1341      1307      1307       34      (0.423,0.577)      (0.423,0.577)      2573
  features.6.conv.2                Y      6144      4769      4650      4650      119      (0.429,0.571)      (0.429,0.571)      9183
  features.7.conv.0.0              Y      6144      4769      4650      4650      119      (0.425,0.575)      (0.425,0.575)      9162
  features.7.conv.1.0              Y      1728      1341      1307      1307       34      (0.441,0.559)      (0.441,0.559)      2553
  features.7.conv.2                Y     12288      9539      9301      9301      238      (0.437,0.563)      (0.437,0.563)     18316
  features.8.conv.0.0              Y     24576     19079     18602     18602      477      (0.426,0.574)      (0.426,0.574)     36695
  features.8.conv.1.0              Y      3456      2682      2615      2615       67      (0.439,0.561)      (0.439,0.561)      5142
  features.8.conv.2                Y     24576     19079     18602     18602      477      (0.430,0.570)      (0.430,0.570)     36646
  features.9.conv.0.0              Y     24576     19079     18602     18602      477      (0.425,0.575)      (0.425,0.575)     36719
  features.9.conv.1.0              Y      3456      2682      2615      2615       67      (0.437,0.563)      (0.437,0.563)      5104
  features.9.conv.2                Y     24576     19079     18602     18602      477      (0.432,0.568)      (0.432,0.568)     36658
  features.10.conv.0.0             Y     24576     19079     18602     18602      477      (0.415,0.585)      (0.415,0.585)     36636
  features.10.conv.1.0             Y      3456      2682      2615      2615       67      (0.432,0.568)      (0.432,0.568)      5162
  features.10.conv.2               Y     24576     19079     18602     18602      477      (0.434,0.566)      (0.434,0.566)     36644
  features.11.conv.0.0             Y     24576     19079     18602     18602      477      (0.426,0.574)      (0.426,0.574)     36692
  features.11.conv.1.0             Y      3456      2682      2615      2615       67      (0.441,0.559)      (0.441,0.559)      5162
  features.11.conv.2               Y     36864     28618     27903     27903      715      (0.438,0.562)      (0.438,0.562)     54895
  features.12.conv.0.0             Y     55296     42927     41854     41854     1073      (0.420,0.580)      (0.420,0.580)     82607
  features.12.conv.1.0             Y      5184      4024      3923      3923      101      (0.436,0.564)      (0.436,0.564)      7728
  features.12.conv.2               Y     55296     42927     41854     41854     1073      (0.439,0.561)      (0.439,0.561)     82103
  features.13.conv.0.0             Y     55296     42927     41854     41854     1073      (0.424,0.576)      (0.424,0.576)     82588
  features.13.conv.1.0             Y      5184      4024      3923      3923      101      (0.437,0.563)      (0.437,0.563)      7715
  features.13.conv.2               Y     55296     42927     41854     41854     1073      (0.442,0.558)      (0.442,0.558)     82165
  features.14.conv.0.0             Y     55296     42927     41854     41854     1073      (0.430,0.570)      (0.430,0.570)     82446
  features.14.conv.1.0             Y      5184      4024      3923      3923      101      (0.425,0.575)      (0.425,0.575)      7633
  features.14.conv.2               Y     92160     71546     69757     69757     1789      (0.442,0.558)      (0.442,0.558)    136772
  features.15.conv.0.0             Y    153600    119244    116263    116263     2981      (0.415,0.585)      (0.415,0.585)    229031
  features.15.conv.1.0             Y      8640      6707      6539      6539      168      (0.448,0.552)      (0.448,0.552)     12700
  features.15.conv.2               Y    153600    119244    116263    116263     2981      (0.439,0.561)      (0.439,0.561)    226447
  features.16.conv.0.0             Y    153600    119244    116263    116263     2981      (0.415,0.585)      (0.415,0.585)    228824
  features.16.conv.1.0             Y      8640      6707      6539      6539      168      (0.444,0.556)      (0.444,0.556)     12615
  features.16.conv.2               Y    153600    119244    116263    116263     2981      (0.443,0.557)      (0.443,0.557)    221848
  features.17.conv.0.0             Y    153600    119244    116263    116263     2981      (0.428,0.572)      (0.428,0.572)    229294
  features.17.conv.1.0             Y      8640      6707      6539      6539      168      (0.429,0.571)      (0.429,0.571)     12890
  features.17.conv.2               Y    307200    238488    232526    232526     5962      (0.447,0.553)      (0.447,0.553)    454579
  features.18.0                    N    409600    409600    409600    409600        0      (0.399,0.601)                  -         0
  classifier.1                     N      2560      2560      2560      2560        0      (0.434,0.566)                  -         0
