================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 48
  prune_ratio  : 0.703366 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-09 00:51:23
  t_score      : 61.8s (그룹별 점수 pass)
  t_greedy     : 5.7s (greedy 선택)
  total_params        : 2192320
  active_before/after : 954338 / 940804
  sparsity_all        : 57.09% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 70.34% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  ----------------------------------------------------------------------------------------------------------------------------------
  features.0.0                     N       864       864       864       864        0      (0.430,0.570)                  -         0
  features.1.conv.0.0              Y       288        87        85        85        2      (0.393,0.607)      (0.393,0.607)       169
  features.1.conv.1                Y       512       155       151       151        4      (0.409,0.591)      (0.409,0.591)       291
  features.2.conv.0.0              Y      1536       467       455       455       12      (0.439,0.561)      (0.439,0.561)       889
  features.2.conv.1.0              Y       864       262       256       256        6      (0.447,0.553)      (0.447,0.553)       501
  features.2.conv.2                Y      2304       700       683       683       17      (0.436,0.564)      (0.436,0.564)      1316
  features.3.conv.0.0              Y      3456      1051      1025      1025       26      (0.444,0.556)      (0.444,0.556)      2016
  features.3.conv.1.0              Y      1296       394       384       384       10      (0.404,0.596)      (0.404,0.596)       706
  features.3.conv.2                Y      3456      1051      1025      1025       26      (0.420,0.580)      (0.420,0.580)      1921
  features.4.conv.0.0              Y      3456      1051      1025      1025       26      (0.436,0.564)      (0.436,0.564)      2007
  features.4.conv.1.0              Y      1296       394       384       384       10      (0.440,0.560)      (0.440,0.560)       753
  features.4.conv.2                Y      4608      1401      1366      1366       35      (0.439,0.561)      (0.439,0.561)      2687
  features.5.conv.0.0              Y      6144      1869      1822      1822       47      (0.445,0.555)      (0.445,0.555)      3593
  features.5.conv.1.0              Y      1728       525       512       512       13      (0.444,0.556)      (0.444,0.556)      1001
  features.5.conv.2                Y      6144      1869      1822      1822       47      (0.437,0.563)      (0.437,0.563)      3577
  features.6.conv.0.0              Y      6144      1869      1822      1822       47      (0.438,0.562)      (0.438,0.562)      3574
  features.6.conv.1.0              Y      1728       525       512       512       13      (0.442,0.558)      (0.442,0.558)      1000
  features.6.conv.2                Y      6144      1869      1822      1822       47      (0.436,0.564)      (0.436,0.564)      3588
  features.7.conv.0.0              Y      6144      1869      1822      1822       47      (0.440,0.560)      (0.440,0.560)      3561
  features.7.conv.1.0              Y      1728       525       512       512       13      (0.439,0.561)      (0.439,0.561)       999
  features.7.conv.2                Y     12288      3738      3645      3645       93      (0.437,0.563)      (0.437,0.563)      7112
  features.8.conv.0.0              Y     24576      7477      7290      7290      187      (0.445,0.555)      (0.445,0.555)     14260
  features.8.conv.1.0              Y      3456      1051      1025      1025       26      (0.434,0.566)      (0.434,0.566)      2007
  features.8.conv.2                Y     24576      7477      7290      7290      187      (0.439,0.561)      (0.439,0.561)     14305
  features.9.conv.0.0              Y     24576      7477      7290      7290      187      (0.441,0.559)      (0.441,0.559)     14237
  features.9.conv.1.0              Y      3456      1051      1025      1025       26      (0.449,0.551)      (0.449,0.551)      2012
  features.9.conv.2                Y     24576      7477      7290      7290      187      (0.442,0.558)      (0.442,0.558)     14326
  features.10.conv.0.0             Y     24576      7477      7290      7290      187      (0.447,0.553)      (0.447,0.553)     14317
  features.10.conv.1.0             Y      3456      1051      1025      1025       26      (0.442,0.558)      (0.442,0.558)      2017
  features.10.conv.2               Y     24576      7477      7290      7290      187      (0.439,0.561)      (0.439,0.561)     14299
  features.11.conv.0.0             Y     24576      7477      7290      7290      187      (0.440,0.560)      (0.440,0.560)     14289
  features.11.conv.1.0             Y      3456      1051      1025      1025       26      (0.438,0.562)      (0.438,0.562)      2013
  features.11.conv.2               Y     36864     11215     10935     10935      280      (0.439,0.561)      (0.439,0.561)     21470
  features.12.conv.0.0             Y     55296     16823     16402     16402      421      (0.439,0.561)      (0.439,0.561)     32227
  features.12.conv.1.0             Y      5184      1577      1537      1537       40      (0.438,0.562)      (0.438,0.562)      3011
  features.12.conv.2               Y     55296     16823     16402     16402      421      (0.438,0.562)      (0.438,0.562)     32283
  features.13.conv.0.0             Y     55296     16823     16402     16402      421      (0.438,0.562)      (0.438,0.562)     32148
  features.13.conv.1.0             Y      5184      1577      1537      1537       40      (0.438,0.562)      (0.438,0.562)      3003
  features.13.conv.2               Y     55296     16823     16402     16402      421      (0.437,0.563)      (0.437,0.563)     32316
  features.14.conv.0.0             Y     55296     16823     16402     16402      421      (0.435,0.565)      (0.435,0.565)     32346
  features.14.conv.1.0             Y      5184      1577      1537      1537       40      (0.450,0.550)      (0.450,0.550)      2958
  features.14.conv.2               Y     92160     28038     27337     27337      701      (0.438,0.562)      (0.438,0.562)     53799
  features.15.conv.0.0             Y    153600     46731     45563     45563     1168      (0.429,0.571)      (0.429,0.571)     89955
  features.15.conv.1.0             Y      8640      2628      2562      2562       66      (0.435,0.565)      (0.435,0.565)      5029
  features.15.conv.2               Y    153600     46731     45563     45563     1168      (0.436,0.564)      (0.436,0.564)     89478
  features.16.conv.0.0             Y    153600     46731     45563     45563     1168      (0.427,0.573)      (0.427,0.573)     90084
  features.16.conv.1.0             Y      8640      2628      2562      2562       66      (0.434,0.566)      (0.434,0.566)      5037
  features.16.conv.2               Y    153600     46731     45563     45563     1168      (0.437,0.563)      (0.437,0.563)     89969
  features.17.conv.0.0             Y    153600     46731     45563     45563     1168      (0.440,0.560)      (0.440,0.560)     89619
  features.17.conv.1.0             Y      8640      2628      2562      2562       66      (0.440,0.560)      (0.440,0.560)      5070
  features.17.conv.2               Y    307200     93462     91126     91126     2336      (0.433,0.567)      (0.433,0.567)    179791
  features.18.0                    N    409600    409600    409600    409600        0      (0.423,0.577)                  -         0
  classifier.1                     N      2560      2560      2560      2560        0      (0.433,0.567)                  -         0
