================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 84
  prune_ratio  : 0.880769 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-09 02:46:17
  t_score      : 62.0s (그룹별 점수 pass)
  t_greedy     : 3.1s (greedy 선택)
  total_params        : 2192320
  active_before/after : 630588 / 625152
  sparsity_all        : 71.48% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 88.08% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  ----------------------------------------------------------------------------------------------------------------------------------
  features.0.0                     N       864       864       864       864        0      (0.334,0.666)                  -         0
  features.1.conv.0.0              Y       288        35        34        34        1      (0.468,0.532)      (0.468,0.532)        34
  features.1.conv.1                Y       512        62        61        61        1      (0.425,0.575)      (0.425,0.575)       120
  features.2.conv.0.0              Y      1536       187       183       183        4      (0.414,0.586)      (0.414,0.586)       349
  features.2.conv.1.0              Y       864       105       103       103        2      (0.427,0.573)      (0.427,0.573)       183
  features.2.conv.2                Y      2304       281       274       274        7      (0.448,0.552)      (0.448,0.552)       543
  features.3.conv.0.0              Y      3456       422       412       412       10      (0.429,0.571)      (0.429,0.571)       822
  features.3.conv.1.0              Y      1296       158       154       154        4      (0.424,0.576)      (0.424,0.576)       306
  features.3.conv.2                Y      3456       422       412       412       10      (0.418,0.582)      (0.418,0.582)       813
  features.4.conv.0.0              Y      3456       422       412       412       10      (0.422,0.578)      (0.422,0.578)       816
  features.4.conv.1.0              Y      1296       158       154       154        4      (0.416,0.584)      (0.416,0.584)       294
  features.4.conv.2                Y      4608       563       549       549       14      (0.422,0.578)      (0.422,0.578)      1064
  features.5.conv.0.0              Y      6144       751       732       732       19      (0.413,0.587)      (0.413,0.587)      1452
  features.5.conv.1.0              Y      1728       211       206       206        5      (0.431,0.569)      (0.431,0.569)       408
  features.5.conv.2                Y      6144       751       732       732       19      (0.426,0.574)      (0.426,0.574)      1445
  features.6.conv.0.0              Y      6144       751       732       732       19      (0.424,0.576)      (0.424,0.576)      1434
  features.6.conv.1.0              Y      1728       211       206       206        5      (0.432,0.568)      (0.432,0.568)       405
  features.6.conv.2                Y      6144       751       732       732       19      (0.425,0.575)      (0.425,0.575)      1448
  features.7.conv.0.0              Y      6144       751       732       732       19      (0.433,0.567)      (0.433,0.567)      1460
  features.7.conv.1.0              Y      1728       211       206       206        5      (0.426,0.574)      (0.426,0.574)       208
  features.7.conv.2                Y     12288      1502      1465      1465       37      (0.424,0.576)      (0.424,0.576)      2896
  features.8.conv.0.0              Y     24576      3005      2930      2930       75      (0.434,0.566)      (0.434,0.566)      5821
  features.8.conv.1.0              Y      3456       422       412       412       10      (0.424,0.576)      (0.424,0.576)       814
  features.8.conv.2                Y     24576      3005      2930      2930       75      (0.430,0.570)      (0.430,0.570)      5724
  features.9.conv.0.0              Y     24576      3005      2930      2930       75      (0.435,0.565)      (0.435,0.565)      5796
  features.9.conv.1.0              Y      3456       422       412       412       10      (0.435,0.565)      (0.435,0.565)       813
  features.9.conv.2                Y     24576      3005      2930      2930       75      (0.433,0.567)      (0.433,0.567)      5785
  features.10.conv.0.0             Y     24576      3005      2930      2930       75      (0.441,0.559)      (0.441,0.559)      5822
  features.10.conv.1.0             Y      3456       422       412       412       10      (0.439,0.561)      (0.439,0.561)       816
  features.10.conv.2               Y     24576      3005      2930      2930       75      (0.432,0.568)      (0.432,0.568)      5813
  features.11.conv.0.0             Y     24576      3005      2930      2930       75      (0.426,0.574)      (0.426,0.574)      5782
  features.11.conv.1.0             Y      3456       422       412       412       10      (0.433,0.567)      (0.433,0.567)       819
  features.11.conv.2               Y     36864      4508      4395      4395      113      (0.429,0.571)      (0.429,0.571)      8703
  features.12.conv.0.0             Y     55296      6762      6592      6592      170      (0.436,0.564)      (0.436,0.564)     13065
  features.12.conv.1.0             Y      5184       633       618       618       15      (0.427,0.573)      (0.427,0.573)      1215
  features.12.conv.2               Y     55296      6762      6592      6592      170      (0.429,0.571)      (0.429,0.571)     13094
  features.13.conv.0.0             Y     55296      6762      6592      6592      170      (0.433,0.567)      (0.433,0.567)     13041
  features.13.conv.1.0             Y      5184       633       618       618       15      (0.428,0.572)      (0.428,0.572)      1216
  features.13.conv.2               Y     55296      6762      6592      6592      170      (0.430,0.570)      (0.430,0.570)     13010
  features.14.conv.0.0             Y     55296      6762      6592      6592      170      (0.432,0.568)      (0.432,0.568)     13106
  features.14.conv.1.0             Y      5184       633       618       618       15      (0.437,0.563)      (0.437,0.563)      1225
  features.14.conv.2               Y     92160     11270     10988     10988      282      (0.439,0.561)      (0.439,0.561)     11014
  features.15.conv.0.0             Y    153600     18783     18313     18313      470      (0.437,0.563)      (0.437,0.563)     36271
  features.15.conv.1.0             Y      8640      1056      1030      1030       26      (0.440,0.560)      (0.440,0.560)      2035
  features.15.conv.2               Y    153600     18783     18313     18313      470      (0.438,0.562)      (0.438,0.562)     36313
  features.16.conv.0.0             Y    153600     18783     18313     18313      470      (0.432,0.568)      (0.432,0.568)     36399
  features.16.conv.1.0             Y      8640      1056      1030      1030       26      (0.440,0.560)      (0.440,0.560)      2045
  features.16.conv.2               Y    153600     18783     18313     18313      470      (0.436,0.564)      (0.436,0.564)     36419
  features.17.conv.0.0             Y    153600     18783     18313     18313      470      (0.431,0.569)      (0.431,0.569)     36430
  features.17.conv.1.0             Y      8640      1056      1030      1030       26      (0.436,0.564)      (0.436,0.564)      2036
  features.17.conv.2               Y    307200     37566     36627     36627      939      (0.432,0.568)      (0.432,0.568)     72214
  features.18.0                    N    409600    409600    409600    409600        0      (0.436,0.564)                  -         0
  classifier.1                     N      2560      2560      2560      2560        0      (0.434,0.566)                  -         0
