================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 69
  prune_ratio  : 0.825692 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-09 01:58:43
  t_score      : 61.1s (그룹별 점수 pass)
  t_greedy     : 3.9s (greedy 선택)
  total_params        : 2192320
  active_before/after : 731091 / 723141
  sparsity_all        : 67.01% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 82.57% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  ----------------------------------------------------------------------------------------------------------------------------------
  features.0.0                     N       864       864       864       864        0      (0.370,0.630)                  -         0
  features.1.conv.0.0              Y       288        51        50        50        1      (0.448,0.552)      (0.448,0.552)        84
  features.1.conv.1                Y       512        91        89        89        2      (0.445,0.555)      (0.445,0.555)       175
  features.2.conv.0.0              Y      1536       274       267       267        7      (0.439,0.561)      (0.439,0.561)       475
  features.2.conv.1.0              Y       864       154       150       150        4      (0.406,0.594)      (0.406,0.594)       293
  features.2.conv.2                Y      2304       411       401       401       10      (0.434,0.566)      (0.434,0.566)       778
  features.3.conv.0.0              Y      3456       617       602       602       15      (0.436,0.564)      (0.436,0.564)      1143
  features.3.conv.1.0              Y      1296       231       225       225        6      (0.433,0.567)      (0.433,0.567)       443
  features.3.conv.2                Y      3456       617       602       602       15      (0.426,0.574)      (0.426,0.574)      1180
  features.4.conv.0.0              Y      3456       617       602       602       15      (0.442,0.558)      (0.442,0.558)      1180
  features.4.conv.1.0              Y      1296       231       225       225        6      (0.433,0.567)      (0.433,0.567)       446
  features.4.conv.2                Y      4608       823       803       803       20      (0.435,0.565)      (0.435,0.565)      1503
  features.5.conv.0.0              Y      6144      1098      1070      1070       28      (0.454,0.546)      (0.454,0.546)      2125
  features.5.conv.1.0              Y      1728       308       301       301        7      (0.441,0.559)      (0.441,0.559)       579
  features.5.conv.2                Y      6144      1098      1070      1070       28      (0.441,0.559)      (0.441,0.559)      2116
  features.6.conv.0.0              Y      6144      1098      1070      1070       28      (0.438,0.562)      (0.438,0.562)      2130
  features.6.conv.1.0              Y      1728       308       301       301        7      (0.439,0.561)      (0.439,0.561)       593
  features.6.conv.2                Y      6144      1098      1070      1070       28      (0.440,0.560)      (0.440,0.560)      2103
  features.7.conv.0.0              Y      6144      1098      1070      1070       28      (0.443,0.557)      (0.443,0.557)      2103
  features.7.conv.1.0              Y      1728       308       301       301        7      (0.441,0.559)      (0.441,0.559)       592
  features.7.conv.2                Y     12288      2196      2141      2141       55      (0.441,0.559)      (0.441,0.559)      4242
  features.8.conv.0.0              Y     24576      4393      4283      4283      110      (0.452,0.548)      (0.452,0.548)      8438
  features.8.conv.1.0              Y      3456       617       602       602       15      (0.444,0.556)      (0.444,0.556)      1187
  features.8.conv.2                Y     24576      4393      4283      4283      110      (0.437,0.563)      (0.437,0.563)      8445
  features.9.conv.0.0              Y     24576      4393      4283      4283      110      (0.452,0.548)      (0.452,0.548)      8434
  features.9.conv.1.0              Y      3456       617       602       602       15      (0.441,0.559)      (0.441,0.559)      1183
  features.9.conv.2                Y     24576      4393      4283      4283      110      (0.439,0.561)      (0.439,0.561)      8464
  features.10.conv.0.0             Y     24576      4393      4283      4283      110      (0.438,0.562)      (0.438,0.562)      8422
  features.10.conv.1.0             Y      3456       617       602       602       15      (0.447,0.553)      (0.447,0.553)      1182
  features.10.conv.2               Y     24576      4393      4283      4283      110      (0.440,0.560)      (0.440,0.560)      8481
  features.11.conv.0.0             Y     24576      4393      4283      4283      110      (0.444,0.556)      (0.444,0.556)      8412
  features.11.conv.1.0             Y      3456       617       602       602       15      (0.453,0.547)      (0.453,0.547)      1185
  features.11.conv.2               Y     36864      6590      6425      6425      165      (0.443,0.557)      (0.443,0.557)     12638
  features.12.conv.0.0             Y     55296      9885      9638      9638      247      (0.449,0.551)      (0.449,0.551)     19010
  features.12.conv.1.0             Y      5184       926       903       903       23      (0.455,0.545)      (0.455,0.545)      1779
  features.12.conv.2               Y     55296      9885      9638      9638      247      (0.446,0.554)      (0.446,0.554)     19068
  features.13.conv.0.0             Y     55296      9885      9638      9638      247      (0.449,0.551)      (0.449,0.551)     19067
  features.13.conv.1.0             Y      5184       926       903       903       23      (0.448,0.552)      (0.448,0.552)      1717
  features.13.conv.2               Y     55296      9885      9638      9638      247      (0.450,0.550)      (0.450,0.550)     18999
  features.14.conv.0.0             Y     55296      9885      9638      9638      247      (0.445,0.555)      (0.445,0.555)     19040
  features.14.conv.1.0             Y      5184       926       903       903       23      (0.445,0.555)      (0.445,0.555)      1783
  features.14.conv.2               Y     92160     16476     16064     16064      412      (0.447,0.553)      (0.447,0.553)     31491
  features.15.conv.0.0             Y    153600     27460     26773     26773      687      (0.442,0.558)      (0.442,0.558)     52983
  features.15.conv.1.0             Y      8640      1544      1506      1506       38      (0.443,0.557)      (0.443,0.557)      2954
  features.15.conv.2               Y    153600     27460     26773     26773      687      (0.446,0.554)      (0.446,0.554)     52744
  features.16.conv.0.0             Y    153600     27460     26773     26773      687      (0.443,0.557)      (0.443,0.557)     52972
  features.16.conv.1.0             Y      8640      1544      1506      1506       38      (0.455,0.545)      (0.455,0.545)      2952
  features.16.conv.2               Y    153600     27460     26773     26773      687      (0.448,0.552)      (0.448,0.552)     52747
  features.17.conv.0.0             Y    153600     27460     26773     26773      687      (0.449,0.551)      (0.449,0.551)     53104
  features.17.conv.1.0             Y      8640      1544      1506      1506       38      (0.445,0.555)      (0.445,0.555)      2980
  features.17.conv.2               Y    307200     54920     53547     53547     1373      (0.446,0.554)      (0.446,0.554)    106326
  features.18.0                    N    409600    409600    409600    409600        0      (0.441,0.559)                  -         0
  classifier.1                     N      2560      2560      2560      2560        0      (0.442,0.558)                  -         0
