================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 66
  prune_ratio  : 0.811936 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-09 01:49:07
  t_score      : 60.1s (그룹별 점수 pass)
  t_greedy     : 3.8s (greedy 선택)
  total_params        : 2192320
  active_before/after : 756200 / 747611
  sparsity_all        : 65.90% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 81.20% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  ----------------------------------------------------------------------------------------------------------------------------------
  features.0.0                     N       864       864       864       864        0      (0.471,0.529)                  -         0
  features.1.conv.0.0              Y       288        55        54        54        1      (0.466,0.534)      (0.466,0.534)       100
  features.1.conv.1                Y       512        98        96        96        2      (0.454,0.546)      (0.454,0.546)       186
  features.2.conv.0.0              Y      1536       296       288       288        8      (0.458,0.542)      (0.458,0.542)       564
  features.2.conv.1.0              Y       864       166       162       162        4      (0.492,0.508)      (0.492,0.508)       317
  features.2.conv.2                Y      2304       444       433       433       11      (0.476,0.524)      (0.476,0.524)       839
  features.3.conv.0.0              Y      3456       666       649       649       17      (0.477,0.523)      (0.477,0.523)      1268
  features.3.conv.1.0              Y      1296       249       243       243        6      (0.489,0.511)      (0.489,0.511)       407
  features.3.conv.2                Y      3456       666       649       649       17      (0.487,0.513)      (0.487,0.513)      1279
  features.4.conv.0.0              Y      3456       666       649       649       17      (0.485,0.515)      (0.485,0.515)      1278
  features.4.conv.1.0              Y      1296       249       243       243        6      (0.496,0.504)      (0.496,0.504)       469
  features.4.conv.2                Y      4608       888       866       866       22      (0.497,0.503)      (0.497,0.503)       870
  features.5.conv.0.0              Y      6144      1185      1155      1155       30      (0.482,0.518)      (0.482,0.518)      2249
  features.5.conv.1.0              Y      1728       333       324       324        9      (0.497,0.503)      (0.497,0.503)       639
  features.5.conv.2                Y      6144      1185      1155      1155       30      (0.493,0.507)      (0.493,0.507)      2271
  features.6.conv.0.0              Y      6144      1185      1155      1155       30      (0.468,0.532)      (0.468,0.532)      2270
  features.6.conv.1.0              Y      1728       333       324       324        9      (0.493,0.507)      (0.493,0.507)       630
  features.6.conv.2                Y      6144      1185      1155      1155       30      (0.490,0.510)      (0.490,0.510)      1163
  features.7.conv.0.0              Y      6144      1185      1155      1155       30      (0.471,0.529)      (0.471,0.529)      2271
  features.7.conv.1.0              Y      1728       333       324       324        9      (0.476,0.524)      (0.476,0.524)       632
  features.7.conv.2                Y     12288      2370      2310      2310       60      (0.481,0.519)      (0.481,0.519)      4489
  features.8.conv.0.0              Y     24576      4740      4621      4621      119      (0.462,0.538)      (0.462,0.538)      9074
