================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 9
  prune_ratio  : 0.203764 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-08 22:44:12
  t_score      : 63.5s (그룹별 점수 pass)
  t_greedy     : 12.5s (greedy 선택)
  total_params        : 2192320
  active_before/after : 1866069 / 1829736
  sparsity_all        : 16.54% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 20.38% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  ----------------------------------------------------------------------------------------------------------------------------------
  features.0.0                     N       864       864       864       864        0      (0.399,0.601)                  -         0
  features.1.conv.0.0              Y       288       235       229       229        6      (0.440,0.560)      (0.440,0.560)       267
  features.1.conv.1                Y       512       418       407       407       11      (0.421,0.579)      (0.421,0.579)       745
  features.2.conv.0.0              Y      1536      1254      1223      1223       31      (0.405,0.595)      (0.405,0.595)      2413
  features.2.conv.1.0              Y       864       705       687       687       18      (0.373,0.627)      (0.373,0.627)      1298
  features.2.conv.2                Y      2304      1881      1834      1834       47      (0.408,0.592)      (0.408,0.592)      3595
  features.3.conv.0.0              Y      3456      2822      2751      2751       71      (0.419,0.581)      (0.419,0.581)      5423
  features.3.conv.1.0              Y      1296      1058      1031      1031       27      (0.427,0.573)      (0.427,0.573)      2026
  features.3.conv.2                Y      3456      2822      2751      2751       71      (0.421,0.579)      (0.421,0.579)      5430
  features.4.conv.0.0              Y      3456      2822      2751      2751       71      (0.421,0.579)      (0.421,0.579)      5472
  features.4.conv.1.0              Y      1296      1058      1031      1031       27      (0.413,0.587)      (0.413,0.587)      2023
  features.4.conv.2                Y      4608      3763      3669      3669       94      (0.417,0.583)      (0.417,0.583)      7269
  features.5.conv.0.0              Y      6144      5017      4892      4892      125      (0.415,0.585)      (0.415,0.585)      9671
  features.5.conv.1.0              Y      1728      1411      1375      1375       36      (0.412,0.588)      (0.412,0.588)      2715
  features.5.conv.2                Y      6144      5017      4892      4892      125      (0.416,0.584)      (0.416,0.584)      9659
  features.6.conv.0.0              Y      6144      5017      4892      4892      125      (0.412,0.588)      (0.412,0.588)      9653
  features.6.conv.1.0              Y      1728      1411      1375      1375       36      (0.401,0.599)      (0.401,0.599)      2707
  features.6.conv.2                Y      6144      5017      4892      4892      125      (0.417,0.583)      (0.417,0.583)      9647
  features.7.conv.0.0              Y      6144      5017      4892      4892      125      (0.409,0.591)      (0.409,0.591)      9686
  features.7.conv.1.0              Y      1728      1411      1375      1375       36      (0.412,0.588)      (0.412,0.588)      2693
  features.7.conv.2                Y     12288     10035      9784      9784      251      (0.416,0.584)      (0.416,0.584)     19317
  features.8.conv.0.0              Y     24576     20070     19568     19568      502      (0.420,0.580)      (0.420,0.580)     38662
  features.8.conv.1.0              Y      3456      2822      2751      2751       71      (0.418,0.582)      (0.418,0.582)      5418
  features.8.conv.2                Y     24576     20070     19568     19568      502      (0.418,0.582)      (0.418,0.582)     38669
  features.9.conv.0.0              Y     24576     20070     19568     19568      502      (0.417,0.583)      (0.417,0.583)     38717
  features.9.conv.1.0              Y      3456      2822      2751      2751       71      (0.424,0.576)      (0.424,0.576)      5406
  features.9.conv.2                Y     24576     20070     19568     19568      502      (0.418,0.582)      (0.418,0.582)     38661
  features.10.conv.0.0             Y     24576     20070     19568     19568      502      (0.415,0.585)      (0.415,0.585)     38678
  features.10.conv.1.0             Y      3456      2822      2751      2751       71      (0.416,0.584)      (0.416,0.584)      5434
  features.10.conv.2               Y     24576     20070     19568     19568      502      (0.419,0.581)      (0.419,0.581)     38651
  features.11.conv.0.0             Y     24576     20070     19568     19568      502      (0.410,0.590)      (0.410,0.590)     38647
  features.11.conv.1.0             Y      3456      2822      2751      2751       71      (0.420,0.580)      (0.420,0.580)      5440
  features.11.conv.2               Y     36864     30105     29352     29352      753      (0.419,0.581)      (0.419,0.581)     58047
  features.12.conv.0.0             Y     55296     45157     44028     44028     1129      (0.411,0.589)      (0.411,0.589)     87105
  features.12.conv.1.0             Y      5184      4233      4127      4127      106      (0.428,0.572)      (0.428,0.572)      8134
  features.12.conv.2               Y     55296     45157     44028     44028     1129      (0.428,0.572)      (0.428,0.572)     86807
  features.13.conv.0.0             Y     55296     45157     44028     44028     1129      (0.419,0.581)      (0.419,0.581)     87014
  features.13.conv.1.0             Y      5184      4233      4127      4127      106      (0.414,0.586)      (0.414,0.586)      8137
  features.13.conv.2               Y     55296     45157     44028     44028     1129      (0.426,0.574)      (0.426,0.574)     86822
  features.14.conv.0.0             Y     55296     45157     44028     44028     1129      (0.415,0.585)      (0.415,0.585)     86939
  features.14.conv.1.0             Y      5184      4233      4127      4127      106      (0.418,0.582)      (0.418,0.582)      8051
  features.14.conv.2               Y     92160     75262     73381     73381     1881      (0.415,0.585)      (0.415,0.585)    144912
  features.15.conv.0.0             Y    153600    125437    122301    122301     3136      (0.406,0.594)      (0.406,0.594)    241478
  features.15.conv.1.0             Y      8640      7055      6879      6879      176      (0.420,0.580)      (0.420,0.580)     13495
  features.15.conv.2               Y    153600    125437    122301    122301     3136      (0.414,0.586)      (0.414,0.586)    240632
  features.16.conv.0.0             Y    153600    125437    122301    122301     3136      (0.406,0.594)      (0.406,0.594)    241446
  features.16.conv.1.0             Y      8640      7055      6879      6879      176      (0.413,0.587)      (0.413,0.587)     13547
  features.16.conv.2               Y    153600    125437    122301    122301     3136      (0.421,0.579)      (0.421,0.579)    240304
  features.17.conv.0.0             Y    153600    125437    122301    122301     3136      (0.413,0.587)      (0.413,0.587)    242391
  features.17.conv.1.0             Y      8640      7055      6879      6879      176      (0.414,0.586)      (0.414,0.586)     13579
  features.17.conv.2               Y    307200    250875    244603    244603     6272      (0.434,0.566)      (0.434,0.566)    480063
  features.18.0                    N    409600    409600    409600    409600        0      (0.397,0.603)                  -         0
  classifier.1                     N      2560      2560      2560      2560        0      (0.416,0.584)                  -         0
