================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 53
  prune_ratio  : 0.738637 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-09 01:07:16
  t_score      : 59.7s (그룹별 점수 pass)
  t_greedy     : 4.9s (greedy 선택)
  total_params        : 2192320
  active_before/after : 889958 / 878043
  sparsity_all        : 59.95% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 73.87% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  ----------------------------------------------------------------------------------------------------------------------------------
  features.0.0                     N       864       864       864       864        0      (0.470,0.530)                  -         0
  features.1.conv.0.0              Y       288        77        75        75        2      (0.447,0.553)      (0.447,0.553)        91
  features.1.conv.1                Y       512       137       133       133        4      (0.419,0.581)      (0.419,0.581)       259
  features.2.conv.0.0              Y      1536       411       401       401       10      (0.443,0.557)      (0.443,0.557)       774
  features.2.conv.1.0              Y       864       231       225       225        6      (0.442,0.558)      (0.442,0.558)       441
  features.2.conv.2                Y      2304       617       602       602       15      (0.458,0.542)      (0.458,0.542)      1165
  features.3.conv.0.0              Y      3456       926       903       903       23      (0.453,0.547)      (0.453,0.547)      1764
  features.3.conv.1.0              Y      1296       347       338       338        9      (0.436,0.564)      (0.436,0.564)       648
  features.3.conv.2                Y      3456       926       903       903       23      (0.447,0.553)      (0.447,0.553)      1767
  features.4.conv.0.0              Y      3456       926       903       903       23      (0.451,0.549)      (0.451,0.549)      1781
  features.4.conv.1.0              Y      1296       347       338       338        9      (0.451,0.549)      (0.451,0.549)       666
  features.4.conv.2                Y      4608      1235      1204      1204       31      (0.448,0.552)      (0.448,0.552)      2375
  features.5.conv.0.0              Y      6144      1646      1605      1605       41      (0.452,0.548)      (0.452,0.548)      3166
  features.5.conv.1.0              Y      1728       463       451       451       12      (0.461,0.539)      (0.461,0.539)       890
  features.5.conv.2                Y      6144      1646      1605      1605       41      (0.458,0.542)      (0.458,0.542)      3162
  features.6.conv.0.0              Y      6144      1646      1605      1605       41      (0.450,0.550)      (0.450,0.550)      3136
  features.6.conv.1.0              Y      1728       463       451       451       12      (0.460,0.540)      (0.460,0.540)       887
  features.6.conv.2                Y      6144      1646      1605      1605       41      (0.456,0.544)      (0.456,0.544)      3166
  features.7.conv.0.0              Y      6144      1646      1605      1605       41      (0.456,0.544)      (0.456,0.544)      3136
  features.7.conv.1.0              Y      1728       463       451       451       12      (0.459,0.541)      (0.459,0.541)       865
  features.7.conv.2                Y     12288      3293      3211      3211       82      (0.454,0.546)      (0.454,0.546)      6348
  features.8.conv.0.0              Y     24576      6587      6423      6423      164      (0.454,0.546)      (0.454,0.546)     12599
  features.8.conv.1.0              Y      3456       926       903       903       23      (0.455,0.545)      (0.455,0.545)      1782
  features.8.conv.2                Y     24576      6587      6423      6423      164      (0.454,0.546)      (0.454,0.546)     12640
  features.9.conv.0.0              Y     24576      6587      6423      6423      164      (0.448,0.552)      (0.448,0.552)     12621
  features.9.conv.1.0              Y      3456       926       903       903       23      (0.455,0.545)      (0.455,0.545)      1770
  features.9.conv.2                Y     24576      6587      6423      6423      164      (0.456,0.544)      (0.456,0.544)     12626
  features.10.conv.0.0             Y     24576      6587      6423      6423      164      (0.450,0.550)      (0.450,0.550)     12580
  features.10.conv.1.0             Y      3456       926       903       903       23      (0.455,0.545)      (0.455,0.545)      1765
  features.10.conv.2               Y     24576      6587      6423      6423      164      (0.458,0.542)      (0.458,0.542)     12684
  features.11.conv.0.0             Y     24576      6587      6423      6423      164      (0.453,0.547)      (0.453,0.547)     12576
  features.11.conv.1.0             Y      3456       926       903       903       23      (0.465,0.535)      (0.465,0.535)      1777
  features.11.conv.2               Y     36864      9881      9634      9634      247      (0.463,0.537)      (0.463,0.537)     18954
  features.12.conv.0.0             Y     55296     14822     14452     14452      370      (0.455,0.545)      (0.455,0.545)     28354
  features.12.conv.1.0             Y      5184      1389      1354      1354       35      (0.459,0.541)      (0.459,0.541)      2656
  features.12.conv.2               Y     55296     14822     14452     14452      370      (0.463,0.537)      (0.463,0.537)     28399
