================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 87
  prune_ratio  : 0.889490 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-09 02:55:52
  t_score      : 61.0s (그룹별 점수 pass)
  t_greedy     : 2.9s (greedy 선택)
  total_params        : 2192320
  active_before/after : 614669 / 609616
  sparsity_all        : 72.19% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 88.95% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  ----------------------------------------------------------------------------------------------------------------------------------
  features.0.0                     N       864       864       864       864        0      (0.451,0.549)                  -         0
  features.1.conv.0.0              Y       288        32        31        31        1      (0.495,0.505)      (0.495,0.505)        53
  features.1.conv.1                Y       512        58        56        56        2      (0.472,0.528)      (0.472,0.528)       106
  features.2.conv.0.0              Y      1536       174       169       169        5      (0.464,0.536)      (0.464,0.536)       337
  features.2.conv.1.0              Y       864        97        95        95        2      (0.485,0.515)      (0.485,0.515)       173
  features.2.conv.2                Y      2304       261       254       254        7      (0.490,0.510)      (0.490,0.510)       254
  features.3.conv.0.0              Y      3456       391       381       381       10      (0.459,0.541)      (0.459,0.541)       760
  features.3.conv.1.0              Y      1296       146       143       143        3      (0.461,0.539)      (0.461,0.539)       285
  features.3.conv.2                Y      3456       391       381       381       10      (0.472,0.528)      (0.473,0.527)       729
  features.4.conv.0.0              Y      3456       391       381       381       10      (0.463,0.537)      (0.463,0.537)       705
  features.4.conv.1.0              Y      1296       146       143       143        3      (0.476,0.524)      (0.476,0.524)       281
  features.4.conv.2                Y      4608       522       509       509       13      (0.469,0.531)      (0.469,0.531)      1005
  features.5.conv.0.0              Y      6144       696       678       678       18      (0.468,0.532)      (0.468,0.532)      1343
  features.5.conv.1.0              Y      1728       195       190       190        5      (0.487,0.513)      (0.487,0.513)       190
  features.5.conv.2                Y      6144       696       678       678       18      (0.476,0.524)      (0.476,0.524)      1340
  features.6.conv.0.0              Y      6144       696       678       678       18      (0.471,0.529)      (0.471,0.529)      1338
  features.6.conv.1.0              Y      1728       195       190       190        5      (0.484,0.516)      (0.484,0.516)       365
  features.6.conv.2                Y      6144       696       678       678       18      (0.479,0.521)      (0.479,0.521)      1338
  features.7.conv.0.0              Y      6144       696       678       678       18      (0.469,0.531)      (0.469,0.531)      1344
  features.7.conv.1.0              Y      1728       195       190       190        5      (0.477,0.523)      (0.477,0.523)       190
  features.7.conv.2                Y     12288      1392      1357      1357       35      (0.471,0.529)      (0.471,0.529)      2688
  features.8.conv.0.0              Y     24576      2785      2715      2715       70      (0.463,0.537)      (0.463,0.537)      5347
  features.8.conv.1.0              Y      3456       391       381       381       10      (0.461,0.539)      (0.461,0.539)       746
  features.8.conv.2                Y     24576      2785      2715      2715       70      (0.467,0.533)      (0.467,0.533)      5338
  features.9.conv.0.0              Y     24576      2785      2715      2715       70      (0.461,0.539)      (0.461,0.539)      5381
  features.9.conv.1.0              Y      3456       391       381       381       10      (0.468,0.532)      (0.468,0.532)       751
  features.9.conv.2                Y     24576      2785      2715      2715       70      (0.469,0.531)      (0.469,0.531)      5390
  features.10.conv.0.0             Y     24576      2785      2715      2715       70      (0.465,0.535)      (0.465,0.535)      5343
  features.10.conv.1.0             Y      3456       391       381       381       10      (0.469,0.531)      (0.469,0.531)       748
  features.10.conv.2               Y     24576      2785      2715      2715       70      (0.470,0.530)      (0.470,0.530)      2727
  features.11.conv.0.0             Y     24576      2785      2715      2715       70      (0.463,0.537)      (0.463,0.537)      5350
  features.11.conv.1.0             Y      3456       391       381       381       10      (0.470,0.530)      (0.470,0.530)       746
  features.11.conv.2               Y     36864      4178      4073      4073      105      (0.471,0.529)      (0.471,0.529)      4073
  features.12.conv.0.0             Y     55296      6267      6110      6110      157      (0.469,0.531)      (0.469,0.531)     12054
  features.12.conv.1.0             Y      5184       587       572       572       15      (0.474,0.526)      (0.474,0.526)      1112
  features.12.conv.2               Y     55296      6267      6110      6110      157      (0.473,0.527)      (0.473,0.527)     12085
  features.13.conv.0.0             Y     55296      6267      6110      6110      157      (0.468,0.532)      (0.468,0.532)     12120
  features.13.conv.1.0             Y      5184       587       572       572       15      (0.468,0.532)      (0.468,0.532)      1131
  features.13.conv.2               Y     55296      6267      6110      6110      157      (0.470,0.530)      (0.470,0.530)     11987
  features.14.conv.0.0             Y     55296      6267      6110      6110      157      (0.462,0.538)      (0.462,0.538)     12120
  features.14.conv.1.0             Y      5184       587       572       572       15      (0.460,0.540)      (0.460,0.540)      1115
  features.14.conv.2               Y     92160     10445     10184     10184      261      (0.465,0.535)      (0.465,0.535)     20088
  features.15.conv.0.0             Y    153600     17409     16974     16974      435      (0.460,0.540)      (0.460,0.540)     33578
  features.15.conv.1.0             Y      8640       979       954       954       25      (0.465,0.535)      (0.465,0.535)      1888
  features.15.conv.2               Y    153600     17409     16974     16974      435      (0.465,0.535)      (0.465,0.535)     33432
  features.16.conv.0.0             Y    153600     17409     16974     16974      435      (0.454,0.546)      (0.454,0.546)     33738
  features.16.conv.1.0             Y      8640       979       954       954       25      (0.466,0.534)      (0.466,0.534)      1884
  features.16.conv.2               Y    153600     17409     16974     16974      435      (0.461,0.539)      (0.461,0.539)     33753
  features.17.conv.0.0             Y    153600     17409     16974     16974      435      (0.463,0.537)      (0.463,0.537)     33543
  features.17.conv.1.0             Y      8640       979       954       954       25      (0.465,0.535)      (0.465,0.535)      1893
  features.17.conv.2               Y    307200     34819     33948     33948      871      (0.465,0.535)      (0.465,0.535)     67587
  features.18.0                    N    409600    409600    409600    409600        0      (0.453,0.547)                  -         0
  classifier.1                     N      2560      2560      2560      2560        0      (0.461,0.539)                  -         0
