================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 16
  prune_ratio  : 0.333080 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-08 23:07:16
  t_score      : 60.1s (그룹별 점수 pass)
  t_greedy     : 10.4s (greedy 선택)
  total_params        : 2192320
  active_before/after : 1630064 / 1599650
  sparsity_all        : 27.03% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 33.31% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  ----------------------------------------------------------------------------------------------------------------------------------
  features.0.0                     N       864       864       864       864        0      (0.356,0.644)                  -         0
  features.1.conv.0.0              Y       288       196       192       192        4      (0.388,0.612)      (0.388,0.612)       377
  features.1.conv.1                Y       512       350       341       341        9      (0.406,0.594)      (0.406,0.594)       667
  features.2.conv.0.0              Y      1536      1050      1024      1024       26      (0.433,0.567)      (0.433,0.567)      2016
  features.2.conv.1.0              Y       864       590       576       576       14      (0.405,0.595)      (0.405,0.595)      1117
  features.2.conv.2                Y      2304      1575      1536      1536       39      (0.409,0.591)      (0.409,0.591)      2981
  features.3.conv.0.0              Y      3456      2363      2304      2304       59      (0.421,0.579)      (0.421,0.579)      4490
  features.3.conv.1.0              Y      1296       886       864       864       22      (0.420,0.580)      (0.420,0.580)      1687
  features.3.conv.2                Y      3456      2363      2304      2304       59      (0.421,0.579)      (0.421,0.579)      4506
  features.4.conv.0.0              Y      3456      2363      2304      2304       59      (0.436,0.564)      (0.436,0.564)      4546
  features.4.conv.1.0              Y      1296       886       864       864       22      (0.436,0.564)      (0.436,0.564)      1663
