================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 73
  prune_ratio  : 0.842480 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-09 02:11:32
  t_score      : 60.8s (그룹별 점수 pass)
  t_greedy     : 3.8s (greedy 선택)
  total_params        : 2192320
  active_before/after : 700462 / 693278
  sparsity_all        : 68.38% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 84.25% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  ----------------------------------------------------------------------------------------------------------------------------------
  features.0.0                     N       864       864       864       864        0      (0.442,0.558)                  -         0
  features.1.conv.0.0              Y       288        46        45        45        1      (0.418,0.582)      (0.418,0.582)        47
  features.1.conv.1                Y       512        82        80        80        2      (0.435,0.565)      (0.435,0.565)       146
  features.2.conv.0.0              Y      1536       248       241       241        7      (0.412,0.588)      (0.412,0.588)       456
  features.2.conv.1.0              Y       864       139       136       136        3      (0.420,0.580)      (0.420,0.580)       270
  features.2.conv.2                Y      2304       372       362       362       10      (0.408,0.592)      (0.408,0.592)       682
  features.3.conv.0.0              Y      3456       558       544       544       14      (0.415,0.585)      (0.415,0.585)      1076
  features.3.conv.1.0              Y      1296       209       204       204        5      (0.393,0.607)      (0.393,0.607)       214
  features.3.conv.2                Y      3456       558       544       544       14      (0.403,0.597)      (0.403,0.597)       792
  features.4.conv.0.0              Y      3456       558       544       544       14      (0.400,0.600)      (0.400,0.600)       546
  features.4.conv.1.0              Y      1296       209       204       204        5      (0.402,0.598)      (0.402,0.598)       396
  features.4.conv.2                Y      4608       744       725       725       19      (0.392,0.608)      (0.392,0.608)       729
  features.5.conv.0.0              Y      6144       992       967       967       25      (0.425,0.575)      (0.425,0.575)      1907
