================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 34
  prune_ratio  : 0.577179 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-09 00:06:01
  t_score      : 60.5s (그룹별 점수 pass)
  t_greedy     : 7.4s (greedy 선택)
  total_params        : 2192320
  active_before/after : 1184611 / 1165325
  sparsity_all        : 46.85% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 57.72% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  ----------------------------------------------------------------------------------------------------------------------------------
  features.0.0                     N       864       864       864       864        0      (0.450,0.550)                  -         0
  features.1.conv.0.0              Y       288       124       121       121        3      (0.455,0.545)      (0.455,0.545)       229
  features.1.conv.1                Y       512       222       216       216        6      (0.463,0.537)      (0.463,0.537)       424
  features.2.conv.0.0              Y      1536       666       649       649       17      (0.431,0.569)      (0.431,0.569)      1263
  features.2.conv.1.0              Y       864       374       365       365        9      (0.438,0.562)      (0.438,0.562)       711
  features.2.conv.2                Y      2304       999       974       974       25      (0.432,0.568)      (0.432,0.568)      1901
  features.3.conv.0.0              Y      3456      1498      1461      1461       37      (0.438,0.562)      (0.438,0.562)      2841
  features.3.conv.1.0              Y      1296       562       547       547       15      (0.419,0.581)      (0.419,0.581)      1077
  features.3.conv.2                Y      3456      1498      1461      1461       37      (0.417,0.583)      (0.417,0.583)      2836
  features.4.conv.0.0              Y      3456      1498      1461      1461       37      (0.440,0.560)      (0.440,0.560)      2872
  features.4.conv.1.0              Y      1296       562       547       547       15      (0.426,0.574)      (0.426,0.574)      1061
  features.4.conv.2                Y      4608      1998      1948      1948       50      (0.429,0.571)      (0.429,0.571)      3847
  features.5.conv.0.0              Y      6144      2664      2597      2597       67      (0.433,0.567)      (0.433,0.567)      5081
  features.5.conv.1.0              Y      1728       749       730       730       19      (0.408,0.592)      (0.408,0.592)      1423
  features.5.conv.2                Y      6144      2664      2597      2597       67      (0.426,0.574)      (0.426,0.574)      5060
  features.6.conv.0.0              Y      6144      2664      2597      2597       67      (0.443,0.557)      (0.443,0.557)      5114
  features.6.conv.1.0              Y      1728       749       730       730       19      (0.429,0.571)      (0.429,0.571)      1427
  features.6.conv.2                Y      6144      2664      2597      2597       67      (0.426,0.574)      (0.426,0.574)      5097
  features.7.conv.0.0              Y      6144      2664      2597      2597       67      (0.438,0.562)      (0.438,0.562)      5087
  features.7.conv.1.0              Y      1728       749       730       730       19      (0.437,0.563)      (0.437,0.563)      1415
  features.7.conv.2                Y     12288      5328      5195      5195      133      (0.436,0.564)      (0.436,0.564)     10150
  features.8.conv.0.0              Y     24576     10657     10391     10391      266      (0.441,0.559)      (0.441,0.559)     20389
  features.8.conv.1.0              Y      3456      1498      1461      1461       37      (0.432,0.568)      (0.432,0.568)      2846
  features.8.conv.2                Y     24576     10657     10391     10391      266      (0.434,0.566)      (0.434,0.566)     20336
  features.9.conv.0.0              Y     24576     10657     10391     10391      266      (0.436,0.564)      (0.436,0.564)     20322
  features.9.conv.1.0              Y      3456      1498      1461      1461       37      (0.433,0.567)      (0.433,0.567)      2843
  features.9.conv.2                Y     24576     10657     10391     10391      266      (0.436,0.564)      (0.436,0.564)     20363
  features.10.conv.0.0             Y     24576     10657     10391     10391      266      (0.432,0.568)      (0.432,0.568)     20315
  features.10.conv.1.0             Y      3456      1498      1461      1461       37      (0.434,0.566)      (0.434,0.566)      2830
  features.10.conv.2               Y     24576     10657     10391     10391      266      (0.436,0.564)      (0.436,0.564)     20310
  features.11.conv.0.0             Y     24576     10657     10391     10391      266      (0.432,0.568)      (0.432,0.568)     20277
  features.11.conv.1.0             Y      3456      1498      1461      1461       37      (0.429,0.571)      (0.429,0.571)      2868
  features.11.conv.2               Y     36864     15986     15586     15586      400      (0.429,0.571)      (0.429,0.571)     30527
  features.12.conv.0.0             Y     55296     23979     23380     23380      599      (0.432,0.568)      (0.432,0.568)     45729
  features.12.conv.1.0             Y      5184      2248      2191      2191       57      (0.424,0.576)      (0.424,0.576)      4248
  features.12.conv.2               Y     55296     23979     23380     23380      599      (0.431,0.569)      (0.431,0.569)     45708
  features.13.conv.0.0             Y     55296     23979     23380     23380      599      (0.434,0.566)      (0.434,0.566)     45729
  features.13.conv.1.0             Y      5184      2248      2191      2191       57      (0.425,0.575)      (0.425,0.575)      4258
  features.13.conv.2               Y     55296     23979     23380     23380      599      (0.427,0.573)      (0.427,0.573)     45777
  features.14.conv.0.0             Y     55296     23979     23380     23380      599      (0.428,0.572)      (0.428,0.572)     45822
  features.14.conv.1.0             Y      5184      2248      2191      2191       57      (0.410,0.590)      (0.410,0.590)      4216
  features.14.conv.2               Y     92160     39966     38967     38967      999      (0.428,0.572)      (0.428,0.572)     76451
  features.15.conv.0.0             Y    153600     66610     64945     64945     1665      (0.425,0.575)      (0.425,0.575)    127566
  features.15.conv.1.0             Y      8640      3746      3653      3653       93      (0.432,0.568)      (0.432,0.568)      7153
  features.15.conv.2               Y    153600     66610     64945     64945     1665      (0.427,0.573)      (0.427,0.573)    126941
  features.16.conv.0.0             Y    153600     66610     64945     64945     1665      (0.417,0.583)      (0.417,0.583)    127504
  features.16.conv.1.0             Y      8640      3746      3653      3653       93      (0.418,0.582)      (0.418,0.582)      7154
  features.16.conv.2               Y    153600     66610     64945     64945     1665      (0.418,0.582)      (0.418,0.582)    127617
  features.17.conv.0.0             Y    153600     66610     64945     64945     1665      (0.425,0.575)      (0.425,0.575)    128621
  features.17.conv.1.0             Y      8640      3746      3653      3653       93      (0.419,0.581)      (0.419,0.581)      7202
  features.17.conv.2               Y    307200    133221    129890    129890     3331      (0.405,0.595)      (0.405,0.595)    254581
  features.18.0                    N    409600    409600    409600    409600        0      (0.422,0.578)                  -         0
  classifier.1                     N      2560      2560      2560      2560        0      (0.410,0.590)                  -         0
