================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 40
  prune_ratio  : 0.636768 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-09 00:25:35
  t_score      : 60.5s (그룹별 점수 pass)
  t_greedy     : 6.5s (greedy 선택)
  total_params        : 2192320
  active_before/after : 1075866 / 1059293
  sparsity_all        : 51.68% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 63.68% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  ----------------------------------------------------------------------------------------------------------------------------------
  features.0.0                     N       864       864       864       864        0      (0.400,0.600)                  -         0
  features.1.conv.0.0              Y       288       107       104       104        3      (0.393,0.607)      (0.393,0.607)       200
  features.1.conv.1                Y       512       190       185       185        5      (0.425,0.575)      (0.425,0.575)       359
  features.2.conv.0.0              Y      1536       572       557       557       15      (0.427,0.573)      (0.427,0.573)      1093
  features.2.conv.1.0              Y       864       321       313       313        8      (0.440,0.560)      (0.440,0.560)       605
  features.2.conv.2                Y      2304       858       836       836       22      (0.430,0.570)      (0.430,0.570)      1630
  features.3.conv.0.0              Y      3456      1287      1255      1255       32      (0.424,0.576)      (0.424,0.576)      2442
  features.3.conv.1.0              Y      1296       482       470       470       12      (0.417,0.583)      (0.417,0.583)       888
  features.3.conv.2                Y      3456      1287      1255      1255       32      (0.442,0.558)      (0.442,0.558)      2448
  features.4.conv.0.0              Y      3456      1287      1255      1255       32      (0.424,0.576)      (0.424,0.576)      2469
  features.4.conv.1.0              Y      1296       482       470       470       12      (0.443,0.557)      (0.443,0.557)       903
  features.4.conv.2                Y      4608      1716      1673      1673       43      (0.438,0.562)      (0.438,0.562)      3261
  features.5.conv.0.0              Y      6144      2288      2231      2231       57      (0.421,0.579)      (0.421,0.579)      4356
  features.5.conv.1.0              Y      1728       643       627       627       16      (0.429,0.571)      (0.429,0.571)      1235
  features.5.conv.2                Y      6144      2288      2231      2231       57      (0.439,0.561)      (0.439,0.561)      4334
  features.6.conv.0.0              Y      6144      2288      2231      2231       57      (0.430,0.570)      (0.430,0.570)      4357
  features.6.conv.1.0              Y      1728       643       627       627       16      (0.447,0.553)      (0.447,0.553)      1234
  features.6.conv.2                Y      6144      2288      2231      2231       57      (0.440,0.560)      (0.440,0.560)      4364
  features.7.conv.0.0              Y      6144      2288      2231      2231       57      (0.426,0.574)      (0.426,0.574)      4363
  features.7.conv.1.0              Y      1728       643       627       627       16      (0.435,0.565)      (0.435,0.565)      1224
  features.7.conv.2                Y     12288      4577      4463      4463      114      (0.433,0.567)      (0.433,0.567)      8714
  features.8.conv.0.0              Y     24576      9155      8926      8926      229      (0.429,0.571)      (0.429,0.571)     17468
  features.8.conv.1.0              Y      3456      1287      1255      1255       32      (0.439,0.561)      (0.439,0.561)      2459
  features.8.conv.2                Y     24576      9155      8926      8926      229      (0.432,0.568)      (0.432,0.568)     17465
  features.9.conv.0.0              Y     24576      9155      8926      8926      229      (0.425,0.575)      (0.425,0.575)     17573
  features.9.conv.1.0              Y      3456      1287      1255      1255       32      (0.434,0.566)      (0.434,0.566)      2459
  features.9.conv.2                Y     24576      9155      8926      8926      229      (0.435,0.565)      (0.435,0.565)     17517
  features.10.conv.0.0             Y     24576      9155      8926      8926      229      (0.425,0.575)      (0.425,0.575)     17481
  features.10.conv.1.0             Y      3456      1287      1255      1255       32      (0.440,0.560)      (0.440,0.560)      2437
  features.10.conv.2               Y     24576      9155      8926      8926      229      (0.434,0.566)      (0.434,0.566)     17474
  features.11.conv.0.0             Y     24576      9155      8926      8926      229      (0.424,0.576)      (0.424,0.576)     17455
  features.11.conv.1.0             Y      3456      1287      1255      1255       32      (0.437,0.563)      (0.437,0.563)      2444
  features.11.conv.2               Y     36864     13733     13390     13390      343      (0.433,0.567)      (0.433,0.567)     26184
  features.12.conv.0.0             Y     55296     20600     20085     20085      515      (0.422,0.578)      (0.422,0.578)     39486
  features.12.conv.1.0             Y      5184      1931      1882      1882       49      (0.436,0.564)      (0.436,0.564)      3679
  features.12.conv.2               Y     55296     20600     20085     20085      515      (0.437,0.563)      (0.437,0.563)     39323
  features.13.conv.0.0             Y     55296     20600     20085     20085      515      (0.419,0.581)      (0.419,0.581)     39318
  features.13.conv.1.0             Y      5184      1931      1882      1882       49      (0.430,0.570)      (0.430,0.570)      3692
  features.13.conv.2               Y     55296     20600     20085     20085      515      (0.438,0.562)      (0.438,0.562)     39217
  features.14.conv.0.0             Y     55296     20600     20085     20085      515      (0.416,0.584)      (0.416,0.584)     39383
  features.14.conv.1.0             Y      5184      1931      1882      1882       49      (0.425,0.575)      (0.425,0.575)      3669
  features.14.conv.2               Y     92160     34333     33475     33475      858      (0.427,0.573)      (0.427,0.573)     65700
  features.15.conv.0.0             Y    153600     57223     55792     55792     1431      (0.409,0.591)      (0.409,0.591)    109837
  features.15.conv.1.0             Y      8640      3218      3138      3138       80      (0.422,0.578)      (0.422,0.578)      6153
