================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 89
  prune_ratio  : 0.894946 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-09 03:02:09
  t_score      : 62.2s (그룹별 점수 pass)
  t_greedy     : 2.8s (greedy 선택)
  total_params        : 2192320
  active_before/after : 604702 / 599925
  sparsity_all        : 72.64% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 89.50% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  ----------------------------------------------------------------------------------------------------------------------------------
  features.0.0                     N       864       864       864       864        0      (0.409,0.591)                  -         0
  features.1.conv.0.0              Y       288        31        30        30        1      (0.462,0.538)      (0.462,0.538)        48
  features.1.conv.1                Y       512        55        53        53        2      (0.410,0.590)      (0.410,0.590)        93
  features.2.conv.0.0              Y      1536       165       161       161        4      (0.421,0.579)      (0.421,0.579)       319
  features.2.conv.1.0              Y       864        93        90        90        3      (0.447,0.553)      (0.447,0.553)       156
  features.2.conv.2                Y      2304       248       242       242        6      (0.451,0.549)      (0.451,0.549)       473
  features.3.conv.0.0              Y      3456       372       363       363        9      (0.440,0.560)      (0.440,0.560)       715
  features.3.conv.1.0              Y      1296       139       136       136        3      (0.446,0.554)      (0.446,0.554)       142
  features.3.conv.2                Y      3456       372       363       363        9      (0.444,0.556)      (0.444,0.556)       705
  features.4.conv.0.0              Y      3456       372       363       363        9      (0.439,0.561)      (0.439,0.561)       714
  features.4.conv.1.0              Y      1296       139       136       136        3      (0.432,0.568)      (0.432,0.568)       261
  features.4.conv.2                Y      4608       496       484       484       12      (0.433,0.567)      (0.433,0.567)       949
  features.5.conv.0.0              Y      6144       661       645       645       16      (0.445,0.555)      (0.445,0.555)      1285
  features.5.conv.1.0              Y      1728       186       181       181        5      (0.445,0.555)      (0.445,0.555)       291
  features.5.conv.2                Y      6144       661       645       645       16      (0.437,0.563)      (0.437,0.563)      1277
  features.6.conv.0.0              Y      6144       661       645       645       16      (0.440,0.560)      (0.440,0.560)      1287
  features.6.conv.1.0              Y      1728       186       181       181        5      (0.451,0.549)      (0.451,0.549)       355
  features.6.conv.2                Y      6144       661       645       645       16      (0.439,0.561)      (0.439,0.561)      1272
  features.7.conv.0.0              Y      6144       661       645       645       16      (0.443,0.557)      (0.443,0.557)      1283
  features.7.conv.1.0              Y      1728       186       181       181        5      (0.440,0.560)      (0.440,0.560)       358
  features.7.conv.2                Y     12288      1323      1290      1290       33      (0.434,0.566)      (0.433,0.567)      2453
  features.8.conv.0.0              Y     24576      2647      2581      2581       66      (0.438,0.562)      (0.438,0.562)      5112
  features.8.conv.1.0              Y      3456       372       363       363        9      (0.421,0.579)      (0.421,0.579)       712
  features.8.conv.2                Y     24576      2647      2581      2581       66      (0.432,0.568)      (0.432,0.568)      5099
  features.9.conv.0.0              Y     24576      2647      2581      2581       66      (0.441,0.559)      (0.441,0.559)      5087
  features.9.conv.1.0              Y      3456       372       363       363        9      (0.435,0.565)      (0.435,0.565)       713
  features.9.conv.2                Y     24576      2647      2581      2581       66      (0.437,0.563)      (0.437,0.563)      5076
  features.10.conv.0.0             Y     24576      2647      2581      2581       66      (0.449,0.551)      (0.449,0.551)      5081
  features.10.conv.1.0             Y      3456       372       363       363        9      (0.436,0.564)      (0.436,0.564)       717
  features.10.conv.2               Y     24576      2647      2581      2581       66      (0.436,0.564)      (0.436,0.564)      5081
  features.11.conv.0.0             Y     24576      2647      2581      2581       66      (0.436,0.564)      (0.436,0.564)      5085
  features.11.conv.1.0             Y      3456       372       363       363        9      (0.437,0.563)      (0.437,0.563)       714
  features.11.conv.2               Y     36864      3971      3872      3872       99      (0.432,0.568)      (0.432,0.568)      7672
  features.12.conv.0.0             Y     55296      5957      5809      5809      148      (0.443,0.557)      (0.443,0.557)     11516
  features.12.conv.1.0             Y      5184       558       544       544       14      (0.434,0.566)      (0.434,0.566)      1034
  features.12.conv.2               Y     55296      5957      5809      5809      148      (0.434,0.566)      (0.434,0.566)     11517
  features.13.conv.0.0             Y     55296      5957      5809      5809      148      (0.445,0.555)      (0.445,0.555)     11482
