================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 76
  prune_ratio  : 0.854001 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-09 02:21:03
  t_score      : 62.0s (그룹별 점수 pass)
  t_greedy     : 3.6s (greedy 선택)
  total_params        : 2192320
  active_before/after : 679446 / 672783
  sparsity_all        : 69.31% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 85.40% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  ----------------------------------------------------------------------------------------------------------------------------------
  features.0.0                     N       864       864       864       864        0      (0.462,0.538)                  -         0
  features.1.conv.0.0              Y       288        43        42        42        1      (0.469,0.531)      (0.469,0.531)        82
  features.1.conv.1                Y       512        76        74        74        2      (0.446,0.554)      (0.446,0.554)       139
  features.2.conv.0.0              Y      1536       230       224       224        6      (0.484,0.516)      (0.484,0.516)       420
  features.2.conv.1.0              Y       864       129       126       126        3      (0.487,0.513)      (0.487,0.513)       246
  features.2.conv.2                Y      2304       345       336       336        9      (0.487,0.513)      (0.487,0.513)       661
  features.3.conv.0.0              Y      3456       517       504       504       13      (0.486,0.514)      (0.486,0.514)       992
  features.3.conv.1.0              Y      1296       194       189       189        5      (0.508,0.492)      (0.508,0.492)       191
  features.3.conv.2                Y      3456       517       504       504       13      (0.492,0.508)      (0.492,0.508)       994
  features.4.conv.0.0              Y      3456       517       504       504       13      (0.489,0.511)      (0.489,0.511)       970
  features.4.conv.1.0              Y      1296       194       189       189        5      (0.496,0.504)      (0.496,0.504)       368
  features.4.conv.2                Y      4608       690       672       672       18      (0.483,0.517)      (0.483,0.517)      1315
  features.5.conv.0.0              Y      6144       920       897       897       23      (0.502,0.498)      (0.502,0.498)      1789
  features.5.conv.1.0              Y      1728       258       252       252        6      (0.485,0.515)      (0.485,0.515)       496
  features.5.conv.2                Y      6144       920       897       897       23      (0.479,0.521)      (0.479,0.521)      1770
  features.6.conv.0.0              Y      6144       920       897       897       23      (0.480,0.520)      (0.480,0.520)      1791
  features.6.conv.1.0              Y      1728       258       252       252        6      (0.479,0.521)      (0.479,0.521)       478
  features.6.conv.2                Y      6144       920       897       897       23      (0.473,0.527)      (0.473,0.527)      1775
  features.7.conv.0.0              Y      6144       920       897       897       23      (0.484,0.516)      (0.484,0.516)      1763
  features.7.conv.1.0              Y      1728       258       252       252        6      (0.471,0.529)      (0.471,0.529)       484
  features.7.conv.2                Y     12288      1840      1794      1794       46      (0.475,0.525)      (0.475,0.525)      3491
