layer_name,num_weights,spearman_rho,p_value,importance_mean,importance_std,abs_diff_mean,abs_diff_std
features.0.0,864,0.6745973191646718,9.1896797582681e-116,8.945008460335158e-08,4.509442827326899e-07,0.0005284591689610772,0.0008480160117648194
features.1.conv.0.0,288,0.7935820625412456,1.1585789764456652e-63,1.8096592505968524e-05,9.511421309894673e-05,0.001360629306431191,0.0019092950470251469
features.1.conv.1,512,0.6000038699523995,2.204868457525115e-51,4.324343175082895e-07,1.2252095206258563e-06,0.0005944200054867479,0.0007759568721358006
features.10.conv.0.0,24576,nan,nan,6.405816115085899e-11,1.8292080320428022e-10,0.00015235132991280967,0.00017224766594654646
features.10.conv.1.0,3456,0.20971519657104992,1.1872291986002475e-35,1.917013106091579e-09,1.4104157918686818e-08,0.00020104750892584948,0.00024777827345006656
features.10.conv.2,24576,0.18520414148317685,1.555522545960524e-188,2.638974285517249e-10,1.068774434228131e-09,0.00017095316480486314,0.00017074987944492366
features.11.conv.0.0,24576,0.1936606668927473,2.7503068076446234e-206,2.758662635777883e-10,7.956417230185361e-10,0.00024959684289155754,0.0002521842493572799
features.11.conv.1.0,3456,0.04693683229179304,0.0057830773859634445,1.7240590925908225e-08,1.1099203392334895e-07,0.00032365339612204654,0.0003321188384665
features.11.conv.2,36864,0.11962067490205311,1.4986361822382724e-117,8.161804705134429e-10,2.8310996056426685e-09,0.00025472593594626767,0.0002364794023469034
features.12.conv.0.0,55296,0.2268288215879997,0.0,7.351490704865458e-11,3.022671662794961e-10,0.00018159313689685236,0.00019085325373669376
features.12.conv.1.0,5184,0.24858686103070013,7.427953794025444e-74,3.52700951599349e-09,2.2388913073477205e-08,0.0002646924391148527,0.00030268181231000356
features.12.conv.2,55296,0.15355431344828885,6.952213972261986e-289,2.254907532519826e-10,9.343223473282987e-10,0.00021569903619114396,0.00021837307469184345
features.13.conv.0.0,55296,0.2401269059711591,0.0,8.293761848324281e-11,3.258869994918889e-10,0.00019639826534582005,0.0002135079853857064
features.13.conv.1.0,5184,0.24077459057880693,2.8877710164722245e-69,2.385859634473909e-09,1.3378190723513016e-08,0.00027837447880970414,0.00034191327579659574
features.13.conv.2,55296,0.17080107824526314,0.0,2.905039472363e-10,1.2389132533648229e-09,0.00024276384308987133,0.0002485347640613979
features.14.conv.0.0,55296,0.26580883108992187,0.0,2.1515703703177252e-10,1.1555512794085054e-09,0.0002643979245725426,0.0003232959811354032
features.14.conv.1.0,5184,0.2783136085604032,7.545434522304413e-93,9.888683209862759e-10,2.700091348545704e-09,0.0002933418429931442,0.0003757985147803418
features.14.conv.2,92160,0.09237084976450943,9.383027525352332e-174,4.3499435937869787e-10,1.4267982508637653e-09,0.0002771770338522738,0.00028824784606097903
features.15.conv.0.0,153600,nan,nan,2.055213150590066e-11,7.529100422270197e-11,0.00014357062576814765,0.00016866494719251055
features.15.conv.1.0,8640,0.2750622599453832,8.366084316105621e-150,1.4770355094354585e-09,1.3984039739266532e-08,0.0002798844214999512,0.00035418655074824057
features.15.conv.2,153600,0.15916288662772352,0.0,7.015657318698831e-11,3.284714349537587e-10,0.00017788135532347037,0.00018976463148490672
features.16.conv.0.0,153600,nan,nan,2.4340180944977543e-11,9.435008609763696e-11,0.0001539866435856857,0.00018564088194486777
features.16.conv.1.0,8640,0.23674785268705462,2.3130568176609475e-110,1.0964176603639218e-09,1.5683424302136942e-08,0.00027318974273466394,0.000341945673240868
features.16.conv.2,153600,0.18018428414752896,0.0,6.046941252879791e-11,2.583658106827267e-10,0.0002002224778198485,0.00021946576745440906
features.17.conv.0.0,153600,0.20735609767920052,0.0,3.2463278364668857e-11,1.1962028682024788e-10,0.00017691256305531422,0.0002043636789718336
features.17.conv.1.0,8640,0.24785827270919772,4.119582008936741e-121,1.921263883864261e-10,2.4437278210107477e-09,0.0006273412684817009,0.0006927373452037623
features.17.conv.2,307200,nan,nan,3.8179797947522955e-11,1.2870213683736827e-10,0.00023880237803987342,0.00022796879352623587
features.18.0,409600,nan,nan,1.3374389193663794e-12,2.106692634533749e-12,7.77601686364688e-05,7.17363623292096e-05
features.2.conv.0.0,1536,0.25274440431357675,8.195953643817816e-24,6.052564023321104e-09,1.9367965666334198e-08,0.0003760988703582768,0.0005028152241906833
features.2.conv.1.0,864,0.24283847625681795,4.613728050223868e-13,1.0256951595145096e-07,3.71530668683162e-07,0.0002592999833700139,0.0003077162572573605
features.2.conv.2,2304,0.18257449983501037,1.017578461547024e-18,2.8171697131320023e-08,1.614457907660317e-07,0.000417736174582591,0.00045669030995942314
features.3.conv.0.0,3456,0.16447451793641615,2.2036063636524212e-22,1.325942936591783e-09,4.349655634691597e-09,0.00025857562030928705,0.00029599623191034653
features.3.conv.1.0,1296,0.13572025048509245,9.394230579128021e-07,8.204475445727862e-08,4.058587718328185e-07,0.00040530177545264573,0.0003885822133620866
features.3.conv.2,3456,0.12350054767452172,3.202433872925448e-13,1.2591687804140053e-08,1.0205270000335656e-07,0.00032143281860752136,0.00030206946279127
features.4.conv.0.0,3456,0.2639376889353839,3.558663512430068e-56,4.134846913822068e-09,1.3851681531450012e-08,0.0003797190105926755,0.00042070022035776614
features.4.conv.1.0,1296,0.16300943525307443,3.58693950652641e-09,1.0493331006012951e-08,2.862749061394756e-08,0.00019491782329892103,0.00020225509691646705
features.4.conv.2,4608,0.21729145440544098,2.269897595090181e-50,1.1544695177855558e-08,4.0201450936501036e-08,0.00038426171843276694,0.0003781808583799189
features.5.conv.0.0,6144,0.13672066635146846,5.032237253477158e-27,3.8393714888738416e-10,1.2691345501628941e-09,0.00021213627871317456,0.0002281917874204308
features.5.conv.1.0,1728,0.18298859714800045,1.7743786597874246e-14,3.789103920192953e-08,2.6415736767495093e-07,0.00030187316255565804,0.0003166665382292011
features.5.conv.2,6144,0.15389626144174426,7.075069232296846e-34,2.1641912873140386e-09,9.607070624344518e-09,0.00026677225720925696,0.0002677499038008775
features.6.conv.0.0,6144,0.15904604448776205,4.288043737095486e-36,3.753410944304697e-10,1.4091930392974164e-09,0.00020571186300907818,0.00021606491648261923
features.6.conv.1.0,1728,0.20170961451522193,2.539503715638185e-17,1.9143407954652578e-08,1.1579122981689892e-07,0.00031786677166428595,0.00037675149646394335
features.6.conv.2,6144,0.19960029028485116,3.039208296712097e-56,2.6729702030596643e-09,1.4694012169793743e-08,0.00028998432271106395,0.0003087673755186997
features.7.conv.0.0,6144,0.16428891316449082,1.980277448665848e-38,2.049769026126372e-09,6.0986569198084e-09,0.000383453110509302,0.0004019424411696491
features.7.conv.1.0,1728,0.16999461874587588,1.1333130119444812e-12,6.0443532794957745e-09,1.4756713424627303e-08,0.00030658020954889135,0.00031967136363954143
features.7.conv.2,12288,0.12157711865979397,1.1013366188799713e-41,3.791428972099869e-09,1.1172997780144768e-08,0.00035734311983641004,0.00037778195024446134
features.8.conv.0.0,24576,nan,nan,6.823425070684352e-11,1.936612009654594e-10,0.0001536531828790396,0.00018046277712746293
features.8.conv.1.0,3456,0.23545872165803533,9.539109716986014e-45,7.937451409394613e-09,4.4309203185186375e-08,0.0002485953075211645,0.00027315433234823954
features.8.conv.2,24576,0.13701919124413256,2.715661250715599e-103,2.1257901117865424e-10,9.077735101163815e-10,0.00016924672265231783,0.0001613262824150962
features.9.conv.0.0,24576,nan,nan,6.637826894058796e-11,2.0288312539740953e-10,0.00014972833105943682,0.00015539264430647977
features.9.conv.1.0,3456,0.20628892419051148,1.5812063179391485e-34,3.4515262035743215e-09,1.748753609933161e-08,0.00023289675595001752,0.0002441434923408536
features.9.conv.2,24576,0.1510269101199994,2.533953781616641e-125,2.301113436935418e-10,1.0970628329603313e-09,0.00017578015517735746,0.0001709015500130962
