iter,block,ch,status,score,phi_raw,perf_raw,phi_n,perf_n,weights,perf_rank_n,perf_max_n,phi_rank_n,phi_max_n,score_rank,score_rank_a0.3,score_rank_a0.5,score_rank_a0.7,score_rank_a0.9,score_max,score_max_a0.3,score_max_a0.5,score_max_a0.7,score_max_a0.9
46,features.1,0,active,-0.0625,0.0,0.0,0.125,0.0,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,features.1,1,active,0.041667,7.556648e-08,0.003315674,0.5833,0.6667,25,0.6666666666666666,0.0713264605653172,0.5833333333333334,0.03406493330273943,0.04166666666666663,-0.20833333333333334,0.04166666666666663,0.2916666666666666,0.5416666666666666,0.018630763631288887,-0.0024475151423224394,0.018630763631288887,0.03970904240490021,0.060787321178511544
46,features.1,2,active,-0.166667,8.414934e-07,0.002197953,0.9167,0.5833,25,0.5833333333333334,0.047282153788014335,0.9166666666666666,0.379340370832351,-0.16666666666666663,-0.46666666666666656,-0.16666666666666663,0.1333333333333333,0.43333333333333335,-0.16602910852216834,-0.2513536134462414,-0.16602910852216834,-0.08070460359809528,0.00461990132597781
46,features.1,3,active,-0.020833,8.160214e-09,0.0001597784,0.375,0.3333,25,0.3333333333333333,0.00343713759156946,0.375,0.0036785774015950005,-0.020833333333333343,-0.16249999999999998,-0.020833333333333343,0.12083333333333329,0.2625,-0.00012071990501277027,-0.0015438629036456624,-0.00012071990501277027,0.0013024230936201215,0.002725566092253014
46,features.1,4,active,0.229167,2.659189e-08,0.01848713,0.4583,0.9167,25,0.9166666666666666,0.3976933645801405,0.4583333333333333,0.011987470625120868,0.22916666666666666,-0.04583333333333334,0.22916666666666666,0.5041666666666667,0.7791666666666667,0.19285294697750982,0.11091677993645753,0.19285294697750982,0.27478911401856204,0.3567252810596143
46,features.1,5,active,0.083333,5.154711e-08,0.003374189,0.5417,0.7083,25,0.7083333333333334,0.07258522962403031,0.5416666666666666,0.023237139854853272,0.08333333333333337,-0.1666666666666666,0.08333333333333337,0.33333333333333337,0.5833333333333334,0.02467404488458852,0.005509570988811805,0.02467404488458852,0.04383851878036523,0.06300299267614196
46,features.1,6,protected,0.333333,7.581541e-09,0.04648589,0.3333,1.0,25,1.0,0.9999999999784881,0.3333333333333333,0.003417714951086572,0.33333333333333337,0.06666666666666668,0.33333333333333337,0.6,0.8666666666666667,0.49829114251370077,0.2976075995277858,0.49829114251370077,0.6989746854996157,0.8996582284855307
46,features.1,7,active,0.166667,4.730672e-08,0.006158304,0.5,0.8333,25,0.8333333333333334,0.13247684404595722,0.5,0.021325596502197397,0.16666666666666669,-0.09999999999999998,0.16666666666666669,0.43333333333333335,0.7,0.05557562377187991,0.024815135662248987,0.05557562377187991,0.08633611188151083,0.11709659999114176
46,features.1,8,active,0.0,6.390613e-07,0.009481556,0.875,0.875,25,0.875,0.20396632181928825,0.875,0.2880851478176826,0.0,-0.3499999999999999,0.0,0.34999999999999987,0.7,-0.04205941299919716,-0.14046970692659133,-0.04205941299919716,0.05635088092819697,0.15476117485559118
46,features.1,9,active,-0.0625,0.0,0.0,0.1667,0.0417,25,0.041666666666666664,0.0,0.041666666666666664,0.0,0.0,-0.016666666666666663,0.0,0.016666666666666663,0.03333333333333333,0.0,0.0,0.0,0.0,0.0
