================================================================================
Channel Pruning Log
  iteration  : 14
  alpha      : 0.3000
  timestamp  : 2026-06-03 03:09:28
  remove_target  : 45072
  accum_removed  : 45266
  selected_channels : 138
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2289600
  active_after   : 915759
  model_sparsity : 60.0%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       24    75.0%
  features.2                 96          0       93    96.9%
  features.3                144          0      118    81.9%
  features.4                144          5      130    90.3%
  features.5                192          0      148    77.1%
  features.6                192          0      150    78.1%
  features.7                192          0      186    96.9%
  features.8                384         19      345    89.8%
features.15                      910    -0.248004 3.482440e-07 1.310125e-07      329
features.15                      825    -0.246270 3.454307e-07 3.302422e-08      329
features.15                       99    -0.245721 3.456139e-07 2.773680e-07      329
features.8                       379    -0.244969 4.512239e-08 7.239557e-07      137
features.15                      599    -0.244472 3.449312e-07 5.515772e-07      329
features.15                      780    -0.243959 3.523727e-07 2.645046e-06      329
features.15                      188    -0.242902 3.694381e-07 7.403548e-06      329
features.15                      832    -0.239621 3.386388e-07 6.823565e-07      329
features.17                      335    -0.238882 1.969926e-06 1.258265e-07      489
features.15                      610    -0.238352 3.362954e-07 5.373457e-07      329
features.17                      891    -0.236749 1.976477e-06 1.756922e-07      489
features.17                      494    -0.236715 1.966521e-06 1.552383e-07      489
features.15                      343    -0.236340 3.315093e-07 3.341372e-08      329
features.17                       21    -0.234386 1.966804e-06 1.951797e-07      489
features.17                      640    -0.233067 1.892543e-06 6.060259e-08      489
features.15                       97    -0.232700 3.288590e-07 6.626324e-07      329
features.15                      767    -0.232211 3.260510e-07 1.183162e-07      329
features.17                      883    -0.231012 1.998688e-06 3.195417e-07      489
features.15                      939    -0.229774 3.262899e-07 1.056133e-06      329
features.15                      774    -0.229157 3.307167e-07 2.413729e-06      329
features.8                        49    -0.227248 4.274182e-08 8.765895e-07      137
features.8                       342    -0.227197 4.230169e-08 7.765191e-07      137
features.15                      417    -0.226742 3.422775e-07 6.248382e-06      329
features.15                      311    -0.225084 3.199428e-07 1.115057e-06      329
features.15                      740    -0.224373 3.185135e-07 1.003853e-06      329
features.15                      754    -0.223349 3.132088e-07 1.131355e-08      329
