================================================================================
Channel Pruning Log
  iteration  : 19
  alpha      : 0.3000
  timestamp  : 2026-06-03 09:00:12
  remove_target  : 26544
  accum_removed  : 26719
  selected_channels : 103
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2289600
  active_after   : 749025
  model_sparsity : 67.3%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       24    75.0%
  features.2                 96          0       93    96.9%
  features.3                144          0      139    96.5%
  features.4                144          0      139    96.5%
  features.5                192          8      161    83.9%
  features.6                192          2      154    80.2%
  features.7                192          0      186    96.9%
  features.8                384          0      372    96.9%
features.16                      266    -0.114978 8.346265e-07 1.190880e-07      329
features.15                      329    -0.114663 2.458470e-07 9.683959e-07      329
features.15                      153    -0.113801 2.474242e-07 3.135124e-06      329
features.16                        9    -0.113298 8.229932e-07 2.369086e-07      329
features.15                      171    -0.111670 2.422673e-07 2.744736e-06      329
features.15                      546    -0.111190 2.370641e-07 9.056713e-08      329
features.13                      565    -0.110489 6.491029e-08 1.435952e-07      201
features.15                      568    -0.110311 2.388670e-07 2.423834e-06      329
features.13                       37    -0.110001 6.462633e-08 1.490652e-07      201
features.15                      518    -0.109896 2.371128e-07 1.872694e-06      329
features.15                      703    -0.108882 2.335399e-07 9.763762e-07      329
features.15                      140    -0.108381 2.314772e-07 3.444415e-07      329
features.13                      333    -0.107053 6.297040e-08 3.401263e-07      201
features.16                      398    -0.105142 7.644438e-07 3.680167e-07      329
features.13                      570    -0.104816 6.233481e-08 2.080526e-06      201
features.15                      332    -0.104323 2.442169e-07 1.391774e-05      329
features.16                      527    -0.104257 7.563831e-07 1.943918e-08      329
features.13                      102    -0.103663 6.106011e-08 5.447408e-07      201
features.15                      612    -0.103273 2.205547e-07 3.191665e-07      329
features.13                      186    -0.102469 6.032084e-08 4.461071e-07      201
features.6                       106    -0.102321 5.929695e-08 1.782154e-06       73
features.15                      913    -0.101311 2.167150e-07 5.366814e-07      329
features.13                      496    -0.101094 5.981541e-08 1.221472e-06      201
features.16                      571    -0.100966 7.346877e-07 4.815021e-07      329
features.15                      218    -0.100952 2.194976e-07 2.787057e-06      329
features.15                      958    -0.100932 2.361969e-07 1.341447e-05      329
features.15                      658    -0.100751 2.230677e-07 5.325697e-06      329
features.16                      774    -0.100620 7.325462e-07 5.595829e-07      329
features.16                      183    -0.100589 7.362839e-07 1.402918e-06      329
features.15                      258    -0.100556 2.359636e-07 1.377403e-05      329
