layer,channels,phi_deo_spearman,phi_deo_spearman_p,phi_deo_pearson,phi_deo_pearson_p,perf_deo_spearman,perf_deo_spearman_p,perf_deo_pearson,perf_deo_pearson_p
features.10.conv.1.0,384,0.09945486460096944,0.05148844089692752,0.08624443502291644,0.09147363714462163,0.3666213491206524,1.1639223255123755e-13,0.3224008960197609,9.752998852299962e-11
features.11.conv.1.0,384,0.13326862432606557,0.008931108535817104,0.11609509390431891,0.022889626709575617,0.4439011054219931,5.682451907339523e-20,0.3908819755514582,1.815257669022604e-15
features.13.conv.1.0,576,0.1288862688578811,0.0019385566989340217,0.08646873824216436,0.038020968684422875,0.4035111206334223,5.773928540533934e-24,0.323091483242814,1.8412898846848785e-15
features.17.conv.1.0,960,0.3028095462343166,8.296699320308589e-22,0.24149262077072595,3.320568042854877e-14,0.3049682264195165,4.1227397269102463e-22,0.08119474569300228,0.011849137490302416
features.4.conv.1.0,144,0.5159794228759746,3.622450704139548e-11,0.35885001223992363,1.0022506619836772e-05,0.45352463628325695,1.1401699862749526e-08,0.3388960087636008,3.2536926962618624e-05
features.9.conv.1.0,384,0.20940083813741397,3.534625884816785e-05,0.29493137758108456,3.811296015934575e-09,0.28287582774228903,1.6930154703949068e-08,0.23129112188586742,4.65345647096241e-06
