layer,block,channel,baseline_eo_all,pruned_eo_all,delta_eo_all,delta_eo_all_abs,phi,perf
features.4.conv.1.0,features.4,0,0.17054892370443422,0.17177803505649275,0.0012291113520585262,0.0012291113520585262,1.7678819119737454e-07,1.933563584799458e-07
features.4.conv.1.0,features.4,1,0.17054892370443422,0.17053426165220978,-1.466205222444561e-05,1.466205222444561e-05,5.5078221983251305e-09,8.113020905087255e-08
features.4.conv.1.0,features.4,2,0.17054892370443422,0.17045681350092498,-9.21102035092436e-05,9.21102035092436e-05,1.2559529238842518e-07,1.1507068520266728e-08
features.4.conv.1.0,features.4,3,0.17054892370443422,0.17030763485538122,-0.00024128884905300074,0.00024128884905300074,2.755121499831148e-07,3.975674012224317e-08
features.4.conv.1.0,features.4,4,0.17054892370443422,0.1687450157950484,-0.001803907909385838,0.001803907909385838,1.5258065388934486e-07,1.8743940843890528e-08
features.4.conv.1.0,features.4,5,0.17054892370443422,0.17122206242086715,0.0006731387164329306,0.0006731387164329306,7.016775160906263e-09,2.1929060123326852e-08
features.4.conv.1.0,features.4,6,0.17054892370443422,0.1691835499276558,-0.0013653737767784224,0.0013653737767784224,2.292134979597904e-07,1.7666046492337273e-07
features.4.conv.1.0,features.4,7,0.17054892370443422,0.1677904580545952,-0.0027584656498390314,0.0027584656498390314,3.371207810687338e-07,9.184994276267845e-08
features.4.conv.1.0,features.4,8,0.17054892370443422,0.1724663734820955,0.0019174497776612842,0.0019174497776612842,1.1558428525404453e-07,6.788246587063895e-08
features.4.conv.1.0,features.4,9,0.17054892370443422,0.1692942986375377,-0.0012546250668965253,0.0012546250668965253,8.630112802165969e-08,1.2934406878883921e-08
features.4.conv.1.0,features.4,10,0.17054892370443422,0.1712513135067684,0.000702389802334169,0.000702389802334169,8.328988343464516e-08,2.88415669125186e-08
features.4.conv.1.0,features.4,11,0.17054892370443422,0.1683985818413258,-0.002150341863108418,0.002150341863108418,1.3160121170585626e-07,6.517584161258584e-08
features.4.conv.1.0,features.4,12,0.17054892370443422,0.1795500711610393,0.009001147456605074,0.009001147456605074,9.751940410751558e-08,4.917347662392047e-08
features.4.conv.1.0,features.4,13,0.17054892370443422,0.17040029313785363,-0.0001486305665805987,0.0001486305665805987,3.431923190078123e-08,3.8864450324638256e-08
features.4.conv.1.0,features.4,14,0.17054892370443422,0.16841866024200547,-0.0021302634624287553,0.0021302634624287553,1.2904963853088702e-07,3.5965504352475364e-08
features.4.conv.1.0,features.4,15,0.17054892370443422,0.17901470921782314,0.008465785513388918,0.008465785513388918,1.1735848204352807e-07,1.3815184729537577e-07
features.4.conv.1.0,features.4,16,0.17054892370443422,0.1732447445079225,0.0026958208034882636,0.0026958208034882636,2.747482881204633e-07,1.7444238586961094e-07
features.4.conv.1.0,features.4,17,0.17054892370443422,0.17451033856664067,0.003961414862206442,0.003961414862206442,4.966629489899788e-07,2.0506045217416613e-07
features.4.conv.1.0,features.4,18,0.17054892370443422,0.17032013631292572,-0.00022878739150850036,0.00022878739150850036,1.2974751939509588e-07,1.19134941911625e-08
features.4.conv.1.0,features.4,19,0.17054892370443422,0.1703175644441568,-0.00023135926027742504,0.00023135926027742504,4.4362380435813975e-08,1.89889355350914e-08
features.4.conv.1.0,features.4,20,0.17054892370443422,0.1717052613172145,0.0011563376127802782,0.0011563376127802782,1.2212051103688282e-07,2.3841683294278937e-08
features.4.conv.1.0,features.4,21,0.17054892370443422,0.17124658229222606,0.0006976585877918329,0.0006976585877918329,9.5923994081204e-08,1.2645208435912993e-08
features.4.conv.1.0,features.4,22,0.17054892370443422,0.1711471262933853,0.0005982025889510745,0.0005982025889510745,1.1717414594158981e-07,5.010697332608061e-07
features.4.conv.1.0,features.4,23,0.17054892370443422,0.16434421189539952,-0.006204711809034702,0.006204711809034702,9.350643637162649e-08,1.424736701949314e-07
features.4.conv.1.0,features.4,24,0.17054892370443422,0.16333097035136698,-0.007217953353067241,0.007217953353067241,5.059467298451636e-07,2.377761276761703e-07
features.4.conv.1.0,features.4,25,0.17054892370443422,0.17002192872280847,-0.0005269949816257558,0.0005269949816257558,2.4759772898619303e-08,5.064123786979735e-09
features.4.conv.1.0,features.4,26,0.17054892370443422,0.1699721761270739,-0.0005767475773603148,0.0005767475773603148,1.0784995119195172e-08,1.24762129849465e-07
features.4.conv.1.0,features.4,27,0.17054892370443422,0.17923530939512836,0.008686385690694132,0.008686385690694132,2.0809569889479465e-07,9.39498150387408e-08
features.4.conv.1.0,features.4,28,0.17054892370443422,0.16960104390076042,-0.0009478798036738068,0.0009478798036738068,1.0849383613731335e-07,1.389286108377519e-07
features.4.conv.1.0,features.4,29,0.17054892370443422,0.16986201522354005,-0.0006869084808941717,0.0006869084808941717,9.120339683477141e-08,4.551305154976149e-08
features.4.conv.1.0,features.4,30,0.17054892370443422,0.1741837146391889,0.003634790934754689,0.003634790934754689,1.1098800456466053e-07,8.081915314761545e-08
features.4.conv.1.0,features.4,31,0.17054892370443422,0.16862353594232976,-0.0019253877621044635,0.0019253877621044635,1.4451785546043538e-07,4.1405955109041777e-08
features.4.conv.1.0,features.4,32,0.17054892370443422,0.17085205778610252,0.0003031340816682937,0.0003031340816682937,1.1177819558838564e-08,3.57713252352454e-08
features.4.conv.1.0,features.4,33,0.17054892370443422,0.1724260713309758,0.0018771476265415643,0.0018771476265415643,8.862428302336411e-08,3.4496636658332136e-08
features.4.conv.1.0,features.4,34,0.17054892370443422,0.17070069357777942,0.00015176987334519776,0.00015176987334519776,1.1699039959012225e-07,1.8567562776183882e-07
features.4.conv.1.0,features.4,35,0.17054892370443422,0.1690050898427591,-0.0015438338616751146,0.0015438338616751146,8.685643848593828e-08,5.2510338299782695e-08
features.4.conv.1.0,features.4,36,0.17054892370443422,0.17556404388463082,0.005015120180196592,0.005015120180196592,4.784943143931741e-07,3.039141311944604e-07
features.4.conv.1.0,features.4,37,0.17054892370443422,0.17896292646033551,0.00841400275590129,0.00841400275590129,2.0957708102287145e-07,2.8434523002829337e-07
