layer,block,channels,old_perf_dacc_spearman,old_perf_dacc_pearson,new_perf_dacc_spearman,new_perf_dacc_pearson,old_perf_deo_spearman,old_perf_deo_pearson,new_perf_deo_spearman,new_perf_deo_pearson,phi_deo_spearman,phi_deo_pearson,phi_dacc_spearman,phi_dacc_pearson
features.2.conv.1.0,features.2,96,-0.09071319748480466,-0.07018979718338145,0.10343368028086303,0.2511655914842277,0.03908030385241454,-0.08274107743525647,0.15710797612588173,0.10453793123430793,0.3083016820401519,0.46612572912065087,0.32353061446559744,0.38427354580177503
features.3.conv.1.0,features.3,144,0.17332059440064818,0.39556669678307466,0.28476066135903433,0.5250320964109483,0.2262920987058918,0.28272860308631104,0.3094767301663854,0.4048682164098857,0.20195321919459852,0.39378507074750224,0.07082003280450808,0.35421576804562205
features.6.conv.1.0,features.6,192,0.23008682574032632,0.5060459789300553,0.31638806954386517,0.5573655915049897,0.39942998399479157,0.15104039363260313,0.472782668258145,0.1924239946972085,0.06993462279250198,0.08080697708843493,0.0833950090564423,0.18359885068967519
features.10.conv.1.0,features.10,384,0.2350160200146601,0.15581424588688325,0.30360094359823203,0.1732197501674013,0.2777838413140552,0.44650315446733524,0.3689535640628947,0.47301165377969207,0.18504055905287864,0.11610327515416628,0.19764918983266555,0.24498657851957395
features.16.conv.1.0,features.16,960,0.3016519523633729,0.15833638647884934,0.35946376555084286,0.16574892172083355,0.40691586634881327,0.24867982046597514,0.4742664818768699,0.2585434043830459,0.34907062010240086,0.30091442955737463,0.22983954307000512,0.20237015943122685
