layer,block,channel,baseline_eo,pruned_eo,delta_eo,delta_eo_abs,baseline_acc,pruned_acc,delta_acc,delta_acc_abs,phi,perf
features.10.conv.1.0,features.10,0,0.22893262511892457,0.22893262511892457,0.0,0.0,0.827492596248766,0.827492596248766,0.0,0.0,0.0,0.0
features.10.conv.1.0,features.10,1,0.22893262511892457,0.22473319289516777,-0.004199432223756794,0.004199432223756794,0.827492596248766,0.8273445212240869,-0.00014807502467917288,0.00014807502467917288,3.1059514071785095e-08,2.947747379522525e-09
features.10.conv.1.0,features.10,2,0.22893262511892457,0.22843642000149023,-0.0004962051174343396,0.0004962051174343396,0.827492596248766,0.8273938795656466,-9.871668311944859e-05,9.871668311944859e-05,1.4255051361544702e-08,1.903067925468349e-09
features.10.conv.1.0,features.10,3,0.22893262511892457,0.22941134238454777,0.0004787172656232075,0.0004787172656232075,0.827492596248766,0.8273938795656466,-9.871668311944859e-05,9.871668311944859e-05,6.560934195931624e-08,4.3858527920548335e-10
features.10.conv.1.0,features.10,4,0.22893262511892457,0.22739654391225855,-0.0015360812066660123,0.0015360812066660123,0.827492596248766,0.8277393879565647,0.0002467917077986215,0.0002467917077986215,1.1983490644240646e-08,7.890469611027129e-09
features.10.conv.1.0,features.10,5,0.22893262511892457,0.22900245962134758,6.98345024230107e-05,6.98345024230107e-05,0.827492596248766,0.8276406712734452,0.00014807502467917288,0.00014807502467917288,1.6750853149005707e-08,2.0857591209733076e-08
features.10.conv.1.0,features.10,6,0.22893262511892457,0.22907011205622177,0.0001374869372972043,0.0001374869372972043,0.827492596248766,0.827492596248766,0.0,0.0,2.0707821235532723e-08,2.7227926580053463e-09
features.10.conv.1.0,features.10,7,0.22893262511892457,0.22654166615255006,-0.0023909589663745068,0.0023909589663745068,0.827492596248766,0.8275419545903258,4.9358341559724295e-05,4.9358341559724295e-05,7.350579522835687e-08,1.6458969298582815e-08
features.10.conv.1.0,features.10,8,0.22893262511892457,0.23021010584601964,0.001277480727095076,0.001277480727095076,0.827492596248766,0.8263079960513326,-0.001184600197433383,0.001184600197433383,8.838604514949111e-09,8.53842596626464e-09
features.10.conv.1.0,features.10,9,0.22893262511892457,0.22823423901574721,-0.0006983861031773508,0.0006983861031773508,0.827492596248766,0.827492596248766,0.0,0.0,1.9597464984144608e-08,2.2411605016259276e-08
features.10.conv.1.0,features.10,10,0.22893262511892457,0.2290023400622203,6.971494329574557e-05,6.971494329574557e-05,0.827492596248766,0.8273938795656466,-9.871668311944859e-05,9.871668311944859e-05,6.54175309477978e-08,1.3820419253463e-09
features.10.conv.1.0,features.10,11,0.22893262511892457,0.22828312584964217,-0.0006494992692823998,0.0006494992692823998,0.827492596248766,0.8276406712734452,0.00014807502467917288,0.00014807502467917288,1.8137871649059892e-08,3.3824028022877432e-09
features.10.conv.1.0,features.10,12,0.22893262511892457,0.22724237309472448,-0.0016902520242000896,0.0016902520242000896,0.827492596248766,0.8275419545903258,4.9358341559724295e-05,4.9358341559724295e-05,2.128976994697496e-08,2.664392484419409e-09
